parameter,mn,sd,rsd,li,ls,t0,LI,LS,,,,,,,,
Cl_pop,19.18634324,2.468720082,0.128670693,15.6443633,24.84438984,13.50857455,2.172759263,11.37278581,,,,,,,,
V1_pop,30.89818901,6.743382998,0.21824525,16.51963958,44.46333274,23.89871008,3.334087422,31.27778058,,,,,,,,
Q_pop,35.33927393,17.09899024,0.483852336,10.24171286,81.60580052,26.1537445,-29.29831152,42.06577614,,,,,,,,
V2_pop,27.75275464,27.37436962,0.986365857,14.96716944,55.62481614,13.11568151,-29.39345311,11.26419359,,,,,,,,
omega_Cl,0.475395078,0.092707249,0.195010957,0.2901196,0.659681934,0.259820637,-0.140040661,0.229521673,,,0.503563568,,,0.296332811,0.738404747,0.264267847
omega_V1,0.610765358,0.232306411,0.380352958,0.22828386,1.174522417,0.235695266,-0.703131886,0.243106671,,,0.672409236,,,0.231290574,1.724217569,
omega_Q,1.149641493,0.449389218,0.390895092,0.350733619,2.279525352,1.086171448,-0.107182456,1.821609277,,,1.65822163,,,0.361801512,13.40116357,
omega_V2,0.826023962,0.326966044,0.395831185,0.274241293,1.545846561,0.940596405,0.33534625,1.606951518,,,0.989168192,,,0.279479307,3.147949035,
a,1.383808842,0.231213817,0.167085084,0.954795722,1.77054222,1.516134825,1.26172743,2.077473928,,,,,,,,
b,0.009070348,0.015885029,1.751314224,2.22E-16,0.046373325,0.044443139,0.042512953,0.088886279,,,,,,,,
k10,0.648154359,0.166803662,0.257351756,0.478669888,1.161985705,0.565242831,-0.031500042,0.651815775,,,,,,,,
k12,1.294506348,1.032164583,0.797342234,0.280587477,4.033957128,1.094357997,-1.845241133,1.908128517,,,,,,,,
k21,0.778633623,0.210221342,0.269987496,0.358273854,1.208238211,1.029955976,0.85167374,1.701638097,,,,,,,,
alpha,2.508958954,1.215174333,0.484334082,1.039483047,5.705025613,2.452141811,-0.80074199,3.864800575,,,,,,,,
beta,0.212335375,0.054137922,0.254964214,0.109854418,0.320491343,0.237414993,0.154338644,0.364975569,,,,,,,,
t_alpha,0.325134723,0.139156351,0.427995968,0.121497664,0.667243304,0.282670104,-0.101903096,0.443842544,,,,,,,,
t_beta,3.559962406,2.064359315,0.579882336,2.162764206,6.309694714,2.91955942,-0.470575874,3.676354634,,,,,,,,
A,50.72603437,21.26566794,0.41922591,26.21977695,109.1271764,53.73926464,-1.648647142,81.25875233,,,,,,,,
B,17.8453872,5.33442015,0.298924315,8.68992762,28.9705216,29.94726043,30.92399925,51.20459323,,,,,,,,
