standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.47369,0.198213,-1.8662,0.12617,-2.6379,0.0142332,-2.0584,0.0230528,All
-1.18392,0.644193,-1.46787,0.12617,-2.13348,0.0142332,-1.74696,0.138317,All
-0.894152,0.569863,-1.06955,0.270365,-1.62906,0.113866,-1.43553,0.253581,All
-0.604383,0.07433,-0.671231,0.360487,-1.12465,0.227731,-1.12409,0.276634,All
-0.314615,0.0495533,-0.272909,0.558754,-0.620228,0.298898,-0.812656,0.345793,All
-0.024847,0.22299,0.125413,0.396535,-0.11581,0.327364,-0.50122,0.32274,All
0.264921,0.37165,0.523735,0.324438,0.388608,0.455463,-0.189784,0.414951,All
0.554689,0.545086,0.922057,0.288389,0.893026,0.270431,0.121652,0.345793,All
0.844458,0.322097,1.32038,0.0901216,1.39744,0.284664,0.433088,0.345793,All
1.13423,0.346873,1.7187,0.0720973,1.90186,0.0711661,0.744525,0.16137,All
1.42399,0.22299,2.11702,0.0720973,2.40628,0.0426997,1.05596,0.414951,All
1.71376,0.0991066,2.51535,0,2.9107,0,1.3674,0.276634,All
2.00353,0.0495533,2.91367,0.0180243,3.41511,0.0142332,1.67883,0.138317,All
