pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.37993,0.141957,-3.16193,0.00551932,-1.56658,0.0921441,All
-0.949441,0.567826,-2.9539,0.00551932,-1.16866,0.399291,All
-0.518949,0.596217,-2.74588,0.016558,-0.770729,0.52215,All
-0.0884569,0.170348,-2.53785,0.0110386,-0.372801,0.430006,All
0.342035,0.454261,-2.32983,0.0331159,0.025126,0.153574,All
0.772527,0.255522,-2.12181,0.0331159,0.423053,0.430006,All
1.20302,0.113565,-1.91378,0.0662318,0.82098,0.399291,All
1.63351,0.0851739,-1.70576,0.0662318,1.21891,0.0921441,All
2.064,0.0567826,-1.49774,0.154541,1.61683,0.0921441,All
2.49449,0.113565,-1.28971,0.132464,2.01476,0.153574,All
,,-1.08169,0.275966,,,All
,,-0.873667,0.270447,,,All
,,-0.665643,0.281485,,,All
,,-0.45762,0.386352,,,All
,,-0.249596,0.424988,,,All
,,-0.0415726,0.40291,,,All
,,0.166451,0.447065,,,All
,,0.374474,0.369794,,,All
,,0.582498,0.303563,,,All
,,0.790522,0.375314,,,All
,,0.998545,0.253889,,,All
,,1.20657,0.231811,,,All
,,1.41459,0.143502,,,All
,,1.62262,0.0883091,,,All
,,1.83064,0.0607125,,,All
,,2.03866,0.0441545,,,All
,,2.24669,0.0331159,,,All
,,2.45471,0.0331159,,,All
,,2.66273,0.00551932,,,All
,,2.87076,0.0110386,,,All
