Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
37.2132,1.08418e-05,0.999977,60.9816,0.000160768,0.999137,355.735,1.58794e-05,0.998385,76.4825,0.000581304,0.986068,All
37.6071,8.9876e-06,0.999981,61.6033,0.000143065,0.999231,359.892,1.51243e-05,0.998449,77.3625,0.000556827,0.986569,All
38.0011,7.45068e-06,0.999984,62.2249,0.000127318,0.999315,364.049,1.4411e-05,0.998511,78.2425,0.000533533,0.987048,All
38.395,6.17682e-06,0.999987,62.8466,0.00011331,0.99939,368.206,1.37367e-05,0.998569,79.1226,0.000511357,0.987508,All
38.789,5.12102e-06,0.999989,63.4682,0.000100851,0.999456,372.363,1.30991e-05,0.998625,80.0026,0.000490238,0.987949,All
39.1829,4.24597e-06,0.999991,64.0899,8.97675e-05,0.999516,376.52,1.24958e-05,0.998678,80.8826,0.00047012,0.988371,All
39.5769,3.52072e-06,0.999993,64.7115,7.9909e-05,0.999568,380.677,1.19248e-05,0.998729,81.7626,0.000450949,0.988776,All
39.9708,2.91962e-06,0.999994,65.3332,7.11398e-05,0.999615,384.834,1.13841e-05,0.998777,82.6426,0.000432675,0.989165,All
40.3648,2.42139e-06,0.999995,65.9548,6.33392e-05,0.999657,388.991,1.08719e-05,0.998823,83.5227,0.00041525,0.989538,All
40.7588,2.00842e-06,0.999996,66.5765,5.64e-05,0.999694,393.148,1.03864e-05,0.998868,84.4027,0.000398629,0.989896,All
41.1527,1.66609e-06,0.999996,67.1981,5.02268e-05,0.999727,397.305,9.9261e-06,0.99891,85.2827,0.000382771,0.99024,All
41.5467,1.38229e-06,0.999997,67.8198,4.47346e-05,0.999757,401.462,9.48943e-06,0.99895,86.1627,0.000367636,0.99057,All
41.9406,1.14701e-06,0.999998,68.4414,3.98481e-05,0.999783,405.619,9.07505e-06,0.998989,87.0428,0.000353187,0.990887,All
42.3346,9.51919e-07,0.999998,69.0631,3.55001e-05,0.999806,409.776,8.68166e-06,0.999026,87.9228,0.000339388,0.991192,All
42.7285,7.9014e-07,0.999998,69.6847,3.16309e-05,0.999827,413.933,8.30803e-06,0.999061,88.8028,0.000326208,0.991485,All
