trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.61082,2.8313,0.481481,2.61082,2.8313,0.26,3.73442,3.18377,0.481481,3.73442,3.18377,0.26,3.34942,3.11774,0.481481,3.34942,3.11774,0.26,3.43397,2.81354,0.481481,3.43397,2.81354,All
0.267677,2.61961,2.82538,0.495698,2.61961,2.82538,0.267677,3.69588,3.18572,0.495698,3.69588,3.18572,0.267677,3.34225,3.11954,0.495698,3.34225,3.11954,0.267677,3.32966,2.80527,0.495698,3.32966,2.80527,All
0.275354,2.62841,2.81946,0.509914,2.62841,2.81946,0.275354,3.65735,3.18768,0.509914,3.65735,3.18768,0.275354,3.33507,3.12133,0.509914,3.33507,3.12133,0.275354,3.22534,2.79701,0.509914,3.22534,2.79701,All
0.28303,2.6372,2.81353,0.52413,2.6372,2.81353,0.28303,3.61882,3.18964,0.52413,3.61882,3.18964,0.28303,3.32789,3.12312,0.52413,3.32789,3.12312,0.28303,3.12102,2.78874,0.52413,3.12102,2.78874,All
0.290707,2.64599,2.80761,0.538346,2.64599,2.80761,0.290707,3.58028,3.19159,0.538346,3.58028,3.19159,0.290707,3.32071,3.12491,0.538346,3.32071,3.12491,0.290707,3.01671,2.78048,0.538346,3.01671,2.78048,All
0.298384,2.65478,2.80169,0.552563,2.65478,2.80169,0.298384,3.54175,3.19355,0.552563,3.54175,3.19355,0.298384,3.31353,3.12671,0.552563,3.31353,3.12671,0.298384,2.91239,2.77222,0.552563,2.91239,2.77222,All
0.306061,2.66358,2.79577,0.566779,2.66358,2.79577,0.306061,3.50322,3.19551,0.566779,3.50322,3.19551,0.306061,3.30636,3.1285,0.566779,3.30636,3.1285,0.306061,2.80807,2.76395,0.566779,2.80807,2.76395,All
0.313737,2.67237,2.78985,0.580995,2.67237,2.78985,0.313737,3.46468,3.19746,0.580995,3.46468,3.19746,0.313737,3.29918,3.13029,0.580995,3.29918,3.13029,0.313737,2.70376,2.75569,0.580995,2.70376,2.75569,All
0.321414,2.68116,2.78393,0.595211,2.68116,2.78393,0.321414,3.42615,3.19942,0.595211,3.42615,3.19942,0.321414,3.292,3.13208,0.595211,3.292,3.13208,0.321414,2.59944,2.74742,0.595211,2.59944,2.74742,All
0.329091,2.68995,2.77801,0.609428,2.68995,2.77801,0.329091,3.38762,3.20138,0.609428,3.38762,3.20138,0.329091,3.28482,3.13388,0.609428,3.28482,3.13388,0.329091,2.49512,2.73916,0.609428,2.49512,2.73916,All
0.336768,2.69875,2.77209,0.623644,2.69875,2.77209,0.336768,3.34908,3.20333,0.623644,3.34908,3.20333,0.336768,3.27764,3.13567,0.623644,3.27764,3.13567,0.336768,2.39081,2.73089,0.623644,2.39081,2.73089,All
0.344444,2.70754,2.76617,0.63786,2.70754,2.76617,0.344444,3.31055,3.20529,0.63786,3.31055,3.20529,0.344444,3.27047,3.13746,0.63786,3.27047,3.13746,0.344444,2.28649,2.72263,0.63786,2.28649,2.72263,All
0.352121,2.71654,2.76025,0.652076,2.71654,2.76025,0.352121,3.28503,3.20724,0.652076,3.28503,3.20724,0.352121,3.26106,3.13926,0.652076,3.26106,3.13926,0.352121,2.23023,2.71437,0.652076,2.23023,2.71437,All
