parameter,value,se_lin,rse_lin
Cl_pop,20.6228909047057,4.05032851024427,19.63996477972
beta_Cl_tSCRMGDL,-0.414833854558662,0.183236297983496,44.1710086989981
V1_pop,23.6372368608621,2.17752255059805,9.21225506778048
Q_pop,23.4,,
V2_pop,13.5243414264202,3.06353435940708,22.652003989062
omega_Cl,0.224544803615621,0.0427812031128098,19.052412892192
omega_V1,0.305031092292298,0.0734073686875483,24.0655364461028
omega_Q,0.956202718900926,0.25585866522861,26.7577847428313
omega_V2,0.770065371121729,0.183796298718897,23.8676228813103
a,1.86105970054402,0.219008897919662,11.7679673497654
