"","Iteration","CLt","Vc","CLd","Vp","CLt_CLt","Vc_CLt","Vc_Vc","CLd_CLt","CLd_Vc","CLd_CLd","Vp_CLt","Vp_Vc","Vp_CLd","Vp_Vp","SDinter","SDslope","-2LogLikelihood","X19"
"1",0,10,20,5,20,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.56,0.0367,NA,NA
"2",1,11.4586,20.735,5.55406,19.9785,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,0.794116,0.253036,NA,NA
"3",2,11.5496,20.7785,5.58835,19.9733,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.27483,0.277019,655.757,NA
"4",3,11.6291,20.8156,5.61999,19.9694,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.56426,0.270401,645.584,NA
"5",4,11.7021,20.8539,5.65287,19.9657,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.71049,0.265399,643.525,NA
"6",5,11.7681,20.8933,5.68728,19.9621,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.79244,0.262178,642.397,NA
"7",6,11.8278,20.9338,5.72297,19.9585,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.8471,0.259795,641.567,NA
"8",7,11.8815,20.975,5.75972,19.9549,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.889,0.257817,640.863,NA
"9",8,11.93,21.017,5.79742,19.9513,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.92489,0.256024,640.24,NA
"10",9,11.9739,21.0594,5.8359,19.9477,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.95722,0.254336,639.666,NA
"11",10,12.0138,21.1023,5.87517,19.944,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,1.98645,0.25274,639.127,NA
"12",11,12.0504,21.1456,5.91502,19.9404,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,2.01393,0.25119,638.614,NA
"13",12,12.0839,21.1893,5.95546,19.9367,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,2.03985,0.249695,638.125,NA
"14",13,12.1149,21.2333,5.99635,19.933,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,2.06381,0.248256,637.652,NA
"15",14,12.1434,21.2775,6.03774,19.9293,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,2.08675,0.246836,637.191,NA
"16",15,12.1702,21.3219,6.07962,19.9256,0.0025,0,0.000625,0,0,0.01,0,0,0,0.000625,2.10742,0.245473,636.743,NA
"17",16,12.195,21.3665,6.1218,19.9219,0.00375742,0,0.00063216,0,0,0.0103587,0,0,0,0.000624933,2.12757,0.244143,636.305,NA
