Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q2_abscissa,Q2_pdf,Q2_cdf,V2_abscissa,V2_pdf,V2_cdf,Q3_abscissa,Q3_pdf,Q3_cdf,V3_abscissa,V3_pdf,V3_cdf,split
4.9609,0.0001963,6.24582e-05,8.28052,0.00019815,0.000119211,2.52382,0.00577634,0.00457527,1.65563,0.0119375,0.00558669,4.43848e-05,2.22045e-16,2.22045e-16,8.36884,2.22045e-16,2.22045e-16,All
5.28206,0.000450326,0.000161604,8.87375,0.000438694,0.00030045,7.24662,0.0208337,0.0727845,2.48838,0.0251581,0.0210442,4.43852e-05,2.22045e-16,2.22045e-16,8.36892,2.22045e-16,2.22045e-16,All
5.60322,0.000933119,0.000376085,9.46698,0.000874462,0.000678202,11.9694,0.0240898,0.182006,3.32113,0.0365712,0.046952,4.43856e-05,2.22045e-16,2.22045e-16,8.36899,2.22045e-16,2.22045e-16,All
5.92438,0.00177142,0.00079893,10.0602,0.00159459,0.00139415,16.6922,0.0224838,0.292942,4.15388,0.0447585,0.0810448,4.4386e-05,2.22045e-16,2.22045e-16,8.36907,2.22045e-16,2.22045e-16,All
6.24554,0.00311708,0.00156817,10.6534,0.00269438,0.00264523,21.415,0.0195859,0.392456,4.98662,0.0498649,0.120638,4.43864e-05,2.22045e-16,2.22045e-16,8.36915,2.22045e-16,2.22045e-16,All
6.5667,0.00513351,0.00287292,11.2467,0.004263,0.00468375,26.1378,0.0166303,0.477892,5.81937,0.0524942,0.163407,4.43868e-05,2.22045e-16,2.22045e-16,8.36923,2.22045e-16,2.22045e-16,All
6.88786,0.00797692,0.00495415,11.8399,0.00637044,0.00780985,30.8606,0.0139957,0.550058,6.65212,0.0532847,0.207558,4.43872e-05,2.22045e-16,2.22045e-16,8.3693,2.22045e-16,2.22045e-16,All
7.20902,0.0117754,0.00809906,12.4331,0.00905609,0.0123566,35.5834,0.0117603,0.610723,7.48487,0.0527765,0.251793,4.43876e-05,2.22045e-16,2.22045e-16,8.36938,2.22045e-16,2.22045e-16,All
7.53018,0.0166096,0.0126288,13.0264,0.0123211,0.0186694,40.3062,0.00990077,0.661735,8.31761,0.0513888,0.295214,4.43881e-05,2.22045e-16,2.22045e-16,8.36946,2.22045e-16,2.22045e-16,All
7.85134,0.0224978,0.0188808,13.6196,0.0161256,0.027082,45.029,0.008365,0.704751,9.15036,0.0494331,0.337224,4.43885e-05,2.22045e-16,2.22045e-16,8.36953,2.22045e-16,2.22045e-16,All
8.1725,0.0293886,0.0271872,14.2128,0.0203907,0.037893,49.7518,0.00709807,0.74117,9.98311,0.0471348,0.37745,4.43889e-05,2.22045e-16,2.22045e-16,8.36961,2.22045e-16,2.22045e-16,All
8.49366,0.0371607,0.0378522,14.806,0.0250044,0.0513438,54.4746,0.00605094,0.772142,10.8159,0.044654,0.415676,4.43893e-05,2.22045e-16,2.22045e-16,8.36969,2.22045e-16,2.22045e-16,All
8.81482,0.0456306,0.051131,15.3993,0.0298314,0.067602,59.1974,0.00518245,0.798605,11.6486,0.0421028,0.451802,4.43897e-05,2.22045e-16,2.22045e-16,8.36976,2.22045e-16,2.22045e-16,All
9.13597,0.0545661,0.0672116,15.9925,0.0347229,0.0867503,63.9202,0.00445903,0.821321,12.4814,0.0395579,0.485801,4.43901e-05,2.22045e-16,2.22045e-16,8.36984,2.22045e-16,2.22045e-16,All
9.45713,0.0637032,0.0862015,16.5857,0.0395281,0.108782,68.643,0.00385366,0.840909,13.3141,0.0370707,0.517701,4.43905e-05,2.22045e-16,2.22045e-16,8.36992,2.22045e-16,2.22045e-16,All
9.77829,0.072765,0.108121,17.179,0.0441034,0.133603,73.3658,0.00334467,0.857873,14.1468,0.0346744,0.547567,4.43909e-05,2.22045e-16,2.22045e-16,8.37,2.22045e-16,2.22045e-16,All
10.0995,0.0814795,0.132903,17.7722,0.0483204,0.161038,78.0886,0.0029147,0.872626,14.9796,0.0323894,0.575482,4.43913e-05,2.22045e-16,2.22045e-16,8.37007,2.22045e-16,2.22045e-16,All
10.4206,0.089596,0.160393,18.3654,0.0520721,0.190841,82.8114,0.00254979,0.885506,15.8123,0.0302268,0.601545,4.43917e-05,2.22045e-16,2.22045e-16,8.37015,2.22045e-16,2.22045e-16,All
10.7418,0.0968974,0.190364,18.9586,0.055276,0.222711,87.5342,0.00223872,0.896795,16.6451,0.0281917,0.62586,4.43921e-05,2.22045e-16,2.22045e-16,8.37023,2.22045e-16,2.22045e-16,All
11.0629,0.103209,0.222526,19.5519,0.0578756,0.256304,92.257,0.00197241,0.906723,17.4778,0.0262846,0.648534,4.43925e-05,2.22045e-16,2.22045e-16,8.3703,2.22045e-16,2.22045e-16,All
11.3841,0.108403,0.256537,20.1451,0.05984,0.291252,96.9798,0.00174349,0.915484,18.3106,0.0245029,0.669672,4.43929e-05,2.22045e-16,2.22045e-16,8.37038,2.22045e-16,2.22045e-16,All
11.7052,0.1124,0.292027,20.7383,0.0611618,0.327175,101.703,0.00154593,0.92324,19.1433,0.0228424,0.689377,4.43933e-05,2.22045e-16,2.22045e-16,8.37046,2.22045e-16,2.22045e-16,All
12.0264,0.115168,0.328602,21.3316,0.0618547,0.363694,106.425,0.00137481,0.930128,19.9761,0.0212976,0.707748,4.43938e-05,2.22045e-16,2.22045e-16,8.37053,2.22045e-16,2.22045e-16,All
12.3476,0.116716,0.36587,21.9248,0.0619494,0.400444,111.148,0.00122605,0.936262,20.8088,0.0198622,0.724879,4.43942e-05,2.22045e-16,2.22045e-16,8.37061,2.22045e-16,2.22045e-16,All
12.6687,0.117091,0.403446,22.518,0.0614904,0.437084,115.871,0.0010963,0.941739,21.6416,0.0185296,0.740857,4.43946e-05,2.22045e-16,2.22045e-16,8.37069,2.22045e-16,2.22045e-16,All
12.9899,0.116369,0.440963,23.1112,0.0605322,0.473301,120.594,0.000982768,0.946642,22.4743,0.0172932,0.755766,4.4395e-05,2.22045e-16,2.22045e-16,8.37077,2.22045e-16,2.22045e-16,All
13.311,0.114647,0.478085,23.7045,0.0591354,0.508816,125.317,0.000883115,0.951043,23.3071,0.0161464,0.769684,4.43954e-05,2.22045e-16,2.22045e-16,8.37084,2.22045e-16,2.22045e-16,All
13.6322,0.112042,0.514508,24.2977,0.057364,0.543389,130.039,0.000795389,0.955003,24.1398,0.0150831,0.782681,4.43958e-05,2.22045e-16,2.22045e-16,8.37092,2.22045e-16,2.22045e-16,All
