Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q2_abscissa,Q2_pdf,V2_abscissa,V2_pdf,Q3_abscissa,Q3_pdf,V3_abscissa,V3_pdf,split
8.81082,0.0843368,12.3281,0.0147954,20.5068,0.0199619,4.82648,0.0475486,4.44049e-05,1.53372e+10,8.37265,236286,All
9.83236,0.140561,15.7249,0.0359316,56.4727,0.00678705,11.1682,0.0498128,4.44049e-05,6.13488e+10,8.37265,283543,All
10.8539,0.105421,19.1216,0.0591815,92.4386,0.00199619,17.5099,0.0215101,4.44049e-05,1.22698e+11,8.37265,330800,All
11.8755,0.098393,22.5184,0.0697497,128.405,0.000598857,23.8516,0.0135853,4.44049e-05,1.91715e+11,8.37265,519829,All
12.897,0.0702807,25.9152,0.0401589,164.37,0,30.1933,0.00792476,4.44049e-05,1.68709e+11,8.37265,850630,All
13.9185,0.0491965,29.3119,0.0401589,200.336,0.000199619,36.535,0.0124532,4.44049e-05,1.53372e+11,8.37265,614344,All
14.9401,0.112449,32.7087,0.0211363,236.302,0,42.8766,0.00905687,4.44049e-05,1.76378e+11,8.37265,1.03966e+06,All
15.9616,0.0632526,36.1055,0.0126818,272.268,0,49.2183,0.00226422,4.44049e-05,9.96918e+10,8.37265,897887,All
16.9832,0.0843368,39.5022,0.00211363,308.234,0,55.56,0.00339633,4.44049e-05,9.20232e+10,8.37265,803372,All
18.0047,0.105421,42.899,0.00634088,344.2,0.000199619,61.9017,0,4.44049e-05,4.60116e+10,8.37265,708858,All
19.0263,0.105421,46.2958,0.00634088,380.166,0,68.2434,0.00113211,4.44049e-05,7.6686e+09,8.37265,378058,All
20.0478,0.0210842,49.6925,0.00422725,416.132,0,74.5851,0,4.44049e-05,7.6686e+09,8.37265,189029,All
21.0694,0.0140561,53.0893,0.00422725,452.098,0.000199619,80.9268,0.00113211,4.44049e-05,7.6686e+09,8.37265,236286,All
