Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
4.9609,0,8.28052,0,2.52382,0.00666667,1.65563,0.00666667,4.43848e-05,0,8.36884,0,All
8.30005,0.00666667,10.6297,0.00666667,3.53181,0.0133333,2.4893,0.0133333,4.44049e-05,0.00666667,8.37265,0.00666667,All
8.34744,0.0133333,13.3897,0.0133333,4.29142,0.02,2.49589,0.02,4.44049e-05,0.0133333,8.37265,0.0133333,All
8.48073,0.02,13.4257,0.02,4.33203,0.0266667,2.56616,0.0266667,4.44049e-05,0.02,8.37265,0.02,All
8.58871,0.0266667,13.5225,0.0266667,4.82553,0.0333333,3.01929,0.0333333,4.44049e-05,0.0266667,8.37265,0.0266667,All
8.62959,0.0333333,13.5749,0.0333333,5.06737,0.04,3.08318,0.04,4.44049e-05,0.0333333,8.37265,0.0333333,All
8.64313,0.04,13.5814,0.04,5.14323,0.0466667,3.0865,0.0466667,4.44049e-05,0.04,8.37265,0.04,All
8.70927,0.0466667,13.609,0.0466667,5.15142,0.0533333,3.2204,0.0533333,4.44049e-05,0.0466667,8.37265,0.0466667,All
8.73334,0.0533333,14.0935,0.0533333,5.55399,0.06,3.32718,0.06,4.44049e-05,0.0533333,8.37265,0.0533333,All
8.99674,0.06,14.4047,0.06,5.89954,0.0666667,3.52982,0.0666667,4.44049e-05,0.06,8.37265,0.06,All
9.1782,0.0666667,14.575,0.0666667,6.4103,0.0733333,3.66216,0.0733333,4.44049e-05,0.0666667,8.37265,0.0666667,All
9.22834,0.0733333,15.0584,0.0733333,6.47898,0.08,3.66935,0.08,4.44049e-05,0.0733333,8.37265,0.0733333,All
9.28578,0.08,15.2472,0.08,6.68751,0.0866667,3.92322,0.0866667,4.44049e-05,0.08,8.37265,0.08,All
9.43137,0.0866667,15.3075,0.0866667,6.87984,0.0933333,3.94542,0.0933333,4.44049e-05,0.0866667,8.37265,0.0866667,All
9.46837,0.0933333,15.5469,0.0933333,6.90575,0.1,4.18545,0.1,4.44049e-05,0.0933333,8.37265,0.0933333,All
9.47149,0.1,16.0644,0.1,6.9913,0.106667,4.27319,0.106667,4.44049e-05,0.1,8.37265,0.1,All
9.55228,0.106667,16.1444,0.106667,7.22068,0.113333,4.31741,0.113333,4.44049e-05,0.106667,8.37265,0.106667,All
9.63793,0.113333,16.209,0.113333,7.39579,0.12,4.33634,0.12,4.44049e-05,0.113333,8.37265,0.113333,All
9.7246,0.12,16.4522,0.12,7.79194,0.126667,4.43086,0.126667,4.44049e-05,0.12,8.37265,0.12,All
9.7806,0.126667,16.4829,0.126667,8.27974,0.133333,4.46373,0.133333,4.44049e-05,0.126667,8.37265,0.126667,All
9.81759,0.133333,16.8248,0.133333,8.40932,0.14,4.8717,0.14,4.44049e-05,0.133333,8.37265,0.133333,All
9.83653,0.14,16.8528,0.14,8.5293,0.146667,5.01114,0.146667,4.44049e-05,0.14,8.37265,0.14,All
9.85225,0.146667,16.9574,0.146667,8.60822,0.153333,5.19031,0.153333,4.44049e-05,0.146667,8.37265,0.146667,All
10.0122,0.153333,17.0054,0.153333,8.94005,0.16,5.25284,0.16,4.44049e-05,0.153333,8.37265,0.153333,All
10.0316,0.16,17.0292,0.16,8.99593,0.166667,5.27817,0.166667,4.44049e-05,0.16,8.37265,0.16,All
10.0488,0.166667,17.439,0.166667,9.02349,0.173333,5.5698,0.173333,4.44049e-05,0.166667,8.37265,0.166667,All
10.0815,0.173333,17.7496,0.173333,9.41903,0.18,5.60904,0.18,4.44049e-05,0.173333,8.37265,0.173333,All
10.1052,0.18,18.0526,0.18,10.0536,0.186667,5.77321,0.186667,4.44049e-05,0.18,8.37265,0.18,All
10.1463,0.186667,18.1273,0.186667,10.3446,0.193333,5.79178,0.193333,4.44049e-05,0.186667,8.37265,0.186667,All
10.1845,0.193333,18.1695,0.193333,10.3924,0.2,5.9787,0.2,4.44049e-05,0.193333,8.37265,0.193333,All
10.2575,0.2,18.3435,0.2,10.3955,0.206667,6.06723,0.206667,4.44049e-05,0.2,8.37265,0.2,All
10.2632,0.206667,18.4608,0.206667,10.4232,0.213333,6.11523,0.213333,4.44049e-05,0.206667,8.37265,0.206667,All
10.3034,0.213333,18.6347,0.213333,10.7537,0.22,6.12763,0.22,4.44049e-05,0.213333,8.37265,0.213333,All
10.3723,0.22,18.6823,0.22,10.78,0.226667,6.16575,0.226667,4.44049e-05,0.22,8.37265,0.22,All
10.4136,0.226667,18.7893,0.226667,11.7266,0.233333,6.23257,0.233333,4.44049e-05,0.226667,8.37265,0.226667,All
10.432,0.233333,19.1111,0.233333,11.7345,0.24,6.34143,0.24,4.44049e-05,0.233333,8.37265,0.233333,All
10.668,0.24,19.1599,0.24,12.3426,0.246667,6.88641,0.246667,4.44049e-05,0.24,8.37265,0.24,All
10.9152,0.246667,19.2144,0.246667,14.0987,0.253333,7.11263,0.253333,4.44049e-05,0.246667,8.37265,0.246667,All
