iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,565.681,1,13.5088,24.1422,13.1053,1.5,0,1.5,1.5,1.5,1.5
2,545.713,1,26.2896,21.3552,15.6984,1.81544,-0.626047,1.46202,1.46202,1.46202,1.46202
3,549.748,1,26.637,21.6131,15.0685,1.87882,-0.625186,1.425,1.425,1.425,1.425
4,556.33,1,26.3571,21.2187,15.9939,1.94614,-0.610527,1.38892,1.38892,1.38892,1.44569
5,555.446,1,26.0592,21.3985,15.9244,1.99788,-0.614897,1.35375,1.3969,1.35375,1.40909
6,551.245,1,26.7165,21.1205,16.2855,1.98574,-0.631861,1.31947,1.39798,1.31947,1.37341
7,548.654,1,25.7127,21.1952,18.0552,1.97759,-0.604503,1.28606,1.41939,1.28606,1.33863
8,546.993,1,26.1334,21.0037,19.3099,2.01501,-0.605708,1.2535,1.38345,1.2535,1.30474
9,553.212,1,26.5896,20.8967,20.3308,2.07881,-0.620005,1.22176,1.37877,1.22176,1.2717
10,553.209,1,26.7081,20.1823,16.3081,2.11801,-0.636951,1.19082,1.34385,1.19082,1.2395
11,554.653,1,25.6537,20.2334,20.3179,2.1192,-0.602573,1.16067,1.36411,1.16067,1.20812
12,551.93,1,25.3516,20.4973,18.5318,2.08778,-0.591556,1.13128,1.44815,1.13128,1.17753
13,545.268,1,26.8562,21.2129,15.578,2.06553,-0.641018,1.10264,1.43613,1.10264,1.14771
14,544.948,1,28.299,21.164,15.3278,2.10096,-0.678831,1.07472,1.39976,1.07472,1.11865
15,534.551,1,26.6157,21.4753,17.0862,2.04776,-0.637845,1.04751,1.36432,1.04751,1.09033
16,537.842,1,26.6331,21.5908,16.6414,2.04741,-0.633638,1.02098,1.3665,1.02098,1.06272
17,532.885,1,25.3303,21.3298,17.2353,2.03488,-0.583054,0.995131,1.3319,0.995131,1.06301
18,531.387,1,26.076,21.3059,15.7986,2.03586,-0.609157,0.969933,1.29933,0.969933,1.03609
19,533.927,1,25.6079,21.4977,17.3067,2.09012,-0.583094,0.945374,1.33819,0.945374,1.00986
20,535.813,1,26.9695,21.8356,17.3035,2.12225,-0.639982,0.921437,1.30431,0.921437,1.02722
21,531.863,1,26.8882,21.7765,16.0158,2.09634,-0.636104,0.898105,1.27128,0.898105,1.08216
22,534.48,1,26.6015,21.9613,16.2304,2.10355,-0.633389,0.875365,1.23909,0.875365,1.18206
23,530.096,1,25.9908,22.0636,16.9321,2.08262,-0.610254,0.8532,1.27706,0.8532,1.15213
24,535.957,1,25.1566,21.8667,16.837,2.19551,-0.578973,0.831597,1.2993,0.831597,1.12296
25,530.511,1,25.3052,21.9894,16.0128,2.14563,-0.578522,0.81054,1.2664,0.81054,1.12672
26,536.227,1,25.3662,22.0098,15.304,2.20361,-0.581435,0.790017,1.23434,0.790017,1.23487
27,540.771,1,24.6242,22.3414,16.9235,2.24918,-0.551811,0.770013,1.20308,0.770013,1.31996
28,538.629,1,24.0247,22.0927,15.672,2.20817,-0.533922,0.750516,1.35751,0.750516,1.28654
29,534.176,1,25.3971,22.2689,18.8203,2.21052,-0.583841,0.731512,1.32314,0.731512,1.25396
30,527.387,1,24.2036,22.1343,20.0785,2.15455,-0.541523,0.71299,1.28964,0.71299,1.22221
31,527.346,1,25.6286,22.1676,22.6528,2.13731,-0.593848,0.694937,1.27588,0.694937,1.26742
32,523.666,1,26.3719,21.9419,17.2193,2.20027,-0.635093,0.677341,1.24358,0.677341,1.23533
33,524.672,1,25.2261,22.1203,16.8777,2.19265,-0.567207,0.66019,1.29458,0.66019,1.20405
34,522.514,1,26.6427,22.3942,15.8024,2.1561,-0.620803,0.643474,1.34832,0.643474,1.17356
35,518.27,1,27.5548,22.2591,16.0857,2.11868,-0.656915,0.627181,1.32062,0.627181,1.15639
36,509.938,1,26.9716,22.4055,13.2823,2.06988,-0.640413,0.6113,1.28718,0.6113,1.12711
37,504.987,1,26.1988,22.4148,12.405,2.06898,-0.608673,0.595821,1.25459,0.595821,1.09857
38,510.567,1,27.7414,22.4539,12.9731,2.12013,-0.666796,0.580735,1.27742,0.580735,1.07075
39,506.182,1,26.3515,22.3377,13.1861,2.10008,-0.608119,0.56603,1.28869,0.56603,1.04364
40,500.485,1,26.879,22.0747,14.1036,2.09485,-0.635385,0.551698,1.25616,0.551698,1.01722
41,504.766,1,28.3642,21.9468,15.1208,2.20286,-0.687328,0.537729,1.22436,0.537729,0.991459
42,495.569,1,28.1009,22.2444,15.9676,2.14709,-0.679437,0.524113,1.19336,0.524113,0.995384
43,499.266,1,26.2071,21.911,14.2417,2.12611,-0.601581,0.510842,1.16722,0.510842,0.970181
44,495.913,1,26.2207,22.4266,13.7151,2.16315,-0.615156,0.497908,1.13766,0.497908,0.945615
45,496.294,1,27.0422,22.4096,13.275,2.17836,-0.634443,0.4853,1.10886,0.4853,0.921672
46,491.298,1,25.828,22.5138,14.9162,2.16223,-0.587523,0.473012,1.08078,0.473012,0.912083
47,480.634,1,27.5185,22.4352,15.1997,2.10748,-0.652133,0.461035,1.05341,0.461035,0.956612
48,489.895,1,26.5795,22.8803,14.3821,2.13635,-0.62528,0.449362,1.04017,0.449362,0.961735
49,488.34,1,27.3014,22.3927,14.2433,2.10093,-0.643142,0.437984,1.06591,0.437984,1.01791
50,482.503,1,26.8294,22.7664,13.6067,2.0553,-0.623404,0.426894,1.13699,0.426894,0.992133
51,484.508,1,27.811,22.8977,13.2938,2.05739,-0.65334,0.416084,1.2283,0.416084,0.99887
52,490.243,1,27.8082,22.7427,14.4735,2.11076,-0.662856,0.405549,1.1972,0.405549,1.11045
53,491.366,1,27.0853,23.127,13.4451,2.15712,-0.646293,0.39528,1.16688,0.39528,1.13025
54,491.614,1,27.4323,23.1585,13.2101,2.13989,-0.659593,0.385271,1.20383,0.385271,1.14036
55,488.961,1,27.3065,22.8852,12.6739,2.15472,-0.659,0.375516,1.17335,0.375516,1.12335
56,490.559,1,27.6965,22.9101,12.668,2.1802,-0.667851,0.366008,1.14364,0.366008,1.19367
57,493.128,1,26.4395,22.9174,11.4937,2.21122,-0.620227,0.35674,1.14044,0.35674,1.16345
58,486.551,1,26.3022,22.6744,13.2529,2.17178,-0.611245,0.347707,1.11157,0.347707,1.13399
59,483.668,1,26.3211,22.9792,11.1707,2.14481,-0.614833,0.338903,1.08342,0.338903,1.12028
60,487.13,1,27.5791,22.3369,12.5528,2.21295,-0.6526,0.330322,1.1951,0.330322,1.09192
61,482.017,1,27.0623,22.0323,13.3872,2.15692,-0.645891,0.321958,1.24336,0.321958,1.06427
62,484.54,1,25.7088,22.4116,11.7756,2.19525,-0.590776,0.313806,1.21187,0.313806,1.03732
63,472.694,1,26.1525,22.2524,13.6161,2.13966,-0.605271,0.30586,1.18119,0.30586,1.01106
64,477.515,1,24.7506,22.2253,14.2114,2.10427,-0.547695,0.298116,1.30595,0.298116,0.985456
