time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-31.3404,101.679,63.8145,75.2295,83.3486,90.9975,98.0522,105.339,113.527,123.659,137.47,164.223,All
-31.1479,86.7271,54.075,64.2958,71.2894,77.3557,83.7281,90.0603,96.7254,105.254,116.666,140.182,All
-30.9555,76.8542,46.0279,56.2908,62.8904,68.4999,74.0578,79.7339,85.9341,93.4791,103.518,124.468,All
-30.763,69.5229,39.3562,49.9491,56.6433,61.7214,66.8768,72.4561,77.9011,84.832,94.3461,113.276,All
-30.5706,63.9421,34.1576,44.8807,51.2295,56.5159,61.3892,66.5285,72.0032,78.6852,87.6777,105.51,All
-30.3782,59.2303,29.9697,40.5125,46.8328,52.1221,57.0194,61.8062,67.317,73.729,82.4959,99.2035,All
-30.1857,55.3871,26.7132,36.7342,43.0943,48.3606,53.1963,57.8859,63.275,69.6112,78.4255,94.4401,All
-29.9933,52.2718,23.9672,33.4247,39.7975,44.9661,49.835,54.4805,59.8961,66.2644,74.4548,90.2869,All
-29.8009,49.3412,21.3318,30.7232,36.9184,42.1785,47.0938,51.7485,56.7135,63.1089,71.2789,86.868,All
-29.6084,46.759,19.3356,28.2602,34.5048,39.7379,44.5142,49.0583,54.0737,60.3801,68.4352,83.495,All
-29.416,44.4591,17.4472,26.1447,32.1856,37.3674,42.1229,46.632,51.756,57.7945,65.7998,80.4329,All
-29.2236,42.2282,15.7334,24.1635,30.0309,35.264,39.8589,44.4408,49.6942,55.4522,63.3716,77.9899,All
-29.0311,40.2508,14.3328,22.4075,28.2178,33.2645,37.8709,42.5467,47.5559,53.3927,61.1131,75.9812,All
-28.8387,38.4266,13.0427,20.8857,26.5172,31.4165,35.983,40.6764,45.6974,51.3982,59.1473,74.0365,All
-28.6462,36.7532,11.9379,19.5241,25.0403,29.6946,34.2971,38.8774,43.872,49.5032,57.2972,71.9907,All
-28.4538,35.1013,11.009,18.2791,23.5366,28.1555,32.8124,37.2245,42.2451,47.8547,55.6856,70.1677,All
-28.2614,33.6043,10.1273,17.0913,22.1666,26.6731,31.2825,35.7318,40.6445,46.1866,53.9653,68.2375,All
-28.0689,32.1354,9.36135,16.0079,20.9785,25.3375,29.8997,34.2903,39.1699,44.7131,52.3296,66.4124,All
-27.8765,30.7899,8.67029,14.9917,19.8803,24.1017,28.5762,32.863,37.7734,43.1985,50.8002,64.7888,All
-27.6841,29.4981,7.95426,14.0804,18.8081,22.9372,27.2879,31.5683,36.4653,41.881,49.3839,63.2635,All
-27.4916,28.2766,7.39655,13.2063,17.8138,21.842,26.1486,30.3917,35.1578,40.5584,48.1459,61.601,All
-27.2992,27.095,6.86433,12.4556,16.8593,20.7704,25.0443,29.2583,33.9623,39.3928,46.8434,59.8614,All
-27.1068,25.9709,6.38867,11.6943,15.9802,19.7886,23.9725,28.1295,32.797,38.2179,45.5184,58.5287,All
-26.9143,24.9232,5.88339,10.9899,15.1901,18.92,22.9026,27.0426,31.6982,37.0642,44.1865,57.296,All
-26.7219,23.9668,5.47283,10.3494,14.4467,18.0841,21.8859,26.0387,30.6275,35.906,42.9379,55.8927,All
-26.5294,23.0576,5.10428,9.71027,13.675,17.273,20.9879,25.0668,29.6293,34.8396,41.8053,54.7106,All
-26.337,22.1499,4.7699,9.1647,13.0047,16.4963,20.0924,24.1551,28.6427,33.8127,40.7053,53.4582,All
-26.1446,21.2966,4.40384,8.68202,12.3279,15.7413,19.248,23.2891,27.6288,32.8166,39.6177,52.2912,All
-25.9521,20.4671,4.08256,8.17495,11.7269,15.0303,18.4984,22.3992,26.696,31.8318,38.57,51.153,All
-25.7597,19.652,3.79774,7.69641,11.1339,14.3389,17.7355,21.5866,25.8176,30.8746,37.6305,50.1431,All
-25.5673,18.8893,3.52197,7.23297,10.5513,13.7219,16.9905,20.8227,25.0043,29.9928,36.6486,49.109,All
-25.3748,18.1904,3.28909,6.84278,9.97747,13.0691,16.3131,20.059,24.1343,29.1063,35.7235,48.1072,All
-25.1824,17.4985,3.04208,6.45102,9.46849,12.4936,15.6525,19.3326,23.3686,28.2663,34.7949,47.125,All
-24.9899,16.8693,2.81193,6.08835,9.0078,11.9742,15.0021,18.6039,22.6321,27.5106,33.9182,45.986,All
-24.7975,16.2518,2.62276,5.74742,8.56979,11.4368,14.4353,17.9103,21.9509,26.7261,33.0998,45.0644,All
-24.6051,15.6452,2.4282,5.42876,8.18989,10.9139,13.901,17.2843,21.3271,25.9572,32.318,44.2388,All
-24.4126,15.0472,2.2415,5.12312,7.79724,10.431,13.3333,16.6675,20.68,25.2345,31.5926,43.381,All
-24.2202,14.475,2.10187,4.82399,7.45778,9.97025,12.8278,16.1175,20.0289,24.532,30.7799,42.4874,All
-24.0278,13.9439,1.96929,4.5664,7.09114,9.50811,12.3199,15.5796,19.3741,23.8547,29.9935,41.6296,All
-23.8353,70.2966,40.8828,49.2067,55.773,61.5154,67.092,73.5178,80.4989,89.651,102.251,129.429,All
-23.6429,112.237,68.4516,81.5702,91.0311,99.7685,108.091,116.951,127.818,139.158,156.501,189.339,All
-23.4505,118.092,74.1097,86.9436,96.7962,105.261,113.763,122.32,132.207,144.339,160.606,192.078,All
-23.258,97.5682,60.5075,72.093,79.873,87.1965,94.0873,101.292,109.446,119.321,132.819,159.326,All
-23.0656,85.3323,51.2891,62.079,69.3846,75.5293,82.1887,88.5064,95.5267,104.243,116.051,139.505,All
-22.8731,76.451,43.7767,54.5207,61.9152,67.7729,73.3145,79.6686,86.2979,93.7294,105.233,127.304,All
-22.6807,69.7686,37.5284,48.7332,55.7818,61.6827,66.9819,72.7534,78.9059,86.6412,97.0409,118.085,All
-22.4883,64.4068,32.6879,43.7639,50.643,56.4356,61.9711,67.0733,73.3868,80.976,91.2447,111.195,All
-22.2958,60.1056,29.0337,39.5047,46.5322,52.2028,57.6313,62.7593,69.0843,76.4288,86.2438,104.997,All
-22.1034,56.3542,25.8859,36.0611,42.7269,48.4552,54.0184,59.1475,65.2637,72.5118,82.4018,100.724,All
-21.911,53.1676,23.1923,32.9307,39.5532,45.2394,50.8061,55.8591,61.8532,69.1601,78.8196,96.6624,All
-21.7185,50.4905,20.8102,30.3024,36.8657,42.4495,47.8784,53.0227,58.928,66.0795,75.6249,93.4768,All
-21.5261,47.936,18.823,27.9217,34.3318,39.9347,45.2351,50.3809,56.2809,63.2306,72.6506,90.6142,All
-21.3337,45.4493,17.0102,25.8051,32.1014,37.6319,42.7842,48.0535,53.8715,60.7184,70.0503,88.0373,All
-21.1412,43.201,15.4462,23.9329,29.9869,35.4978,40.6477,45.9457,51.6542,58.368,67.6817,85.5933,All
-20.9488,41.1678,14.029,22.2602,28.2019,33.5307,38.55,43.9617,49.613,56.3441,65.5994,83.0838,All
-20.7563,39.4348,12.8598,20.8682,26.5877,31.6461,36.7176,41.9739,47.6629,54.317,63.6581,80.8076,All
-20.5639,37.6926,11.7577,19.4574,25.0901,29.9419,35.0214,40.2256,45.9187,52.4661,61.9129,78.7363,All
-20.3715,36.0099,10.868,18.198,23.7224,28.4752,33.531,38.522,44.2539,50.7401,59.9516,76.8192,All
-20.179,34.4831,9.98568,17.0531,22.4708,26.9963,31.9671,36.9582,42.6808,49.1432,58.1518,75.1371,All
-19.9866,33.0581,9.26234,15.8869,21.2402,25.639,30.5296,35.5399,41.1576,47.4904,56.5219,73.2198,All
-19.7942,31.6568,8.52563,14.926,20.0026,24.4655,29.1855,34.1552,39.7104,45.9651,54.9571,71.5591,All
-19.6017,30.2631,7.87303,13.9934,18.9409,23.2255,27.8929,32.7546,38.2969,44.4657,53.4329,70.0019,All
-19.4093,29.0182,7.32368,13.1728,17.9272,22.1563,26.6784,31.4646,36.984,43.2046,51.8947,68.3277,All
-19.2169,27.8287,6.73225,12.3435,17.0022,21.147,25.5265,30.2336,35.6961,41.8899,50.4205,66.9205,All
-19.0244,26.7242,6.30321,11.6076,16.1613,20.1844,24.4688,29.081,34.494,40.5969,49.049,65.5156,All
-18.832,25.6885,5.85249,10.973,15.2951,19.3027,23.468,28.0136,33.2797,39.4408,47.9049,64.0972,All
-18.6395,24.6561,5.47743,10.2921,14.5469,18.3944,22.4513,26.9499,32.1472,38.2908,46.6018,62.8178,All
-18.4471,23.6835,5.11917,9.726,13.8389,17.5683,21.5796,25.9583,30.9966,37.1689,45.4392,61.5161,All
