Cl_pop,1,-0.9538,0.0028299,-0.026289,-0.0023625,0.0035605,-0.0067091,-0.009557,0.015781
beta_Cl_tSCRMGDL,-0.9538,1,-0.0029022,0.008708,0.001621,-0.0034876,-0.0017948,0.016235,-0.0090785
V1_pop,0.0028299,-0.0029022,1,-0.093624,-0.012085,0.53356,-0.088755,0.046707,0.10554
V2_pop,-0.026289,0.008708,-0.093624,1,-0.00081598,-0.10384,0.54734,-0.21164,-0.23011
omega_Cl,-0.0023625,0.001621,-0.012085,-0.00081598,1,-0.0078892,0.012745,-0.011323,-0.030536
omega_V1,0.0035605,-0.0034876,0.53356,-0.10384,-0.0078892,1,-0.19825,-0.080329,0.027101
omega_Q,-0.0067091,-0.0017948,-0.088755,0.54734,0.012745,-0.19825,1,-0.28253,-0.2027
omega_V2,-0.009557,0.016235,0.046707,-0.21164,-0.011323,-0.080329,-0.28253,1,0.12494
a,0.015781,-0.0090785,0.10554,-0.23011,-0.030536,0.027101,-0.2027,0.12494,1
