standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.59933,0.17051,-1.86213,0.0965992,-2.58284,0.0537023,-2.05418,0.10479,All
-1.30458,0.414096,-1.49052,0.212518,-2.04808,0.0805534,-1.71162,0.167665,All
-1.00984,0.146152,-1.11891,0.309117,-1.51332,0.174532,-1.36906,0.146707,All
-0.715102,0.389738,-0.747295,0.212518,-0.978558,0.187958,-1.02649,0.230539,All
-0.420361,0.633324,-0.375683,0.521636,-0.443796,0.24166,-0.683928,0.419162,All
-0.12562,0.243586,-0.00407107,0.482996,0.0909663,0.45647,-0.341363,0.461078,All
0.169121,0.267945,0.367541,0.309117,0.625728,0.335639,0.00120087,0.377245,All
0.463863,0.243586,0.739153,0.328437,1.16049,0.281937,0.343765,0.335329,All
0.758604,0.267945,1.11077,0.251158,1.69525,0.134256,0.686329,0.146707,All
1.05335,0.341021,1.48238,0.0579595,2.23001,0.0537023,1.02889,0.314371,All
1.34809,0.267945,1.85399,0.0193198,2.76478,0,1.37146,0.335329,All
1.64283,0.0974344,2.2256,0,3.29954,0,1.71402,0.0628742,All
1.93757,0.17051,2.59721,0.0965992,3.8343,0.0134256,2.05659,0.0419162,All
