trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtWTKG_abscissa,trans_Cl_vs_logtWTKG_spline,trans_Cl_vs_logtWTKG_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtWTKG_abscissa,trans_Q_vs_logtWTKG_spline,trans_Q_vs_logtWTKG_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtWTKG_abscissa,trans_V1_vs_logtWTKG_spline,trans_V1_vs_logtWTKG_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtWTKG_abscissa,trans_V2_vs_logtWTKG_spline,trans_V2_vs_logtWTKG_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.61685,2.83116,59,2.57083,2.51175,-0.137992,2.56982,2.50921,0.481481,2.61685,2.83116,0.26,3.7031,3.09419,59,3.01684,3.13857,-0.137992,3.0153,3.13472,0.481481,3.7031,3.09419,0.26,3.41572,3.17042,59,3.2493,3.24283,-0.137992,3.25092,3.24688,0.481481,3.41572,3.17042,0.26,3.29664,2.76333,59,2.4744,2.73763,-0.137992,2.49084,2.77873,0.481481,3.29664,2.76333,All
0.267677,2.62529,2.8252,59.3131,2.54292,2.51507,-0.133726,2.54719,2.51231,0.495698,2.62529,2.8252,0.267677,3.62974,3.09826,59.3131,3.03492,3.14253,-0.133726,3.0309,3.13844,0.495698,3.62974,3.09826,0.267677,3.40835,3.17072,59.3131,3.25308,3.24065,-0.133726,3.2542,3.24477,0.495698,3.40835,3.17072,0.267677,3.22427,2.75719,59.3131,2.68965,2.73018,-0.133726,2.66471,2.77063,0.495698,3.22427,2.75719,All
0.275354,2.63373,2.81924,59.6263,2.51501,2.51839,-0.129461,2.52456,2.51541,0.509914,2.63373,2.81924,0.275354,3.55638,3.10233,59.6263,3.053,3.1465,-0.129461,3.04651,3.14216,0.509914,3.55638,3.10233,0.275354,3.40097,3.17103,59.6263,3.25686,3.23847,-0.129461,3.25747,3.24266,0.509914,3.40097,3.17103,0.275354,3.15191,2.75105,59.6263,2.9049,2.72273,-0.129461,2.83858,2.76252,0.509914,3.15191,2.75105,All
0.28303,2.64217,2.81328,59.9394,2.48711,2.52171,-0.125196,2.50194,2.51851,0.52413,2.64217,2.81328,0.28303,3.48302,3.1064,59.9394,3.07107,3.15046,-0.125196,3.06211,3.14588,0.52413,3.48302,3.1064,0.28303,3.39359,3.17133,59.9394,3.26063,3.23629,-0.125196,3.26074,3.24055,0.52413,3.39359,3.17133,0.28303,3.07954,2.74491,59.9394,3.12014,2.71528,-0.125196,3.01245,2.75442,0.52413,3.07954,2.74491,All
0.290707,2.65061,2.80732,60.2525,2.55371,2.52504,-0.12093,2.4851,2.52161,0.538346,2.65061,2.80732,0.290707,3.40966,3.11047,60.2525,3.17119,3.15442,-0.12093,3.08248,3.1496,0.538346,3.40966,3.11047,0.290707,3.38622,3.17164,60.2525,3.22094,3.23411,-0.12093,3.26125,3.23844,0.538346,3.38622,3.17164,0.290707,3.00718,2.73878,60.2525,3.18461,2.70783,-0.12093,3.17722,2.74632,0.538346,3.00718,2.73878,All
0.298384,2.65905,2.80136,60.5657,2.64299,2.52836,-0.116665,2.55957,2.52471,0.552563,2.65905,2.80136,0.298384,3.3363,3.11455,60.5657,3.291,3.15838,-0.116665,3.17795,3.15333,0.552563,3.3363,3.11455,0.298384,3.37884,3.17194,60.5657,3.1708,3.23193,-0.116665,3.21813,3.23633,0.552563,3.37884,3.17194,0.298384,2.93481,2.73264,60.5657,3.21288,2.70038,-0.116665,3.19852,2.73822,0.552563,2.93481,2.73264,All
0.306061,2.66749,2.79539,60.8788,2.73227,2.53168,-0.1124,2.63403,2.5278,0.566779,2.66749,2.79539,0.306061,3.26294,3.11862,60.8788,3.41081,3.16234,-0.1124,3.27341,3.15705,0.566779,3.26294,3.11862,0.306061,3.37147,3.17225,60.8788,3.12067,3.22975,-0.1124,3.17502,3.23422,0.566779,3.37147,3.17225,0.306061,2.86245,2.7265,60.8788,3.24115,2.69294,-0.1124,3.21982,2.73012,0.566779,2.86245,2.7265,All
0.313737,2.67593,2.78943,61.1919,2.75406,2.535,-0.108134,2.70849,2.5309,0.580995,2.67593,2.78943,0.313737,3.18957,3.12269,61.1919,3.45901,3.1663,-0.108134,3.36887,3.16077,0.580995,3.18957,3.12269,0.313737,3.36409,3.17256,61.1919,3.10976,3.22757,-0.108134,3.1319,3.23211,0.580995,3.36409,3.17256,0.313737,2.79008,2.72036,61.1919,3.22741,2.68549,-0.108134,3.24112,2.72202,0.580995,2.79008,2.72036,All
0.321414,2.68437,2.78347,61.5051,2.73321,2.53832,-0.103869,2.76591,2.534,0.595211,2.68437,2.78347,0.321414,3.11621,3.12676,61.5051,3.46197,3.17026,-0.103869,3.44743,3.16449,0.595211,3.11621,3.12676,0.321414,3.35672,3.17286,61.5051,3.12361,3.22539,-0.103869,3.09902,3.23,0.595211,3.35672,3.17286,0.321414,2.71772,2.71422,61.5051,3.18713,2.67804,-0.103869,3.25209,2.71392,0.595211,2.71772,2.71422,All
0.329091,2.69281,2.77751,61.8182,2.71236,2.54164,-0.0996034,2.74793,2.5371,0.609428,2.69281,2.77751,0.329091,3.04285,3.13083,61.8182,3.46493,3.17422,-0.0996034,3.45122,3.16821,0.609428,3.04285,3.13083,0.329091,3.34934,3.17317,61.8182,3.13747,3.22321,-0.0996034,3.11144,3.22789,0.609428,3.34934,3.17317,0.329091,2.64535,2.70809,61.8182,3.14684,2.67059,-0.0996034,3.21736,2.70582,0.609428,2.64535,2.70809,All
