trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_log_WTKG_abscissa,trans_Cl_vs_log_WTKG_spline,trans_Cl_vs_log_WTKG_regression,trans_V_vs_WTKG_abscissa,trans_V_vs_WTKG_spline,trans_V_vs_WTKG_regression,trans_V_vs_log_WTKG_abscissa,trans_V_vs_log_WTKG_spline,trans_V_vs_log_WTKG_regression,split
59,2.61472,2.59067,4.07754,2.61425,2.5895,59,3.45139,3.47181,4.07754,3.45367,3.47751,All
59.3131,2.59617,2.59382,4.0818,2.59909,2.59239,59.3131,3.47653,3.4711,4.0818,3.47437,3.47668,All
59.6263,2.57761,2.59696,4.08607,2.58392,2.59529,59.6263,3.50168,3.4704,4.08607,3.49507,3.47586,All
59.9394,2.55906,2.60011,4.09033,2.56876,2.59819,59.9394,3.52683,3.46969,4.09033,3.51577,3.47503,All
60.2525,2.67042,2.60326,4.0946,2.56159,2.60108,60.2525,3.50903,3.46899,4.0946,3.53373,3.47421,All
60.5657,2.81295,2.60641,4.09886,2.68035,2.60398,60.5657,3.48093,3.46829,4.09886,3.50847,3.47338,All
60.8788,2.95548,2.60956,4.10313,2.79912,2.60687,60.8788,3.45283,3.46758,4.10313,3.4832,3.47256,All
61.1919,2.98933,2.6127,4.1074,2.91788,2.60977,61.1919,3.44791,3.46688,4.1074,3.45793,3.47173,All
61.5051,2.95453,2.61585,4.11166,3.00919,2.61267,61.5051,3.45763,3.46617,4.11166,3.43898,3.47091,All
61.8182,2.91973,2.619,4.11593,2.97908,2.61556,61.8182,3.46734,3.46547,4.11593,3.44795,3.47008,All
62.1313,2.88493,2.62215,4.12019,2.94897,2.61846,62.1313,3.47706,3.46477,4.12019,3.45693,3.46926,All
62.4444,2.85013,2.62529,4.12446,2.91886,2.62135,62.4444,3.48677,3.46406,4.12446,3.4659,3.46844,All
62.7576,2.81533,2.62844,4.12872,2.88874,2.62425,62.7576,3.49649,3.46336,4.12872,3.47488,3.46761,All
63.0707,2.78053,2.63159,4.13299,2.85863,2.62714,63.0707,3.5062,3.46266,4.13299,3.48385,3.46679,All
63.3838,2.74573,2.63474,4.13725,2.82852,2.63004,63.3838,3.51592,3.46195,4.13725,3.49282,3.46596,All
63.697,2.71093,2.63788,4.14152,2.79841,2.63294,63.697,3.52563,3.46125,4.14152,3.5018,3.46514,All
64.0101,2.67613,2.64103,4.14578,2.76829,2.63583,64.0101,3.53535,3.46054,4.14578,3.51077,3.46431,All
64.3232,2.64133,2.64418,4.15005,2.73818,2.63873,64.3232,3.54506,3.45984,4.15005,3.51975,3.46349,All
64.6364,2.60654,2.64733,4.15431,2.70807,2.64162,64.6364,3.55478,3.45914,4.15431,3.52872,3.46266,All
64.9495,2.57174,2.65048,4.15858,2.67796,2.64452,64.9495,3.56449,3.45843,4.15858,3.53769,3.46184,All
65.2626,2.55661,2.65362,4.16284,2.64785,2.64742,65.2626,3.53811,3.45773,4.16284,3.54667,3.46101,All
65.5758,2.54526,2.65677,4.16711,2.61773,2.65031,65.5758,3.50479,3.45702,4.16711,3.55564,3.46019,All
65.8889,2.53391,2.65992,4.17138,2.58762,2.65321,65.8889,3.47146,3.45632,4.17138,3.56462,3.45937,All
66.202,2.52256,2.66307,4.17564,2.56352,2.6561,66.202,3.43814,3.45562,4.17564,3.56139,3.45854,All
66.5152,2.51122,2.66621,4.17991,2.55388,2.659,66.5152,3.40481,3.45491,4.17991,3.52887,3.45772,All
66.8283,2.49987,2.66936,4.18417,2.54423,2.66189,66.8283,3.37149,3.45421,4.18417,3.49635,3.45689,All
67.1414,2.50694,2.67251,4.18844,2.53458,2.66479,67.1414,3.34064,3.45351,4.18844,3.46383,3.45607,All
67.4545,2.53637,2.67566,4.1927,2.52493,2.66769,67.4545,3.3128,3.4528,4.1927,3.43131,3.45524,All
67.7677,2.5658,2.6788,4.19697,2.51529,2.67058,67.7677,3.28496,3.4521,4.19697,3.39879,3.45442,All
68.0808,2.59899,2.68195,4.20123,2.50564,2.67348,68.0808,3.26699,3.45139,4.20123,3.36627,3.45359,All
68.3939,2.64299,2.6851,4.2055,2.50282,2.67637,68.3939,3.27737,3.45069,4.2055,3.33525,3.45277,All
68.7071,2.687,2.68825,4.20976,2.5293,2.67927,68.7071,3.28775,3.44999,4.20976,3.31064,3.45194,All
69.0202,2.73101,2.6914,4.21403,2.55578,2.68217,69.0202,3.29813,3.44928,4.21403,3.28604,3.45112,All
69.3333,2.77501,2.69454,4.21829,2.58227,2.68506,69.3333,3.30851,3.44858,4.21829,3.26144,3.45029,All
69.6465,2.81902,2.69769,4.22256,2.61964,2.68796,69.6465,3.31889,3.44787,4.22256,3.2637,3.44947,All
69.9596,2.86303,2.70084,4.22683,2.66133,2.69085,69.9596,3.32927,3.44717,4.22683,3.27663,3.44865,All
70.2727,2.86429,2.70399,4.23109,2.70303,2.69375,70.2727,3.33839,3.44647,4.23109,3.28956,3.44782,All
70.5859,2.85923,2.70713,4.23536,2.74473,2.69664,70.5859,3.34732,3.44576,4.23536,3.30249,3.447,All
70.899,2.85417,2.71028,4.23962,2.78642,2.69954,70.899,3.35625,3.44506,4.23962,3.31543,3.44617,All
71.2121,2.8491,2.71343,4.24389,2.82812,2.70244,71.2121,3.36519,3.44435,4.24389,3.32836,3.44535,All
71.5253,2.84404,2.71658,4.24815,2.86982,2.70533,71.5253,3.37412,3.44365,4.24815,3.34129,3.44452,All
71.8384,2.83897,2.71972,4.25242,2.86775,2.70823,71.8384,3.38305,3.44295,4.25242,3.3494,3.4437,All
72.1515,2.83391,2.72287,4.25668,2.86186,2.71112,72.1515,3.39198,3.44224,4.25668,3.35709,3.44287,All
72.4646,2.82885,2.72602,4.26095,2.85598,2.71402,72.4646,3.40091,3.44154,4.26095,3.36478,3.44205,All
72.7778,2.82378,2.72917,4.26521,2.85009,2.71692,72.7778,3.40984,3.44084,4.26521,3.37248,3.44122,All
73.0909,2.81872,2.73232,4.26948,2.8442,2.71981,73.0909,3.41877,3.44013,4.26948,3.38017,3.4404,All
