"","ETA","Covariable","full_AIC","reduced_AIC","full_df","reduced_df","LRT","p","interp"
"1","eta_Cl_SAEM","AGEA",23.5952370380728,22.1108316687513,3,2,0.515594630678535,0.47272696104551,"NS"
"2","eta_Cl_SAEM","ALBGDL",21.6761126009546,22.1108316687513,3,2,2.43471906779672,0.118675154364768,"NS"
"3","eta_Cl_SAEM","ANTU",23.7399084004608,22.1108316687513,3,2,0.370923268290479,0.542501437474802,"NS"
"4","eta_Cl_SAEM","CLCRMLMIN",-19.1577039483688,22.1108316687513,3,2,43.2685356171201,4.77195703758891e-11,"< 0.05"
"5","eta_Cl_SAEM","DIND",6.83828868332696,22.1108316687513,3,2,17.2725429854243,3.23832543898138e-05,"< 0.05"
"6","eta_Cl_SAEM","HCM",21.722003230592,22.1108316687513,3,2,2.38882843815935,0.122205182162447,"NS"
"7","eta_Cl_SAEM","IMCKGM2",-26.0959730126645,22.1108316687513,3,2,50.2068046814158,1.383671720937e-12,"< 0.05"
"8","eta_Cl_SAEM","LLP",14.8287940396322,22.1108316687513,3,2,9.28203762911907,0.00231411862414026,"< 0.05"
"9","eta_Cl_SAEM","LMP",8.71500132820246,22.1108316687513,3,2,15.3958303405488,8.71804547747465e-05,"< 0.05"
"10","eta_Cl_SAEM","PROGDL",23.8906847277219,22.1108316687513,3,2,0.220146941029402,0.638927979491341,"NS"
"11","eta_Cl_SAEM","RAL",23.0681795692703,22.1108316687513,3,2,1.04265209948095,0.307205464958505,"NS"
"12","eta_Cl_SAEM","RAN",16.193235434486,22.1108316687513,3,2,7.91759623426526,0.00489562745042182,"< 0.05"
"13","eta_Cl_SAEM","SCM2",-5.85896040457985,22.1108316687513,3,2,29.9697920733311,4.38829694163159e-08,"< 0.05"
"14","eta_Cl_SAEM","SCRMGDL",-50.9089141533432,22.1108316687513,3,2,75.0197458220945,4.66029799626022e-18,"< 0.05"
"15","eta_Cl_SAEM","SEXF",22.5337104645934,22.1108316687513,3,2,1.57712120415792,0.209175848572447,"NS"
"16","eta_Cl_SAEM","WTKG",-30.2263217646808,22.1108316687513,3,2,54.3371534334321,1.68878436983626e-13,"< 0.05"
"17","eta_Q_SAEM","AGEA",441.959722368537,533.738827365704,3,2,93.7791049971671,3.52776370044053e-22,"< 0.05"
"18","eta_Q_SAEM","ALBGDL",481.524263745586,533.738827365704,3,2,54.2145636201186,1.79749668076791e-13,"< 0.05"
"19","eta_Q_SAEM","ANTU",466.470215195193,533.738827365704,3,2,69.2686121705113,8.59262236004133e-17,"< 0.05"
"20","eta_Q_SAEM","CLCRMLMIN",450.987565734625,533.738827365704,3,2,84.7512616310793,3.38363129723334e-20,"< 0.05"
"21","eta_Q_SAEM","DIND",482.668833207308,533.738827365704,3,2,53.0699941583962,3.21871929951052e-13,"< 0.05"
"22","eta_Q_SAEM","HCM",476.783617672796,533.738827365704,3,2,58.9552096929081,1.61302210106333e-14,"< 0.05"
"23","eta_Q_SAEM","IMCKGM2",446.572897130498,533.738827365704,3,2,89.1659302352063,3.63047771110302e-21,"< 0.05"
"24","eta_Q_SAEM","LLP",452.805707264669,533.738827365704,3,2,82.9331201010352,8.48770665024676e-20,"< 0.05"
