Created by:,MLEM,
Model Description:, 2COMPCL.FOR - 2 compart., CL param. - linear variance,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         3,                     5,                     2,                     0,
Number, IndividID,                'CLt                  ', 'Vc                   ', 'Ka                   ', 'CLd                  ', 'Vp                   ', 'IC(   1)             ', 'IC(   2)             ', 'IC(   3)             ', 'SDinter              ', 'SDslope              ', 'Kel                  ', 'Vc                   ', 'Kcp                  ', 'Kpc                  ', 'LAM1                 ', 'LAM2                 ', 't1/2-LAM1            ', 't1/2-LAM2            ', 'NegLogLikelihood     ', 'CLt/CLt              ', 'Vc/CLt               ', 'Vc/Vc                ', 'CLd/CLt              ', 'CLd/Vc               ', 'CLd/CLd              ', 'Vp/CLt               ', 'Vp/Vc                ', 'Vp/CLd               ', 'Vp/Vp                ', 'R(   1)              ', 'CLt-mean             ', 'Vc-mean              ', 'CLd-mean             ', 'Vp-mean              ', 'modeCLt              ', 'modeVc               ', 'modeCLd              ', 'modeVp               ',
       ,ParameterEstimated?   ,    Y,                       Y,                       N,                       Y,                       Y,                       N,                       N,                       N,                       Y,                       Y,
1,      'Sujeto_1            ',     15.8314    ,             22.1379    ,             0.00000    ,             7.13318    ,             19.8363    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.715477    ,             22.1379    ,            0.322434    ,            0.359827    ,             1.18071    ,            0.217028    ,            0.591077    ,             3.21699    ,             20.0573    ,            0.725062E-02,            0.151296E-03,            0.644379E-03,            0.194844E-02,           -0.352591E-04,            0.152143E-01,            0.138447E-04,           -0.175679E-05,            0.562847E-06,            0.626295E-03,             6000.00    ,             2.94493    ,            0.153909E-01,            0.271612    ,            0.130582E-01,             15.7361    ,             21.9255    ,             7.14592    ,             19.8455    ,
2,      'Sujeto_2            ',     16.5375    ,             22.1002    ,             0.00000    ,             6.82739    ,             19.8175    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.748651    ,             22.1002    ,            0.309138    ,            0.344735    ,             1.18601    ,            0.216511    ,            0.588010    ,             3.22434    ,             17.1395    ,            0.699359E-02,            0.164954E-03,            0.638344E-03,            0.100744E-02,           -0.394083E-04,            0.153991E-01,           -0.172450E-04,            0.214168E-05,           -0.204494E-04,            0.626300E-03,             6000.00    ,             3.65112    ,           -0.223130E-01,           -0.341814E-01,           -0.572673E-02,             16.9437    ,             22.1105    ,             6.88449    ,             19.8611    ,
3,      'Sujeto_3            ',     16.2814    ,             22.1453    ,             0.00000    ,             6.92494    ,             19.8237    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.735562    ,             22.1453    ,            0.312919    ,            0.349550    ,             1.18149    ,            0.216545    ,            0.590427    ,             3.22404    ,             17.9358    ,            0.705396E-02,            0.159999E-03,            0.643585E-03,            0.133165E-02,           -0.408902E-04,            0.154780E-01,           -0.126784E-04,            0.296124E-06,           -0.116419E-04,            0.627646E-03,             6000.00    ,             3.39495    ,            0.227595E-01,            0.633700E-01,            0.395582E-03,             16.4664    ,             22.1411    ,             6.81253    ,             19.8710    ,
4,      'Sujeto_4            ',     12.7200    ,             22.1318    ,             0.00000    ,             6.83268    ,             19.8183    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.575014    ,             22.1318    ,            0.308939    ,            0.344989    ,             1.03895    ,            0.189989    ,            0.671610    ,             3.67004    ,             18.3439    ,            0.608439E-02,            0.160009E-03,            0.641857E-03,            0.846262E-03,           -0.455301E-04,            0.154884E-01,           -0.166691E-05,            0.225800E-05,           -0.204398E-04,            0.627594E-03,             4000.00    ,           -0.166460    ,            0.924066E-02,           -0.288906E-01,           -0.495397E-02,             12.8378    ,             22.1022    ,             6.84694    ,             19.7685    ,
5,      'Sujeto_5            ',     11.6029    ,             22.0769    ,             0.00000    ,             6.85786    ,             19.8556    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.525843    ,             22.0769    ,            0.310840    ,            0.345602    ,             1.00175    ,            0.180539    ,            0.696601    ,             3.86024    ,             18.9714    ,            0.616027E-02,            0.117438E-03,            0.638089E-03,            0.693322E-03,           -0.217973E-04,            0.146843E-01,            0.296761E-04,           -0.180311E-06,            0.447347E-05,            0.626904E-03,             4000.00    ,            -1.28348    ,           -0.456409E-01,           -0.371364E-02,            0.322876E-01,             11.5809    ,             21.9544    ,             6.71133    ,             19.8716    ,
6,      'Sujeto_6            ',     13.4826    ,             22.1333    ,             0.00000    ,             6.94122    ,             19.8395    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.609452    ,             22.1333    ,            0.313821    ,            0.350089    ,             1.07603    ,            0.197332    ,            0.648347    ,             3.53390    ,             17.5426    ,            0.630113E-02,            0.152014E-03,            0.644567E-03,            0.103895E-02,           -0.293062E-04,            0.149233E-01,            0.184779E-04,           -0.202313E-06,           -0.426598E-06,            0.627472E-03,             4000.00    ,            0.596131    ,            0.107797E-01,            0.796549E-01,            0.161827E-01,             13.5629    ,             22.0868    ,             6.91245    ,             19.8866    ,
7,      'Sujeto_7            ',     8.00305    ,             22.2212    ,             0.00000    ,             7.16879    ,             19.8340    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.360335    ,             22.2212    ,            0.322832    ,            0.361667    ,            0.900688    ,            0.144145    ,            0.776643    ,             4.83207    ,             26.7270    ,            0.524040E-02,            0.140312E-03,            0.645442E-03,            0.137295E-02,           -0.419372E-04,            0.153569E-01,           -0.135315E-05,           -0.344519E-06,           -0.181299E-05,            0.626835E-03,             8000.00    ,            -4.88338    ,            0.986869E-01,            0.307215    ,            0.107238E-01,             7.98638    ,             22.4241    ,             7.23409    ,             19.8743    ,
8,      'Sujeto_8            ',     10.3938    ,             22.1221    ,             0.00000    ,             6.76858    ,             19.8170    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.470075    ,             22.1221    ,            0.306175    ,            0.341773    ,            0.949671    ,            0.168351    ,            0.735238    ,             4.13904    ,             21.0077    ,            0.593060E-02,            0.138739E-03,            0.639951E-03,            0.556286E-03,           -0.449648E-04,            0.154262E-01,           -0.173637E-04,            0.202461E-05,           -0.141645E-04,            0.627491E-03,             4000.00    ,            -2.49258    ,           -0.450883E-03,           -0.929899E-01,           -0.624914E-02,             10.4850    ,             22.1102    ,             6.69190    ,             19.8446    ,
9,      'Sujeto_9            ',     16.9112    ,             22.1391    ,             0.00000    ,             6.87736    ,             19.8124    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.688213    ,            0.226452    ,            0.764209    ,             22.1391    ,            0.310856    ,            0.347352    ,             1.20283    ,            0.219587    ,            0.579832    ,             3.17994    ,             18.7884    ,            0.687062E-02,            0.188184E-03,            0.642436E-03,            0.119239E-02,           -0.403371E-04,            0.157500E-01,           -0.289806E-04,            0.588378E-06,           -0.271809E-04,            0.628183E-03,             4000.00    ,             4.02476    ,            0.165189E-01,            0.157883E-01,           -0.108869E-01,             17.1078    ,             22.1387    ,             6.94449    ,             19.7938    ,
