iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,1149.59,1,13.5117,25.7859,23.9255,12.9609,1.57135,2,1.70506,0.259211,0.951184,0.277828,0.866557
2,1064.44,1,22.7359,18.5754,21.5413,18.8722,1.49279,1.9,1.70506,0.252647,0.927099,0.270794,0.844615
3,1017.32,1,27.1984,17.2351,20.6355,25.6581,1.41815,1.805,1.70506,0.24625,0.903625,0.29415,0.823229
4,977.592,1,30.2359,22.6704,19.3211,34.0494,1.34724,1.71475,1.70506,0.240015,0.880744,0.298631,0.802385
5,951.843,1,33.7484,28.9767,18.3228,50.9785,1.27988,1.62901,1.70506,0.233938,0.858444,0.354888,0.782068
6,918.875,1,36.6768,38.7732,19.7685,70.9423,1.21588,1.54756,1.70506,0.228014,0.836707,0.37362,0.762265
7,899.425,1,40.5182,53.1594,20.0917,96.8041,1.15509,1.47018,1.70506,0.222241,0.815521,0.406842,0.742964
8,865.04,1,43.7894,87.28,18.6505,116.965,1.09734,1.39667,1.70506,0.216613,0.794872,0.411757,0.724152
9,855.279,1,45.8961,129.069,17.6941,143.111,1.04247,1.32684,1.70506,0.211129,0.774745,0.406835,0.705816
10,838.696,1,46.6384,136.847,18.53,163.104,0.990345,1.2605,1.70506,0.205783,0.755128,0.396534,0.687944
11,837.538,1,47.3304,183.342,17.3084,165.795,0.940828,1.19747,1.70506,0.200572,0.736008,0.417504,0.670525
12,816.665,1,48.8031,214.346,16.5275,160.201,0.893787,1.1376,1.70506,0.195494,0.717372,0.406933,0.653547
13,818.593,1,48.5061,270.997,16.5125,179.318,0.849097,1.08072,1.70506,0.190544,0.699208,0.43889,0.636999
14,809.827,1,47.4512,324.51,16.5956,171.727,0.806642,1.02668,1.70506,0.185719,0.681503,0.446326,0.62087
15,810.878,1,48.135,344.691,17.4049,185.422,0.76631,0.97535,1.70506,0.181016,0.697164,0.447808,0.605149
16,798.58,1,47.1351,338.09,16.8562,185.862,0.727995,0.926582,1.70506,0.176433,0.679512,0.436469,0.589826
17,792.548,1,46.9779,419.611,17.8559,192.258,0.691595,0.880253,1.70506,0.171966,0.662306,0.440218,0.574892
18,802.725,1,44.846,453.301,18.0931,180.257,0.657015,0.836241,1.70506,0.167611,0.669577,0.469466,0.560335
19,793.592,1,44.6232,452.665,17.8286,160.325,0.624165,0.794429,1.70506,0.163367,0.66767,0.47323,0.546147
20,785.181,1,42.8737,462.597,18.4993,162.364,0.592956,0.754707,1.70506,0.159231,0.650764,0.461248,0.532318
21,781.548,1,44.2626,467.912,18.4352,169.473,0.5102,0.64161,1.77709,0.155199,0.634286,0.460436,0.51884
