Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
-3.19701,-0.27161,-0.0617782,-6.17436e-08,0.0600518,0.0600518,-1.26304,0.0842431,0.0204539,-0.637767,0.796208,-0.27231,-6.17436e-08,0.274483,0.274483,-1.26304,-0.172309,-0.545206,-0.637767,1.72584e-08,2.74678e-09,-3.19701,6.83279e-09,4.21046e-09,-1.26304,1.03042e-08,8.84633e-10,-0.637767,0.591413,0.0566565,-3.19701,-0.195428,-0.282344,-6.17436e-08,0.0892965,0.0892965
-3.13021,-0.257707,-0.0604879,-6.06367e-08,0.0589296,0.0589296,-1.23708,0.0693367,0.0200219,-0.626216,0.781012,-0.268029,-6.06367e-08,0.268746,0.268746,-1.23708,-0.166718,-0.534821,-0.626216,1.51916e-08,2.66433e-09,-3.13021,6.73383e-09,4.08342e-09,-1.23708,9.89966e-09,8.29848e-10,-0.626216,0.576016,0.0558047,-3.13021,-0.199767,-0.276172,-6.06367e-08,0.0878262,0.0878262
-3.06341,-0.243804,-0.0591975,-5.95298e-08,0.0578074,0.0578074,-1.21111,0.0544303,0.0195899,-0.614665,0.765815,-0.263747,-5.95298e-08,0.263009,0.263009,-1.21111,-0.161127,-0.524436,-0.614665,1.31247e-08,2.58187e-09,-3.06341,6.63488e-09,3.95639e-09,-1.21111,9.49511e-09,7.75063e-10,-0.614665,0.560619,0.0549528,-3.06341,-0.204106,-0.270001,-5.95298e-08,0.086356,0.086356
-2.99661,-0.229902,-0.0579071,-5.84229e-08,0.0566851,0.0566851,-1.18515,0.0395238,0.0191579,-0.603114,0.750619,-0.259466,-5.84229e-08,0.257273,0.257273,-1.18515,-0.155536,-0.514051,-0.603114,1.10578e-08,2.49942e-09,-2.99661,6.53592e-09,3.82935e-09,-1.18515,9.09055e-09,7.20279e-10,-0.603114,0.545223,0.054101,-2.99661,-0.208445,-0.263829,-5.84229e-08,0.0848858,0.0848858
-2.92981,-0.215999,-0.0566168,-5.7316e-08,0.0555629,0.0555629,-1.15918,0.0246174,0.0187259,-0.591563,0.735422,-0.255184,-5.7316e-08,0.251536,0.251536,-1.15918,-0.149945,-0.503666,-0.591563,8.99096e-09,2.41696e-09,-2.92981,6.43697e-09,3.70231e-09,-1.15918,8.686e-09,6.65494e-10,-0.591563,0.529826,0.0532491,-2.92981,-0.212784,-0.257658,-5.7316e-08,0.0834155,0.0834155
-2.86301,-0.202097,-0.0553264,-5.62092e-08,0.0544407,0.0544407,-1.13322,0.0109228,0.0182939,-0.580012,0.720226,-0.250903,-5.62092e-08,0.245799,0.245799,-1.13322,-0.144512,-0.493282,-0.580012,6.92409e-09,2.33451e-09,-2.86301,6.33801e-09,3.57527e-09,-1.13322,8.24938e-09,6.10709e-10,-0.580012,0.514429,0.0523973,-2.86301,-0.217123,-0.251487,-5.62092e-08,0.0819453,0.0819453
-2.79621,-0.188194,-0.054036,-5.51023e-08,0.0533185,0.0533185,-1.10725,0.00374238,0.0178619,-0.568461,0.705029,-0.246622,-5.51023e-08,0.240062,0.240062,-1.10725,-0.13993,-0.482897,-0.568461,4.85722e-09,2.25205e-09,-2.79621,6.23905e-09,3.44823e-09,-1.10725,7.64032e-09,5.55924e-10,-0.568461,0.499033,0.0515455,-2.79621,-0.221462,-0.245315,-5.51023e-08,0.0804751,0.0804751
-2.72941,-0.174292,-0.0527457,-5.39954e-08,0.0521963,0.0521963,-1.08128,-0.00161704,0.0174299,-0.55691,0.68747,-0.24234,-5.39954e-08,0.234326,0.234326,-1.08128,-0.136001,-0.472512,-0.55691,2.91246e-09,2.1696e-09,-2.72941,6.1401e-09,3.3212e-09,-1.08128,6.98719e-09,5.01139e-10,-0.55691,0.482402,0.0506936,-2.72941,-0.225801,-0.239144,-5.39954e-08,0.0790048,0.0790048
-2.66261,-0.160389,-0.0514553,-5.28885e-08,0.051074,0.051074,-1.05532,-0.00442233,0.0169979,-0.545359,0.644206,-0.238059,-5.28885e-08,0.228589,0.228589,-1.05532,-0.133235,-0.462127,-0.545359,2.29625e-09,2.08714e-09,-2.66261,6.04114e-09,3.19416e-09,-1.05532,6.27468e-09,4.46355e-10,-0.545359,0.45235,0.0498418,-2.66261,-0.23014,-0.232972,-5.28885e-08,0.0775346,0.0775346
-2.59581,-0.146486,-0.050165,-5.17816e-08,0.0499518,0.0499518,-1.02935,-0.00722761,0.0165659,-0.533808,0.600942,-0.233777,-5.17816e-08,0.222852,0.222852,-1.02935,-0.13047,-0.451743,-0.533808,1.68004e-09,2.00468e-09,-2.59581,5.94219e-09,3.06712e-09,-1.02935,5.56218e-09,3.9157e-10,-0.533808,0.422298,0.0489899,-2.59581,-0.234479,-0.226801,-5.17816e-08,0.0760644,0.0760644
