parameter,value
Cl_pop,13.4774383173607
V1_pop,23.5146069175684
beta_V1_logtCLCRMLMIN,-3.17994201977884
Q_pop,23.4
beta_Q_LMP_1,0.919521880080992
beta_Q_logtAGEA,1.24474628315698
beta_Q_logtALBGDL,17.451874456228
beta_Q_logtPROGDL,-17.5572509337813
V2_pop,3.46872222726394
beta_V2_SEXF_1,4.33773347721844
beta_V2_logtHCM,35.4791033841865
beta_V2_logtRAN,0.132397358131813
omega_Cl,0.259005193413767
omega_V1,0.277410878520912
omega_Q,2.39562702664568e-8
omega_V2,2.14138570748579e-8
a,1.41079179459656
b,0.0403593735544604
