iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,527.465,1,13.5088,24.1422,13.1053,1.5,0,1.5,1.5,1.5,1.5
2,528.958,1,17.4189,18.8068,15.5386,1.66456,-0.299002,1.46202,1.46202,1.46202,1.46202
3,529.105,1,17.557,18.7998,16.08,1.68406,-0.293197,1.425,1.425,1.425,1.425
4,530.167,1,17.6604,18.4077,16.8738,1.7109,-0.309826,1.38892,1.38892,1.38892,1.38892
5,527.671,1,17.518,18.2911,15.5295,1.7272,-0.308321,1.35375,1.35375,1.35375,1.35375
6,513.391,1,17.804,18.2296,15.7839,1.68347,-0.317504,1.31947,1.31947,1.31947,1.31947
7,518.28,1,17.62,18.2552,14.7695,1.68317,-0.306311,1.28606,1.28606,1.28606,1.28606
8,521.818,1,17.7574,17.9609,15.8918,1.7434,-0.310706,1.2535,1.2535,1.2535,1.2535
9,525.641,1,17.9341,18.1393,15.38,1.8143,-0.322339,1.22176,1.22176,1.22176,1.22176
10,521.301,1,17.7784,17.8222,14.1733,1.79507,-0.314269,1.19082,1.19082,1.19082,1.19082
11,516.493,1,17.7873,17.9846,14.1974,1.75084,-0.324451,1.16067,1.16067,1.16067,1.16067
12,512.343,1,17.4117,17.8579,13.7113,1.73544,-0.298369,1.13128,1.13128,1.13128,1.13128
13,510.179,1,17.4515,17.9411,13.3195,1.73442,-0.298413,1.10264,1.10264,1.10264,1.10264
14,506.241,1,17.7065,17.925,13.4068,1.70346,-0.305502,1.07472,1.07472,1.07472,1.07472
15,500.889,1,17.3567,17.9542,12.3782,1.68758,-0.292813,1.04751,1.04751,1.04751,1.04751
16,501.275,1,17.2981,18.0721,13.6842,1.6789,-0.293012,1.02098,1.02098,1.02098,1.08955
17,495.882,1,17.299,18.0923,13.0843,1.67669,-0.290942,0.995131,0.995131,0.995131,1.06196
18,490.966,1,17.4285,18.423,13.0875,1.66365,-0.296575,0.969933,0.969933,0.969933,1.03508
