A,P1,P2,P3,P4,P5,P6,crit
1,0.9996,0.4666667,1.4,2.8,4.6666667,7.308,0.006284542
2,0.8468833,0.4888889,1.4666667,2.9333333,4.8888889,7.0035,0.006304525
3,0.9174569,0.4740741,1.4222222,2.8444444,4.7407407,7.500125,0.006687592
4,0.8469797,0.4839506,1.4518519,2.9037037,4.8395062,7.3892604,0.006724859
5,0.8763935,0.4773663,1.4320988,2.8641975,4.7736626,7.6283342,0.006922071
6,0.843606,0.4817558,1.4452675,2.890535,4.8175583,7.5928247,0.006953346
7,0.7931419,0.483219,1.4496571,2.8993141,4.8321902,7.9526074,0.007429251
8,0.8183739,0.4324874,1.2974623,2.5949246,6.8248743,7.772716,0.007816415
9,0.8337626,0.4755201,1.4265604,2.8531207,5.0468679,7.716856,0.008519067
10,0.8150928,0.4304089,1.6912266,2.5824531,5.5679774,7.8140598,0.007219214
11,0.8081069,0.4398516,1.5528883,2.6391099,5.6948128,7.9596051,0.008103783
12,0.80057179999999994,0.3953223,1.4970781,2.3719339,5.9732849,7.8896628,0.008190125
13,0.8429066,0.3828044,1.563228,2.2968264,6.5214596,7.7460739,0.008473852
14,0.8063507,0.3269582,1.5339611,2.7617493,6.860803,7.8407059,0.008709545
15,0.7974676,0.402611,1.5452814,2.0823324,7.4810706,7.8442745,0.009141271
16,0.8094997,0.3629361,1.3054065,2.3331723,7.5507909,7.8702862,0.009584118
17,0.8103177,0.4118524,1.5049789,2.5229665,6.2817633,7.8934458,0.009528006
18,0.8073623,0.3909653,1.4777322,2.4019646,6.4467059,7.8587899,0.008571768
19,0.8062609,0.3268884,1.6794004,2.2047459,6.8893235,7.9118093,0.008730156
20,0.8109795,0.3886898,1.5112403,2.4348825,6.6200611,7.8693846,0.009551551
21,0.7697336,0.3502119,1.4544459,2.4427893,7.4281255,7.9856763,0.008891681
22,0.8037055,0.3753406,1.4913441,2.3892883,6.7925342,7.8729064,0.009801315
23,0.8049079,0.3730904,1.5064401,2.4019477,6.8935846,7.8784972,0.009074315
24,0.794368,0.3388914,1.5169677,2.3529574,7.5753652,7.9041768,0.009175317
25,0.8016952,0.3430315,1.5176424,2.5323701,7.0819232,7.869913,0.009919759
26,0.800706,0.3635927,1.5048154,2.3633378,7.1140089,7.8880932,0.009391278
27,0.7909835,0.3720123,1.4844634,2.0607416,7.5976384,7.9315258,0.009406907
28,0.7977125,0.361259,1.5012381,2.3047305,7.2671973,7.8980257,0.00980669
29,0.776009,0.3543552,1.7551925,2.1495934,7.1954492,7.9548766,0.009561792
30,0.7969866,0.3450559,1.611166,2.2184683,7.1567323,7.9157843,0.009877342
31,0.7774703,0.3597869,1.6212675,2.130897,7.5442631,7.9474124,0.00966883
32,0.7908631,0.3779983,1.5595993,2.1541201,7.4486665,7.8920916,0.0100196
33,0.7901123,0.3519659,1.5882444,2.2168257,7.3108251,7.9258721,0.009732135
34,0.7753625,0.3310762,1.5805945,2.297148,7.4352224,7.9910884,0.009774929
35,0.7711967,0.3501453,1.5493995,2.2612165,7.6145295,7.9790466,0.01003326
36,0.775316,0.3506282,1.5195467,2.3257741,7.4609351,7.9685153,0.01008588
37,0.7655907,0.3229488,1.6965261,2.4451205,7.3442831,7.9835128,0.009896316
38,0.7762798,0.3483007,1.6679548,2.2258895,7.3456078,7.9585843,0.01007551
39,0.7795021,0.3243182,1.7772616,2.2050662,7.5077654,7.94488,0.009956254
40,0.7843009,0.3391604,1.5829009,2.3069235,7.5203219,7.9357988,0.01014525
41,0.7748612,0.3275113,1.601362,2.3229011,7.6431873,7.968662,0.0102495
42,0.7791491,0.3375624,1.610318,2.2919908,7.5175985,7.9524496,0.01000659
43,0.7710838,0.3047339,1.6505531,2.4769174,7.4765989,7.9924674,0.01022226
44,0.7717653,0.3246638,1.7145456,2.3705894,7.5994319,7.9492511,0.01006752
45,0.7655175,0.313878,1.7195646,2.4019462,7.5443335,7.9868238,0.01019994
46,0.7689559,0.3235786,1.6826536,2.3924466,7.4542954,7.9768507,0.01028002
47,0.7734495,0.2590513,1.9741711,2.5625004,7.3837474,7.9513742,0.01031427
48,0.7764372,0.2944736,1.7964991,2.3875269,7.5973927,7.9543021,0.01015712
49,0.7760939,0.3098982,1.8772482,2.2732594,7.6153538,7.9259636,0.01034749
50,0.7727273,0.2812497,2.0184015,2.4107284,7.4394876,7.9355363,0.01039053
51,0.7589912,0.2429707,1.9956918,2.7931431,7.5743426,7.9618656,0.01043651
52,0.7693069,0.24251,2.0793132,2.5724453,7.4521207,7.9560374,0.01043937
53,0.7768178,0.2295064,2.1942104,2.5979217,7.4764814,7.9082027,0.0104136
54,0.7725893,0.2629097,1.9838659,2.5341689,7.4548052,7.9458461,0.01049709
55,0.7706848,0.2461732,1.9572081,2.6420933,7.6173445,7.9485363,0.01055917
56,0.7650574,0.2168492,2.2326801,2.7501503,7.46609,7.9278484,0.01053017
57,0.761722,0.1704082,2.2704082,3.0233815,7.3983743,7.9568152,0.0105129
58,0.7616041,0.1865629,2.2593047,2.9255428,7.5401126,7.9405891,0.0104514
59,0.7643995,0.1989185,2.1950715,2.8684655,7.4597281,7.9486642,0.01061124
60,0.7688774,0.2320314,1.9942531,2.7163869,7.5739533,7.9601167,0.01050895
61,0.7544702,0.2202158,1.9660704,2.908104,7.5960526,7.9970671,0.01046236
62,0.7635787,0.2579029,1.8888756,2.650773,7.6582473,7.9727399,0.0105916
63,0.7661707,0.2367431,2.0447735,2.6725596,7.5227314,7.9597616,0.01052655
64,0.7747104,0.2038732,2.0638591,2.6714437,7.6055356,7.9656741,0.01060775
65,0.7659125,0.2306015,2.0331843,2.7124751,7.5606362,7.9619411,0.01063322
