iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,omega_Cl,omega_Q,omega_V1,omega_V2,r
1,15.7956,1,13.6146,63.3821,18.1283,15.976,3.15251,0.262616,1.15737,2.20814e-08,0.520311,0.659147
2,12.2723,1,13.624,53.4942,18.1283,16.1755,2.6294,0.25174,1.15798,2.02258e-08,0.564217,0.659147
3,1.46315,1,13.5009,56.9489,18.1283,16.0696,2.41497,0.27241,1.20414,1.88058e-08,0.626403,0.659147
4,-12.4063,1,13.4678,65.6487,18.1283,16.3532,2.22657,0.263464,1.23241,2.01902e-08,0.60488,0.659147
5,-11.469,1,13.3713,62.5656,18.1283,16.2673,2.21849,0.255675,1.19372,2.09723e-08,0.649543,0.659147
6,-10.3917,1,13.4702,54.6328,18.1283,16.9142,2.21124,0.264474,1.12054,2.29583e-08,0.645929,0.659147
7,-23.0912,1,13.6057,55.5506,18.1283,16.4162,2.10568,0.265749,1.22762,2.05251e-08,0.579098,0.659147
8,-23.1975,1,13.6561,64.939,18.1283,15.4885,2.09609,0.26308,1.30247,1.97348e-08,0.587854,0.659147
9,-17.1715,1,13.5122,72.2683,18.1283,15.5479,2.12691,0.264689,1.29031,2.07945e-08,0.624278,0.659147
10,-19.9133,1,13.5691,65.5484,18.1283,15.5212,2.07738,0.269129,1.23728,2.20458e-08,0.636787,0.659147
11,-12.1261,1,13.5247,61.2089,18.1283,15.5848,2.18679,0.267925,1.23915,2.13895e-08,0.62676,0.659147
12,-13.6545,1,13.6309,65.7711,18.1283,15.5503,2.17662,0.267536,1.27801,2.03643e-08,0.625807,0.659147
13,-11.6071,1,13.6575,57.4587,18.1283,15.8879,2.23927,0.273119,1.14791,1.9043e-08,0.657273,0.659147
14,-17.7542,1,13.4516,55.6366,18.1283,15.3068,2.22359,0.259587,1.10684,1.89026e-08,0.616406,0.659147
15,-26.007,1,13.6162,52.4558,18.1283,15.8379,2.12542,0.271113,1.07916,1.82426e-08,0.620231,0.659147
16,-30.5552,1,13.4293,50.4948,18.1283,15.6958,2.05225,0.259386,1.03206,2.04459e-08,0.648425,0.659147
17,-27.499,1,13.5786,52.6884,18.1283,16.2072,2.03685,0.262649,1.09896,2.23285e-08,0.633528,0.659147
18,-24.4401,1,13.4843,56.9346,18.1283,16.4522,2.08238,0.260962,1.16646,2.13714e-08,0.609944,0.659147
19,-31.2055,1,13.5013,56.7309,18.1283,15.7714,2.02991,0.258038,1.07437,2.0707e-08,0.642182,0.659147
20,-32.7065,1,13.4292,59.4191,18.1283,16.228,2.0693,0.257428,1.12428,1.80672e-08,0.598181,0.659147
21,-28.7388,1,13.4924,57.9193,18.1283,16.3593,2.17557,0.253889,1.14585,1.57289e-08,0.574419,0.659147
22,-20.8955,1,13.3822,58.5871,18.1283,16.7203,2.26712,0.252407,1.22604,1.49012e-08,0.586578,0.659147
23,26.2138,1,13.3089,60.6745,18.1283,16.5351,2.08628,0.257087,1.26828,1.0668e-07,0.614683,0.659147
24,29.2983,1,13.3592,63.1967,18.1283,16.4412,2.08708,0.253448,1.29513,1.02267e-07,0.697816,0.659147
25,27.124,1,13.5225,63.463,18.1283,16.1704,2.05173,0.25885,1.26315,1.13972e-07,0.645517,0.659147
26,32.0821,1,13.5876,61.6673,18.1283,16.0295,2.07581,0.256154,1.2576,1.19088e-07,0.698336,0.659147
27,32.4925,1,13.3688,58.46,18.1283,16.3212,2.09971,0.255961,1.20919,1.22689e-07,0.666194,0.659147
