parameter,value,se_sa,rse_sa
Cl_pop,13.4926705222909,0.916601073535636,6.79332584325204
V1_pop,23.8149116085852,3.92303352183869,16.4730131537606
Q_pop,26.4758214734104,18.9693955772511,71.6479962531172
V2_pop,13.3150448232549,4.44218932007399,33.3621807439631
omega_Cl,0.259147589003016,0.0493990754819461,19.0621397142812
omega_V1,0.26450450310316,0.12482759325494,47.1929936127613
omega_Q,0.996155910227999,0.435925205858221,43.7607408019541
omega_V2,0.845412693382326,0.239156891339559,28.2887746081432
a,1.54667240432779,0.265786915395262,17.1844350912033
b,0.0431575643745581,0.0153539335959868,35.5764599288604
