Iteracion,Par,Parametro,Covariable,Criterio,Par1,LRT,BICc
1,Cl_ANTU,Cl,ANTU,0,44,NA,NA
1,Cl_LLP,Cl,LLP,0,25,NA,NA
1,Cl_LMP,Cl,LMP,0,49,NA,NA
1,Cl_SEXF,Cl,SEXF,0,46,NA,NA
1,Cl_logtAGEA,Cl,logtAGEA,0,47,NA,NA
1,Cl_logtALBGDL,Cl,logtALBGDL,0,52,NA,NA
1,Cl_logtCLCRMLMIN,Cl,logtCLCRMLMIN,0,41,NA,NA
1,Cl_logtHCM,Cl,logtHCM,0,34,NA,NA
1,Cl_logtIMCKGM2,Cl,logtIMCKGM2,0,24,NA,NA
1,Cl_logtPROGDL,Cl,logtPROGDL,0,55,NA,NA
1,Cl_logtRAL,Cl,logtRAL,0,21,NA,NA
1,Cl_logtRAN,Cl,logtRAN,0,40,NA,NA
1,Cl_logtSCM2,Cl,logtSCM2,0,38,NA,NA
1,Cl_logtWTKG,Cl,logtWTKG,0,23,NA,NA
1,Cl_tSCRMGDL,Cl,tSCRMGDL,1,35,NA,NA
1,V1_ANTU,V1,ANTU,0,10,NA,NA
1,V1_LLP,V1,LLP,0,48,NA,NA
1,V1_LMP,V1,LMP,0,11,NA,NA
1,V1_SEXF,V1,SEXF,0,1,NA,NA
1,V1_logtAGEA,V1,logtAGEA,0,30,NA,NA
1,V1_logtALBGDL,V1,logtALBGDL,0,3,NA,NA
1,V1_logtCLCRMLMIN,V1,logtCLCRMLMIN,0,4,NA,NA
1,V1_logtHCM,V1,logtHCM,0,7,NA,NA
1,V1_logtIMCKGM2,V1,logtIMCKGM2,0,27,NA,NA
1,V1_logtPROGDL,V1,logtPROGDL,0,39,NA,NA
1,V1_logtRAL,V1,logtRAL,0,14,NA,NA
1,V1_logtRAN,V1,logtRAN,0,36,NA,NA
1,V1_logtSCM2,V1,logtSCM2,0,15,NA,NA
1,V1_logtWTKG,V1,logtWTKG,0,22,NA,NA
1,V1_tSCRMGDL,V1,tSCRMGDL,0,31,NA,NA
1,Q_ANTU,Q,ANTU,0,9,NA,NA
1,Q_LLP,Q,LLP,0,45,NA,NA
1,Q_LMP,Q,LMP,0,16,NA,NA
1,Q_SEXF,Q,SEXF,0,18,NA,NA
1,Q_logtAGEA,Q,logtAGEA,0,5,NA,NA
1,Q_logtALBGDL,Q,logtALBGDL,0,51,NA,NA
1,Q_logtCLCRMLMIN,Q,logtCLCRMLMIN,0,60,NA,NA
1,Q_logtHCM,Q,logtHCM,0,50,NA,NA
1,Q_logtIMCKGM2,Q,logtIMCKGM2,0,43,NA,NA
1,Q_logtPROGDL,Q,logtPROGDL,0,59,NA,NA
1,Q_logtRAL,Q,logtRAL,0,32,NA,NA
1,Q_logtRAN,Q,logtRAN,0,57,NA,NA
1,Q_logtSCM2,Q,logtSCM2,0,6,NA,NA
1,Q_logtWTKG,Q,logtWTKG,0,26,NA,NA
1,Q_tSCRMGDL,Q,tSCRMGDL,0,13,NA,NA
1,V2_ANTU,V2,ANTU,0,42,NA,NA
1,V2_LLP,V2,LLP,0,37,NA,NA
1,V2_LMP,V2,LMP,0,56,NA,NA
1,V2_SEXF,V2,SEXF,0,17,NA,NA
1,V2_logtAGEA,V2,logtAGEA,0,29,NA,NA
1,V2_logtALBGDL,V2,logtALBGDL,0,20,NA,NA
1,V2_logtCLCRMLMIN,V2,logtCLCRMLMIN,0,28,NA,NA
1,V2_logtHCM,V2,logtHCM,0,58,NA,NA
1,V2_logtIMCKGM2,V2,logtIMCKGM2,0,54,NA,NA
1,V2_logtPROGDL,V2,logtPROGDL,0,12,NA,NA
1,V2_logtRAL,V2,logtRAL,0,53,NA,NA
1,V2_logtRAN,V2,logtRAN,0,8,NA,NA
1,V2_logtSCM2,V2,logtSCM2,0,33,NA,NA
1,V2_logtWTKG,V2,logtWTKG,0,19,NA,NA
1,V2_tSCRMGDL,V2,tSCRMGDL,0,2,NA,NA
2,Cl_ANTU,Cl,ANTU,0,44,507.7,546.45
2,Cl_LLP,Cl,LLP,1,25,507.7,546.45
2,Cl_LMP,Cl,LMP,0,49,507.7,546.45
2,Cl_SEXF,Cl,SEXF,0,46,507.7,546.45
2,Cl_logtAGEA,Cl,logtAGEA,0,47,507.7,546.45
2,Cl_logtALBGDL,Cl,logtALBGDL,0,52,507.7,546.45
2,Cl_logtCLCRMLMIN,Cl,logtCLCRMLMIN,0,41,507.7,546.45
2,Cl_logtHCM,Cl,logtHCM,0,34,507.7,546.45
2,Cl_logtIMCKGM2,Cl,logtIMCKGM2,0,24,507.7,546.45
2,Cl_logtPROGDL,Cl,logtPROGDL,0,55,507.7,546.45
2,Cl_logtRAL,Cl,logtRAL,0,21,507.7,546.45
2,Cl_logtRAN,Cl,logtRAN,0,40,507.7,546.45
2,Cl_logtSCM2,Cl,logtSCM2,0,38,507.7,546.45
2,Cl_logtWTKG,Cl,logtWTKG,0,23,507.7,546.45
2,Cl_tSCRMGDL,Cl,tSCRMGDL,1,35,507.7,546.45
2,V1_ANTU,V1,ANTU,0,10,507.7,546.45
2,V1_LLP,V1,LLP,0,48,507.7,546.45
2,V1_LMP,V1,LMP,0,11,507.7,546.45
2,V1_SEXF,V1,SEXF,0,1,507.7,546.45
2,V1_logtAGEA,V1,logtAGEA,0,30,507.7,546.45
2,V1_logtALBGDL,V1,logtALBGDL,0,3,507.7,546.45
2,V1_logtCLCRMLMIN,V1,logtCLCRMLMIN,0,4,507.7,546.45
2,V1_logtHCM,V1,logtHCM,0,7,507.7,546.45
2,V1_logtIMCKGM2,V1,logtIMCKGM2,0,27,507.7,546.45
2,V1_logtPROGDL,V1,logtPROGDL,0,39,507.7,546.45
2,V1_logtRAL,V1,logtRAL,0,14,507.7,546.45
2,V1_logtRAN,V1,logtRAN,0,36,507.7,546.45
2,V1_logtSCM2,V1,logtSCM2,0,15,507.7,546.45
2,V1_logtWTKG,V1,logtWTKG,0,22,507.7,546.45
2,V1_tSCRMGDL,V1,tSCRMGDL,0,31,507.7,546.45
2,Q_ANTU,Q,ANTU,0,9,507.7,546.45
2,Q_LLP,Q,LLP,0,45,507.7,546.45
2,Q_LMP,Q,LMP,0,16,507.7,546.45
2,Q_SEXF,Q,SEXF,0,18,507.7,546.45
2,Q_logtAGEA,Q,logtAGEA,0,5,507.7,546.45
2,Q_logtALBGDL,Q,logtALBGDL,0,51,507.7,546.45
2,Q_logtCLCRMLMIN,Q,logtCLCRMLMIN,0,60,507.7,546.45
2,Q_logtHCM,Q,logtHCM,0,50,507.7,546.45
2,Q_logtIMCKGM2,Q,logtIMCKGM2,0,43,507.7,546.45
2,Q_logtPROGDL,Q,logtPROGDL,0,59,507.7,546.45
2,Q_logtRAL,Q,logtRAL,0,32,507.7,546.45
2,Q_logtRAN,Q,logtRAN,0,57,507.7,546.45
2,Q_logtSCM2,Q,logtSCM2,0,6,507.7,546.45
2,Q_logtWTKG,Q,logtWTKG,0,26,507.7,546.45
2,Q_tSCRMGDL,Q,tSCRMGDL,0,13,507.7,546.45
2,V2_ANTU,V2,ANTU,0,42,507.7,546.45
2,V2_LLP,V2,LLP,0,37,507.7,546.45
2,V2_LMP,V2,LMP,0,56,507.7,546.45
2,V2_SEXF,V2,SEXF,0,17,507.7,546.45
2,V2_logtAGEA,V2,logtAGEA,0,29,507.7,546.45
2,V2_logtALBGDL,V2,logtALBGDL,0,20,507.7,546.45
2,V2_logtCLCRMLMIN,V2,logtCLCRMLMIN,0,28,507.7,546.45
2,V2_logtHCM,V2,logtHCM,0,58,507.7,546.45
2,V2_logtIMCKGM2,V2,logtIMCKGM2,0,54,507.7,546.45
2,V2_logtPROGDL,V2,logtPROGDL,0,12,507.7,546.45
2,V2_logtRAL,V2,logtRAL,0,53,507.7,546.45
2,V2_logtRAN,V2,logtRAN,0,8,507.7,546.45
2,V2_logtSCM2,V2,logtSCM2,0,33,507.7,546.45
2,V2_logtWTKG,V2,logtWTKG,0,19,507.7,546.45
2,V2_tSCRMGDL,V2,tSCRMGDL,0,2,507.7,546.45
3,Cl_ANTU,Cl,ANTU,0,44,506.02,544.77
3,Cl_LLP,Cl,LLP,0,25,506.02,544.77
3,Cl_LMP,Cl,LMP,1,49,506.02,544.77
3,Cl_SEXF,Cl,SEXF,0,46,506.02,544.77
3,Cl_logtAGEA,Cl,logtAGEA,0,47,506.02,544.77
3,Cl_logtALBGDL,Cl,logtALBGDL,0,52,506.02,544.77
3,Cl_logtCLCRMLMIN,Cl,logtCLCRMLMIN,0,41,506.02,544.77
3,Cl_logtHCM,Cl,logtHCM,0,34,506.02,544.77
3,Cl_logtIMCKGM2,Cl,logtIMCKGM2,0,24,506.02,544.77
3,Cl_logtPROGDL,Cl,logtPROGDL,0,55,506.02,544.77
3,Cl_logtRAL,Cl,logtRAL,0,21,506.02,544.77
3,Cl_logtRAN,Cl,logtRAN,0,40,506.02,544.77
3,Cl_logtSCM2,Cl,logtSCM2,0,38,506.02,544.77
3,Cl_logtWTKG,Cl,logtWTKG,0,23,506.02,544.77
3,Cl_tSCRMGDL,Cl,tSCRMGDL,1,35,506.02,544.77
3,V1_ANTU,V1,ANTU,0,10,506.02,544.77
3,V1_LLP,V1,LLP,0,48,506.02,544.77
3,V1_LMP,V1,LMP,0,11,506.02,544.77
3,V1_SEXF,V1,SEXF,0,1,506.02,544.77
3,V1_logtAGEA,V1,logtAGEA,0,30,506.02,544.77
3,V1_logtALBGDL,V1,logtALBGDL,0,3,506.02,544.77
3,V1_logtCLCRMLMIN,V1,logtCLCRMLMIN,0,4,506.02,544.77
3,V1_logtHCM,V1,logtHCM,0,7,506.02,544.77
3,V1_logtIMCKGM2,V1,logtIMCKGM2,0,27,506.02,544.77
3,V1_logtPROGDL,V1,logtPROGDL,0,39,506.02,544.77
3,V1_logtRAL,V1,logtRAL,0,14,506.02,544.77
3,V1_logtRAN,V1,logtRAN,0,36,506.02,544.77
3,V1_logtSCM2,V1,logtSCM2,0,15,506.02,544.77
3,V1_logtWTKG,V1,logtWTKG,0,22,506.02,544.77
3,V1_tSCRMGDL,V1,tSCRMGDL,0,31,506.02,544.77
3,Q_ANTU,Q,ANTU,0,9,506.02,544.77
3,Q_LLP,Q,LLP,0,45,506.02,544.77
3,Q_LMP,Q,LMP,0,16,506.02,544.77
3,Q_SEXF,Q,SEXF,0,18,506.02,544.77
3,Q_logtAGEA,Q,logtAGEA,0,5,506.02,544.77
3,Q_logtALBGDL,Q,logtALBGDL,0,51,506.02,544.77
3,Q_logtCLCRMLMIN,Q,logtCLCRMLMIN,0,60,506.02,544.77
3,Q_logtHCM,Q,logtHCM,0,50,506.02,544.77
3,Q_logtIMCKGM2,Q,logtIMCKGM2,0,43,506.02,544.77
3,Q_logtPROGDL,Q,logtPROGDL,0,59,506.02,544.77
3,Q_logtRAL,Q,logtRAL,0,32,506.02,544.77
3,Q_logtRAN,Q,logtRAN,0,57,506.02,544.77
3,Q_logtSCM2,Q,logtSCM2,0,6,506.02,544.77
3,Q_logtWTKG,Q,logtWTKG,0,26,506.02,544.77
3,Q_tSCRMGDL,Q,tSCRMGDL,0,13,506.02,544.77
3,V2_ANTU,V2,ANTU,0,42,506.02,544.77
3,V2_LLP,V2,LLP,0,37,506.02,544.77
3,V2_LMP,V2,LMP,0,56,506.02,544.77
3,V2_SEXF,V2,SEXF,0,17,506.02,544.77
3,V2_logtAGEA,V2,logtAGEA,0,29,506.02,544.77
3,V2_logtALBGDL,V2,logtALBGDL,0,20,506.02,544.77
3,V2_logtCLCRMLMIN,V2,logtCLCRMLMIN,0,28,506.02,544.77
3,V2_logtHCM,V2,logtHCM,0,58,506.02,544.77
3,V2_logtIMCKGM2,V2,logtIMCKGM2,0,54,506.02,544.77
3,V2_logtPROGDL,V2,logtPROGDL,0,12,506.02,544.77
3,V2_logtRAL,V2,logtRAL,0,53,506.02,544.77
3,V2_logtRAN,V2,logtRAN,0,8,506.02,544.77
3,V2_logtSCM2,V2,logtSCM2,0,33,506.02,544.77
3,V2_logtWTKG,V2,logtWTKG,0,19,506.02,544.77
3,V2_tSCRMGDL,V2,tSCRMGDL,0,2,506.02,544.77
4,Cl_ANTU,Cl,ANTU,0,44,505.86,544.6
4,Cl_LLP,Cl,LLP,0,25,505.86,544.6
4,Cl_LMP,Cl,LMP,0,49,505.86,544.6
4,Cl_SEXF,Cl,SEXF,0,46,505.86,544.6
4,Cl_logtAGEA,Cl,logtAGEA,0,47,505.86,544.6
4,Cl_logtALBGDL,Cl,logtALBGDL,0,52,505.86,544.6
4,Cl_logtCLCRMLMIN,Cl,logtCLCRMLMIN,0,41,505.86,544.6
4,Cl_logtHCM,Cl,logtHCM,0,34,505.86,544.6
4,Cl_logtIMCKGM2,Cl,logtIMCKGM2,1,24,505.86,544.6
4,Cl_logtPROGDL,Cl,logtPROGDL,0,55,505.86,544.6
4,Cl_logtRAL,Cl,logtRAL,0,21,505.86,544.6
4,Cl_logtRAN,Cl,logtRAN,0,40,505.86,544.6
4,Cl_logtSCM2,Cl,logtSCM2,0,38,505.86,544.6
4,Cl_logtWTKG,Cl,logtWTKG,0,23,505.86,544.6
4,Cl_tSCRMGDL,Cl,tSCRMGDL,1,35,505.86,544.6
4,V1_ANTU,V1,ANTU,0,10,505.86,544.6
4,V1_LLP,V1,LLP,0,48,505.86,544.6
4,V1_LMP,V1,LMP,0,11,505.86,544.6
4,V1_SEXF,V1,SEXF,0,1,505.86,544.6
4,V1_logtAGEA,V1,logtAGEA,0,30,505.86,544.6
4,V1_logtALBGDL,V1,logtALBGDL,0,3,505.86,544.6
4,V1_logtCLCRMLMIN,V1,logtCLCRMLMIN,0,4,505.86,544.6
4,V1_logtHCM,V1,logtHCM,0,7,505.86,544.6
4,V1_logtIMCKGM2,V1,logtIMCKGM2,0,27,505.86,544.6
4,V1_logtPROGDL,V1,logtPROGDL,0,39,505.86,544.6
4,V1_logtRAL,V1,logtRAL,0,14,505.86,544.6
4,V1_logtRAN,V1,logtRAN,0,36,505.86,544.6
4,V1_logtSCM2,V1,logtSCM2,0,15,505.86,544.6
4,V1_logtWTKG,V1,logtWTKG,0,22,505.86,544.6
4,V1_tSCRMGDL,V1,tSCRMGDL,0,31,505.86,544.6
4,Q_ANTU,Q,ANTU,0,9,505.86,544.6
4,Q_LLP,Q,LLP,0,45,505.86,544.6
4,Q_LMP,Q,LMP,0,16,505.86,544.6
4,Q_SEXF,Q,SEXF,0,18,505.86,544.6
4,Q_logtAGEA,Q,logtAGEA,0,5,505.86,544.6
4,Q_logtALBGDL,Q,logtALBGDL,0,51,505.86,544.6
4,Q_logtCLCRMLMIN,Q,logtCLCRMLMIN,0,60,505.86,544.6
4,Q_logtHCM,Q,logtHCM,0,50,505.86,544.6
4,Q_logtIMCKGM2,Q,logtIMCKGM2,0,43,505.86,544.6
4,Q_logtPROGDL,Q,logtPROGDL,0,59,505.86,544.6
4,Q_logtRAL,Q,logtRAL,0,32,505.86,544.6
4,Q_logtRAN,Q,logtRAN,0,57,505.86,544.6
4,Q_logtSCM2,Q,logtSCM2,0,6,505.86,544.6
4,Q_logtWTKG,Q,logtWTKG,0,26,505.86,544.6
4,Q_tSCRMGDL,Q,tSCRMGDL,0,13,505.86,544.6
4,V2_ANTU,V2,ANTU,0,42,505.86,544.6
4,V2_LLP,V2,LLP,0,37,505.86,544.6
4,V2_LMP,V2,LMP,0,56,505.86,544.6
4,V2_SEXF,V2,SEXF,0,17,505.86,544.6
4,V2_logtAGEA,V2,logtAGEA,0,29,505.86,544.6
4,V2_logtALBGDL,V2,logtALBGDL,0,20,505.86,544.6
4,V2_logtCLCRMLMIN,V2,logtCLCRMLMIN,0,28,505.86,544.6
4,V2_logtHCM,V2,logtHCM,0,58,505.86,544.6
4,V2_logtIMCKGM2,V2,logtIMCKGM2,0,54,505.86,544.6
4,V2_logtPROGDL,V2,logtPROGDL,0,12,505.86,544.6
4,V2_logtRAL,V2,logtRAL,0,53,505.86,544.6
4,V2_logtRAN,V2,logtRAN,0,8,505.86,544.6
4,V2_logtSCM2,V2,logtSCM2,0,33,505.86,544.6
4,V2_logtWTKG,V2,logtWTKG,0,19,505.86,544.6
4,V2_tSCRMGDL,V2,tSCRMGDL,0,2,505.86,544.6
5,Cl_ANTU,Cl,ANTU,0,44,507.34,546.09
5,Cl_LLP,Cl,LLP,0,25,507.34,546.09
5,Cl_LMP,Cl,LMP,0,49,507.34,546.09
5,Cl_SEXF,Cl,SEXF,0,46,507.34,546.09
5,Cl_logtAGEA,Cl,logtAGEA,0,47,507.34,546.09
5,Cl_logtALBGDL,Cl,logtALBGDL,0,52,507.34,546.09
5,Cl_logtCLCRMLMIN,Cl,logtCLCRMLMIN,0,41,507.34,546.09
5,Cl_logtHCM,Cl,logtHCM,0,34,507.34,546.09
5,Cl_logtIMCKGM2,Cl,logtIMCKGM2,0,24,507.34,546.09
5,Cl_logtPROGDL,Cl,logtPROGDL,0,55,507.34,546.09
5,Cl_logtRAL,Cl,logtRAL,0,21,507.34,546.09
5,Cl_logtRAN,Cl,logtRAN,1,40,507.34,546.09
5,Cl_logtSCM2,Cl,logtSCM2,0,38,507.34,546.09
5,Cl_logtWTKG,Cl,logtWTKG,0,23,507.34,546.09
5,Cl_tSCRMGDL,Cl,tSCRMGDL,1,35,507.34,546.09
5,V1_ANTU,V1,ANTU,0,10,507.34,546.09
5,V1_LLP,V1,LLP,0,48,507.34,546.09
5,V1_LMP,V1,LMP,0,11,507.34,546.09
5,V1_SEXF,V1,SEXF,0,1,507.34,546.09
5,V1_logtAGEA,V1,logtAGEA,0,30,507.34,546.09
5,V1_logtALBGDL,V1,logtALBGDL,0,3,507.34,546.09
5,V1_logtCLCRMLMIN,V1,logtCLCRMLMIN,0,4,507.34,546.09
5,V1_logtHCM,V1,logtHCM,0,7,507.34,546.09
5,V1_logtIMCKGM2,V1,logtIMCKGM2,0,27,507.34,546.09
5,V1_logtPROGDL,V1,logtPROGDL,0,39,507.34,546.09
5,V1_logtRAL,V1,logtRAL,0,14,507.34,546.09
5,V1_logtRAN,V1,logtRAN,0,36,507.34,546.09
5,V1_logtSCM2,V1,logtSCM2,0,15,507.34,546.09
5,V1_logtWTKG,V1,logtWTKG,0,22,507.34,546.09
5,V1_tSCRMGDL,V1,tSCRMGDL,0,31,507.34,546.09
5,Q_ANTU,Q,ANTU,0,9,507.34,546.09
5,Q_LLP,Q,LLP,0,45,507.34,546.09
5,Q_LMP,Q,LMP,0,16,507.34,546.09
5,Q_SEXF,Q,SEXF,0,18,507.34,546.09
5,Q_logtAGEA,Q,logtAGEA,0,5,507.34,546.09
5,Q_logtALBGDL,Q,logtALBGDL,0,51,507.34,546.09
5,Q_logtCLCRMLMIN,Q,logtCLCRMLMIN,0,60,507.34,546.09
5,Q_logtHCM,Q,logtHCM,0,50,507.34,546.09
5,Q_logtIMCKGM2,Q,logtIMCKGM2,0,43,507.34,546.09
5,Q_logtPROGDL,Q,logtPROGDL,0,59,507.34,546.09
5,Q_logtRAL,Q,logtRAL,0,32,507.34,546.09
5,Q_logtRAN,Q,logtRAN,0,57,507.34,546.09
5,Q_logtSCM2,Q,logtSCM2,0,6,507.34,546.09
5,Q_logtWTKG,Q,logtWTKG,0,26,507.34,546.09
5,Q_tSCRMGDL,Q,tSCRMGDL,0,13,507.34,546.09
5,V2_ANTU,V2,ANTU,0,42,507.34,546.09
5,V2_LLP,V2,LLP,0,37,507.34,546.09
5,V2_LMP,V2,LMP,0,56,507.34,546.09
5,V2_SEXF,V2,SEXF,0,17,507.34,546.09
5,V2_logtAGEA,V2,logtAGEA,0,29,507.34,546.09
5,V2_logtALBGDL,V2,logtALBGDL,0,20,507.34,546.09
5,V2_logtCLCRMLMIN,V2,logtCLCRMLMIN,0,28,507.34,546.09
5,V2_logtHCM,V2,logtHCM,0,58,507.34,546.09
5,V2_logtIMCKGM2,V2,logtIMCKGM2,0,54,507.34,546.09
5,V2_logtPROGDL,V2,logtPROGDL,0,12,507.34,546.09
5,V2_logtRAL,V2,logtRAL,0,53,507.34,546.09
5,V2_logtRAN,V2,logtRAN,0,8,507.34,546.09
5,V2_logtSCM2,V2,logtSCM2,0,33,507.34,546.09
