iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,661.205,1,13.509,23.899,13.116,1,0.3,1,1,1,1
2,615.16,1,15.6921,24.3758,15.974,1.45795,0.176188,0.34591,0.899527,0.775839,0.963999
3,583.548,1,15.7592,27.8404,15.8979,1.62497,0.136399,0.356454,0.824543,0.637752,0.987654
4,542.367,1,15.7663,28.7121,20.072,1.67016,0.0960876,0.351777,0.739041,0.578892,0.994493
5,521.669,1,15.6321,28.3941,18.6347,1.52116,0.0783601,0.354807,0.898866,0.553419,1.1045
6,514.2,1,15.6603,28.5258,18.1562,1.53008,0.0738428,0.355684,0.909494,0.554086,0.969843
7,504.941,1,15.5059,27.3388,17.9099,1.5037,0.0662125,0.348086,0.96665,0.594029,0.899004
8,496.689,1,15.5674,28.8998,18.1591,1.54564,0.0582837,0.349592,0.983036,0.547335,0.940932
9,495.023,1,15.6359,28.0868,18.9084,1.63085,0.0507395,0.35199,1.00473,0.557851,0.985282
10,483.426,1,15.6322,28.1419,19.1627,1.66966,0.0418008,0.357544,1.04751,0.56958,0.830481
11,485.28,1,15.6448,27.8536,19.4455,1.74181,0.0391236,0.356357,1.13526,0.590701,0.746834
12,481.96,1,15.6075,27.0665,18.1647,1.81097,0.0334934,0.357677,1.0071,0.592111,0.781037
13,462.823,1,15.7082,27.0324,19.7554,1.67038,0.0295873,0.354663,0.924229,0.57688,0.783985
14,454.442,1,15.7084,27.0323,18.577,1.68403,0.0214844,0.354795,0.94853,0.55421,0.808863
15,447.988,1,15.5801,27.1865,17.8403,1.66012,0.0177852,0.349862,0.917823,0.556978,0.843572
16,444.287,1,15.6032,26.9174,19.6904,1.60288,0.0184489,0.35404,0.880408,0.564331,0.901539
17,441.428,1,15.5736,27.2084,20.3534,1.60283,0.0167184,0.348679,0.914957,0.543716,0.862134
18,436.681,1,15.5105,26.7992,18.9619,1.61986,0.00948524,0.355858,0.892195,0.5569,0.878286
19,438.235,1,15.6494,26.2377,18.1277,1.61981,0.00828983,0.353029,0.936282,0.559126,0.922141
20,442.467,1,15.6504,26.8663,19.3188,1.65948,0.00614994,0.347435,1.01291,0.532698,0.964886
21,437.071,1,15.5677,26.8125,18.6869,1.62751,0.00421966,0.347792,0.967559,0.5529,0.927827
22,442.214,1,15.5997,26.8356,18.6565,1.62689,0.0132058,0.342886,0.988039,0.537187,0.911371
