pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.46444,0.15523,-1.34389,0.0391832,-1.65231,0.0842724,All
-0.99202,0.362204,-1.03196,0.117549,-1.21721,0.196636,All
-0.519603,0.543306,-0.720036,0.431015,-0.782114,0.561816,All
-0.0471866,0.413947,-0.408111,0.352648,-0.347017,0.449453,All
0.42523,0.336332,-0.0961853,0.783663,0.0880799,0.365181,All
0.897647,0.15523,0.21574,0.705297,0.523177,0.33709,All
1.37006,0.15523,0.527665,0.509381,0.958274,0.140454,All
1.84248,0.103487,0.839591,0.274282,1.39337,0.196636,All
2.3149,0.0517434,1.15152,0.0783663,1.82847,0.0842724,All
2.78731,0.0517434,1.46344,0.235099,2.26356,0.112363,All
