time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
0.593144,0.010989,0.0222222,0,0.0507663,All
1.51937,0.032967,0.0333333,0.0111111,0.0782147,All
2.44561,0.032967,0.0561798,0.0222222,0.111111,All
3.37184,0.120879,0.0786517,0.0338994,0.144444,All
4.29807,0.153846,0.111111,0.0561798,0.168539,All
5.2243,0.175824,0.134831,0.0888889,0.2,All
6.15053,0.197802,0.166667,0.111111,0.233333,All
7.07676,0.208791,0.194292,0.134082,0.259895,All
8.00299,0.241758,0.222222,0.157303,0.288889,All
8.92922,0.263736,0.244444,0.184332,0.311111,All
9.85545,0.285714,0.266667,0.206679,0.340762,All
10.7817,0.307692,0.292135,0.233333,0.359551,All
11.7079,0.351648,0.314607,0.255556,0.378544,All
12.6341,0.384615,0.337079,0.27372,0.4,All
13.5604,0.395604,0.355556,0.296067,0.411111,All
14.4866,0.395604,0.377778,0.322222,0.433333,All
15.4128,0.395604,0.4,0.340762,0.449438,All
16.3391,0.406593,0.411111,0.355556,0.466667,All
17.2653,0.428571,0.433333,0.377778,0.477778,All
18.1915,0.43956,0.444444,0.393258,0.494382,All
19.1178,0.43956,0.465909,0.410101,0.511111,All
20.044,0.450549,0.477778,0.422222,0.522222,All
20.9702,0.483516,0.488889,0.433333,0.533333,All
21.8965,0.494505,0.5,0.449438,0.544444,All
22.8227,0.505495,0.516854,0.466667,0.559308,All
23.7489,0.516484,0.533333,0.477778,0.573034,All
24.6751,0.527473,0.544444,0.488889,0.588889,All
25.6014,0.56044,0.555556,0.505618,0.6,All
26.5276,0.571429,0.566667,0.519538,0.611111,All
27.4538,0.582418,0.577778,0.52809,0.622222,All
28.3801,0.582418,0.588889,0.544444,0.633333,All
29.3063,0.604396,0.6,0.555556,0.644444,All
30.2325,0.604396,0.617978,0.566667,0.655556,All
31.1588,0.626374,0.622222,0.577778,0.666667,All
32.085,0.626374,0.633333,0.588889,0.674157,All
33.0112,0.659341,0.644444,0.6,0.688889,All
33.9375,0.659341,0.651685,0.611111,0.688889,All
34.8637,0.659341,0.655556,0.617978,0.7,All
35.7899,0.681319,0.666667,0.629213,0.711111,All
36.7161,0.692308,0.677778,0.636364,0.722222,All
37.6424,0.692308,0.688889,0.644444,0.733333,All
38.5686,0.692308,0.7,0.655556,0.741573,All
39.4948,0.692308,0.711111,0.666667,0.752809,All
40.4211,0.703297,0.719101,0.677778,0.764045,All
41.3473,0.725275,0.722222,0.677778,0.775281,All
42.2735,0.725275,0.733333,0.688889,0.784091,All
43.1998,0.725275,0.744444,0.7,0.796604,All
44.126,0.747253,0.755556,0.711111,0.8,All
45.0522,0.769231,0.766667,0.722222,0.811111,All
45.9785,0.791209,0.777778,0.733333,0.825884,All
46.9047,0.802198,0.788889,0.741573,0.833333,All
47.8309,0.802198,0.8,0.744444,0.853103,All
48.7571,0.802198,0.808989,0.755556,0.855556,All
49.6834,0.813187,0.811111,0.766667,0.865918,All
50.6096,0.813187,0.822222,0.777778,0.876404,All
51.5358,0.824176,0.833333,0.785304,0.887002,All
52.4621,0.824176,0.844444,0.788889,0.893308,All
53.3883,0.857143,0.855556,0.8,0.9,All
54.3145,0.879121,0.858812,0.811111,0.910612,All
55.2408,0.879121,0.866667,0.822222,0.911111,All
56.167,0.89011,0.877778,0.833333,0.922222,All
57.0932,0.89011,0.88764,0.833333,0.931818,All
58.0195,0.89011,0.888889,0.844444,0.933333,All
58.9457,0.901099,0.9,0.853933,0.94382,All
59.8719,0.912088,0.908568,0.863636,0.944444,All
60.7982,0.912088,0.911111,0.866667,0.955056,All
61.7244,0.912088,0.921348,0.877778,0.955556,All
62.6506,0.912088,0.922222,0.877778,0.966292,All
63.5768,0.912088,0.932584,0.888889,0.966667,All
64.5031,0.912088,0.933333,0.898876,0.966667,All
65.4293,0.934066,0.94382,0.9,0.977778,All
66.3555,0.934066,0.944444,0.909091,0.977778,All
67.2818,0.956044,0.955056,0.911111,0.9887,All
68.208,0.956044,0.955556,0.921348,0.988764,All
69.1342,0.956044,0.955556,0.922222,0.988889,All
70.0605,0.978022,0.966292,0.932201,0.988889,All
70.9867,0.978022,0.966667,0.932584,0.988889,All
71.9129,0.978022,0.966667,0.933333,0.988889,All
72.8392,0.978022,0.977528,0.94382,1,All
73.7654,0.978022,0.977653,0.944444,1,All
74.6916,0.978022,0.977778,0.944444,1,All
75.6178,0.978022,0.977778,0.955056,1,All
76.5441,0.978022,0.977778,0.955556,1,All
77.4703,0.978022,0.988764,0.955556,1,All
78.3965,0.978022,0.988764,0.966101,1,All
79.3228,0.978022,0.988889,0.966667,1,All
80.249,0.978022,0.988889,0.966667,1,All
81.1752,0.978022,0.988889,0.966667,1,All
82.1015,0.989011,0.988889,0.977528,1,All
83.0277,0.989011,0.988889,0.977528,1,All
83.9539,0.989011,1,0.977778,1,All
84.8802,0.989011,1,0.977778,1,All
85.8064,0.989011,1,0.977778,1,All
86.7326,0.989011,1,0.988764,1,All
87.6588,0.989011,1,0.988764,1,All
88.5851,0.989011,1,0.988764,1,All
89.5113,0.989011,1,0.988889,1,All
90.4375,0.989011,1,0.988889,1,All
91.3638,0.989011,1,1,1,All
92.29,1,1,1,1,All
