standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,All
-1.89224,0.00666667,-2.28144,0.00666667,All
-1.88644,0.0133333,-1.94279,0.0133333,All
-1.8449,0.02,-1.71381,0.02,All
-1.8349,0.0266667,-1.70332,0.0266667,All
-1.71527,0.0333333,-1.6741,0.0333333,All
-1.66356,0.04,-1.64284,0.04,All
-1.61637,0.0466667,-1.62877,0.0466667,All
-1.58566,0.0533333,-1.58103,0.0533333,All
-1.5685,0.06,-1.57445,0.06,All
-1.51905,0.0666667,-1.50367,0.0666667,All
-1.51512,0.0733333,-1.49783,0.0733333,All
-1.48795,0.08,-1.4833,0.08,All
-1.39421,0.0866667,-1.43878,0.0866667,All
-1.33478,0.0933333,-1.42057,0.0933333,All
-1.26946,0.1,-1.41333,0.1,All
-1.23065,0.106667,-1.39032,0.106667,All
-1.21064,0.113333,-1.34426,0.113333,All
-1.20964,0.12,-1.33596,0.12,All
-1.19345,0.126667,-1.31742,0.126667,All
-1.17255,0.133333,-1.232,0.133333,All
-1.1346,0.14,-1.22015,0.14,All
-1.12268,0.146667,-1.21129,0.146667,All
-1.10296,0.153333,-1.20907,0.153333,All
-1.08421,0.16,-1.17606,0.16,All
-1.08075,0.166667,-1.17308,0.166667,All
-1.07871,0.173333,-1.15634,0.173333,All
-1.06162,0.18,-1.1367,0.18,All
-0.986755,0.186667,-1.12741,0.186667,All
-0.962206,0.193333,-1.10313,0.193333,All
-0.955607,0.2,-1.09872,0.2,All
-0.952626,0.206667,-1.07754,0.206667,All
-0.867655,0.213333,-1.00109,0.213333,All
-0.823083,0.22,-0.994045,0.22,All
-0.811465,0.226667,-0.992284,0.226667,All
-0.728116,0.233333,-0.991754,0.233333,All
-0.714624,0.24,-0.982902,0.24,All
-0.710989,0.246667,-0.8715,0.246667,All
-0.707149,0.253333,-0.816249,0.253333,All
-0.685197,0.26,-0.793425,0.26,All
-0.668854,0.266667,-0.703961,0.266667,All
-0.660209,0.273333,-0.699315,0.273333,All
-0.647721,0.28,-0.69146,0.28,All
-0.626529,0.286667,-0.686854,0.286667,All
-0.61062,0.293333,-0.649407,0.293333,All
-0.591887,0.3,-0.623266,0.3,All
-0.58839,0.306667,-0.581421,0.306667,All
-0.518232,0.313333,-0.554011,0.313333,All
-0.506899,0.32,-0.536392,0.32,All
-0.481308,0.326667,-0.515871,0.326667,All
-0.478294,0.333333,-0.481995,0.333333,All
-0.389004,0.34,-0.455733,0.34,All
-0.373641,0.346667,-0.447851,0.346667,All
-0.363761,0.353333,-0.447023,0.353333,All
-0.315152,0.36,-0.417681,0.36,All
-0.303976,0.366667,-0.407675,0.366667,All
-0.29877,0.373333,-0.403529,0.373333,All
-0.28507,0.38,-0.399037,0.38,All
-0.285015,0.386667,-0.379091,0.386667,All
-0.269728,0.393333,-0.370379,0.393333,All
-0.259126,0.4,-0.366725,0.4,All
-0.2461,0.406667,-0.331622,0.406667,All
-0.224816,0.413333,-0.311259,0.413333,All
-0.212736,0.42,-0.258421,0.42,All
-0.201192,0.426667,-0.243771,0.426667,All
-0.16827,0.433333,-0.23313,0.433333,All
-0.162252,0.44,-0.219911,0.44,All
-0.150915,0.446667,-0.212555,0.446667,All
-0.144868,0.453333,-0.202359,0.453333,All
-0.129805,0.46,-0.158723,0.46,All
-0.12384,0.466667,-0.0730952,0.466667,All
-0.123049,0.473333,-0.0727567,0.473333,All
-0.11937,0.48,-0.0589576,0.48,All
-0.101619,0.486667,-0.0496923,0.486667,All
-0.0877011,0.493333,-0.041634,0.493333,All
-0.0875977,0.5,-0.0388739,0.5,All
-0.0750734,0.506667,-0.0100471,0.506667,All
-0.0599848,0.513333,-0.00260941,0.513333,All
-0.0494855,0.52,0.014755,0.52,All
-0.017548,0.526667,0.0332704,0.526667,All
-0.0159876,0.533333,0.0503702,0.533333,All
-0.015597,0.54,0.098059,0.54,All
-0.0137758,0.546667,0.142922,0.546667,All
0.032995,0.553333,0.171855,0.553333,All
0.0591476,0.56,0.173522,0.56,All
0.0667769,0.566667,0.176864,0.566667,All
0.0920572,0.573333,0.197656,0.573333,All
0.102413,0.58,0.217982,0.58,All
0.111779,0.586667,0.299396,0.586667,All
0.157349,0.593333,0.330868,0.593333,All
0.172818,0.6,0.333274,0.6,All
0.192058,0.606667,0.375524,0.606667,All
0.207992,0.613333,0.384783,0.613333,All
0.228348,0.62,0.412527,0.62,All
0.23389,0.626667,0.476323,0.626667,All
0.236314,0.633333,0.494099,0.633333,All
0.24646,0.64,0.534597,0.64,All
0.27094,0.646667,0.537692,0.646667,All
0.287531,0.653333,0.559454,0.653333,All
0.29119,0.66,0.580004,0.66,All
0.303279,0.666667,0.617891,0.666667,All
0.312884,0.673333,0.634267,0.673333,All
0.371258,0.68,0.639394,0.68,All
0.379953,0.686667,0.639436,0.686667,All
0.385054,0.693333,0.650678,0.693333,All
0.397383,0.7,0.674681,0.7,All
0.412705,0.706667,0.683219,0.706667,All
0.426899,0.713333,0.692192,0.713333,All
0.428071,0.72,0.715603,0.72,All
0.430066,0.726667,0.720789,0.726667,All
0.452817,0.733333,0.732242,0.733333,All
0.513746,0.74,0.737531,0.74,All
0.514849,0.746667,0.738983,0.746667,All
0.516788,0.753333,0.753046,0.753333,All
0.524435,0.76,0.753898,0.76,All
0.532092,0.766667,0.77097,0.766667,All
0.554127,0.773333,0.771994,0.773333,All
0.585832,0.78,0.785609,0.78,All
0.614589,0.786667,0.802837,0.786667,All
0.630385,0.793333,0.854255,0.793333,All
0.638423,0.8,0.936746,0.8,All
0.64197,0.806667,0.944942,0.806667,All
0.648487,0.813333,0.948396,0.813333,All
0.715101,0.82,0.952133,0.82,All
0.73317,0.826667,0.995886,0.826667,All
0.83912,0.833333,1.00029,0.833333,All
0.913213,0.84,1.00121,0.84,All
0.997307,0.846667,1.00838,0.846667,All
0.999877,0.853333,1.01474,0.853333,All
1.20068,0.86,1.01528,0.86,All
1.21193,0.866667,1.01912,0.866667,All
1.22999,0.873333,1.03458,0.873333,All
1.27968,0.88,1.04139,0.88,All
1.42918,0.886667,1.05629,0.886667,All
1.47791,0.893333,1.09177,0.893333,All
1.5424,0.9,1.17337,0.9,All
1.56861,0.906667,1.17522,0.906667,All
1.70013,0.913333,1.29115,0.913333,All
1.75944,0.92,1.30778,0.92,All
1.77767,0.926667,1.31231,0.926667,All
1.79582,0.933333,1.34933,0.933333,All
1.80791,0.94,1.39159,0.94,All
1.8789,0.946667,1.40216,0.946667,All
1.90917,0.953333,1.41982,0.953333,All
2.00522,0.96,1.52029,0.96,All
2.10694,0.966667,1.70131,0.966667,All
2.23047,0.973333,1.74882,0.973333,All
2.35277,0.98,1.76654,0.98,All
2.42196,0.986667,1.86472,0.986667,All
2.43129,0.993333,1.99072,0.993333,All
2.66274,1,2.18949,1,All
4,1,4,1,All
