Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
-2.8424,-0.207147,0.0377084,-0.494178,-0.120178,-0.0228643,-1.95064,-0.066962,-0.156176,-0.383537,-0.805077,0.186799,-0.494178,-0.0139167,0.0965603,-1.95064,0.582258,0.106197,-0.383537,-0.190149,-0.0236339,-2.8424,-0.164248,-0.00125095,-1.95064,0.0425324,-0.0931139,-0.383537,-1.07876,-0.424666,-2.8424,-0.587203,0.0399074,-0.494178,-0.40648,-0.244168
-2.7747,-0.195773,0.0367404,-0.481462,-0.0991581,-0.022378,-1.90181,-0.102794,-0.152402,-0.374789,-0.536164,0.184487,-0.481462,0.120544,0.0962987,-1.90181,0.653887,0.105708,-0.374789,-0.218183,-0.0232124,-2.7747,-0.154795,-0.00134583,-1.90181,0.0240267,-0.0909351,-0.374789,-0.963657,-0.414502,-2.7747,-0.549251,0.0393564,-0.481462,-0.348878,-0.237399
-2.70699,-0.184399,0.0357724,-0.468746,-0.0815335,-0.0218917,-1.85298,-0.138625,-0.148628,-0.366041,-0.309939,0.182174,-0.468746,0.235564,0.0960372,-1.85298,0.725515,0.105219,-0.366041,-0.235605,-0.0227909,-2.70699,-0.145343,-0.0014407,-1.85298,0.00552092,-0.0887563,-0.366041,-0.878914,-0.404339,-2.70699,-0.5113,0.0388054,-0.468746,-0.302218,-0.230629
-2.63929,-0.173025,0.0348043,-0.45603,-0.0700526,-0.0214054,-1.80415,-0.168634,-0.144854,-0.357293,-0.111806,0.179861,-0.45603,0.314122,0.0957757,-1.80415,0.770739,0.10473,-0.357293,-0.246037,-0.0223694,-2.63929,-0.13589,-0.00153558,-1.80415,-0.012653,-0.0865774,-0.357293,-0.813739,-0.394176,-2.63929,-0.473349,0.0382544,-0.45603,-0.275081,-0.223859
-2.57159,-0.161651,0.0338363,-0.443314,-0.0637607,-0.0209191,-1.75532,-0.189242,-0.14108,-0.348545,0.0372746,0.177548,-0.443314,0.359843,0.0955142,-1.75532,0.773339,0.104241,-0.348545,-0.244177,-0.0219479,-2.57159,-0.126437,-0.00163045,-1.75532,-0.0302912,-0.0843986,-0.348545,-0.777471,-0.384013,-2.57159,-0.435398,0.0377033,-0.443314,-0.264004,-0.21709
-2.50388,-0.150278,0.0328682,-0.430598,-0.0588274,-0.0204328,-1.70649,-0.205975,-0.137306,-0.339797,0.153048,0.175236,-0.430598,0.396234,0.0952527,-1.70649,0.759543,0.103752,-0.339797,-0.233887,-0.0215264,-2.50388,-0.116984,-0.00172532,-1.70649,-0.0474225,-0.0822197,-0.339797,-0.755613,-0.373849,-2.50388,-0.397446,0.0371523,-0.430598,-0.256979,-0.21032
-2.43618,-0.138904,0.0319002,-0.417883,-0.0576652,-0.0199465,-1.65766,-0.214718,-0.133532,-0.331049,0.229095,0.172923,-0.417883,0.405678,0.0949912,-1.65766,0.713612,0.103264,-0.331049,-0.213389,-0.0211049,-2.43618,-0.107531,-0.0018202,-1.65766,-0.0631003,-0.0800409,-0.331049,-0.741544,-0.363686,-2.43618,-0.359495,0.0366013,-0.417883,-0.260975,-0.203551
-2.36848,-0.12753,0.0309321,-0.405167,-0.0585363,-0.0194602,-1.60884,-0.21719,-0.129758,-0.3223,0.305079,0.17061,-0.405167,0.397959,0.0947297,-1.60884,0.644668,0.102775,-0.3223,-0.192874,-0.0206834,-2.36848,-0.0980783,-0.00191507,-1.60884,-0.0771009,-0.0778621,-0.3223,-0.727461,-0.353523,-2.36848,-0.321544,0.0360503,-0.405167,-0.27036,-0.196781
-2.30077,-0.116156,0.0299641,-0.392451,-0.0607417,-0.0189739,-1.56001,-0.219661,-0.125984,-0.313552,0.351113,0.168298,-0.392451,0.375629,0.0944682,-1.56001,0.575724,0.102286,-0.313552,-0.16446,-0.0202619,-2.30077,-0.0886254,-0.00200995,-1.56001,-0.0911015,-0.0756832,-0.313552,-0.706718,-0.343359,-2.30077,-0.283592,0.0354992,-0.392451,-0.282576,-0.190011
-2.23307,-0.104782,0.0289961,-0.379735,-0.0627958,-0.0184877,-1.51118,-0.218947,-0.12221,-0.304804,0.383685,0.165985,-0.379735,0.336198,0.0942067,-1.51118,0.497044,0.101797,-0.304804,-0.132309,-0.0198404,-2.23307,-0.0791725,-0.00210482,-1.51118,-0.103773,-0.0735044,-0.304804,-0.671536,-0.333196,-2.23307,-0.245641,0.0349482,-0.379735,-0.29052,-0.183242
