time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
0.3333,0,0,0,0,All
0.371408,0,0,0,0,All
0.409515,0,0,0,0,All
0.447623,0,0,0,0,All
0.48573,0,0,0,0,All
0.523838,0,0,0,0,All
0.561945,0,0,0,0,All
0.600053,0,0,0,0,All
0.63816,0,0,0,0,All
0.676268,0,0,0,0,All
0.714375,0,0,0,0,All
0.752483,0,0,0,0,All
0.79059,0,0,0,0,All
0.828698,0,0,0,0,All
0.866806,0,0,0,0,All
0.904913,0,0,0,0,All
0.943021,0,0,0,0,All
0.981128,0,0,0,0,All
1.01924,0,0,0,0,All
1.05734,0,0,0,0,All
1.09545,0,0,0,0,All
1.13356,0,0,0,0,All
1.17167,0,0,0,0,All
1.20977,0,0,0,0,All
1.24788,0,0,0,0,All
1.28599,0,0,0,0,All
1.3241,0,0,0,0,All
1.3622,0,0,0,0,All
1.40031,0,0,0,0,All
1.43842,0,0,0,0,All
1.47653,0,0,0,0,All
1.51463,0,0,0,0,All
1.55274,0,0,0,0,All
1.59085,0,0,0,0,All
1.62896,0,0,0,0,All
1.66706,0,0,0,0,All
1.70517,0,0,0,0,All
1.74328,0,0,0,0,All
1.78139,0,0,0,0,All
1.81949,0,0,0,0,All
1.8576,0,0,0,0,All
1.89571,0,0,0,0,All
1.93382,0,0,0,0,All
1.97192,0,0,0,0,All
2.01003,0,0,0,0,All
2.04814,0,0,0,0,All
2.08625,0,0,0,0,All
2.12435,0,0,0,0,All
2.16246,0,0,0,0,All
2.20057,0,0,0,0,All
2.23868,0,0,0,0,All
2.27678,0,0,0,0,All
2.31489,0,0,0,0,All
2.353,0,0,0,0,All
2.39111,0,0,0,0,All
2.42921,0,0,0,0,All
2.46732,0,0,0,0,All
2.50543,0,0,0,0,All
2.54354,0,0,0,0,All
2.58164,0,0,0,0,All
2.61975,0,0,0,0,All
2.65786,0,0,0,0,All
2.69597,0,0,0,0,All
2.73407,0,0,0,0,All
2.77218,0,0,0,0,All
2.81029,0,0,0,0,All
2.8484,0,0,0,0,All
2.88651,0,0,0,0,All
2.92461,0,0,0,0,All
2.96272,0,0,0,0,All
3.00083,0,0,0,0,All
3.03894,0,0,0,0,All
3.07704,0,0,0,0,All
3.11515,0,0,0,0,All
3.15326,0,0,0,0,All
3.19137,0,0,0,0,All
3.22947,0,0,0,0,All
3.26758,0,0,0,0,All
3.30569,0,0,0,0,All
3.3438,0,0,0,0,All
3.3819,0,0,0,0,All
3.42001,0,0,0,0,All
3.45812,0,0,0,0,All
3.49623,0,0,0,0,All
3.53433,0,0,0,0,All
3.57244,0,0,0,0,All
3.61055,0,0,0,0,All
3.64866,0,0,0,0,All
3.68676,0,0,0,0,All
3.72487,0,0,0,0,All
3.76298,0,0,0,0,All
3.80109,0,0,0,0,All
3.83919,0,0,0,0,All
3.8773,0,0,0,0,All
3.91541,0,0,0,0,All
3.95352,0,0,0,0,All
3.99162,0,0,0,0,All
4.02973,0,0,0,0,All
4.06784,0,0,0,0,All
4.10595,0,0,0,0,All
4.14405,0,0,0,0,All
4.18216,0,0,0,0,All
4.22027,0,0,0,0,All
4.25838,0,0,0,0,All
4.29648,0,0,0,0,All
4.33459,0,0,0,0,All
4.3727,0,0,0,0,All
4.41081,0,0,0,0,All
4.44891,0,0,0,0,All
4.48702,0,0,0,0,All
4.52513,0,0,0,0,All
4.56324,0,0,0,0,All
4.60134,0,0,0,0,All
4.63945,0,0,0,0,All
4.67756,0,0,0,0,All
4.71567,0,0,0,0,All
4.75377,0,0,0,0,All
4.79188,0,0,0,0,All
4.82999,0,0,0,0,All
4.8681,0,0,0,0,All
4.9062,0,0,0,0,All
4.94431,0,0,0,0,All
4.98242,0,0,0,0,All
5.02053,0,0,0,0,All
5.05863,0,0,0,0,All
5.09674,0,0,0,0,All
5.13485,0,0,0,0,All
5.17296,0,0,0,0,All
5.21106,0,0,0,0,All
5.24917,0,0,0,0,All
5.28728,0,0,0,0,All
5.32539,0,0,0,0,All
5.36349,0,0,0,0.0153846,All
5.4016,0,0,0,0.0153846,All
5.43971,0,0,0,0.0153846,All
5.47782,0,0,0,0.0153846,All
5.51593,0,0,0,0.0263158,All
5.55403,0,0,0,0.0263158,All
5.59214,0,0,0,0.0263158,All
5.63025,0,0,0,0.0263158,All
5.66836,0,0,0,0.0263158,All
5.70646,0,0,0,0.0263158,All
5.74457,0,0,0,0.0263158,All
5.78268,0,0,0,0.0263158,All
5.82079,0,0,0,0.0263158,All
5.85889,0,0,0,0.025974,All
5.897,0,0,0,0.025974,All
5.93511,0,0,0,0.025974,All
5.97322,0,0,0,0.025974,All
6.01132,0,0,0,0.025974,All
6.04943,0,0,0,0.025974,All
6.08754,0,0,0,0.025974,All
6.12565,0,0,0,0.025974,All
6.16375,0,0,0,0.025974,All
6.20186,0,0,0,0.025974,All
6.23997,0,0,0,0.025974,All
6.27808,0,0,0,0.025974,All
6.31618,0,0,0,0.025974,All
6.35429,0,0,0,0.025974,All
6.3924,0,0,0,0.025974,All
6.43051,0,0,0,0.025974,All
6.46861,0,0,0,0.025974,All
6.50672,0,0,0,0.025641,All
6.54483,0,0,0,0.025641,All
6.58294,0,0,0,0.025641,All
6.62104,0,0,0,0.025641,All
6.65915,0,0,0,0.025641,All
6.69726,0,0,0,0.025641,All
6.73537,0,0,0,0.025641,All
6.77347,0,0,0,0.025641,All
6.81158,0,0,0,0.025641,All
6.84969,0,0.0126582,0,0.0253165,All
6.8878,0,0.0126582,0,0.0253165,All
6.9259,0,0.0126582,0,0.0253165,All
6.96401,0,0.0126582,0,0.0253165,All
7.00212,0,0.0126582,0,0.0253165,All
7.04023,0,0.0126582,0,0.0253165,All
7.07833,0,0.0126582,0,0.0253165,All
7.11644,0,0.0126582,0,0.0253165,All
7.15455,0,0.0126582,0,0.0253165,All
7.19266,0,0.0125,0,0.0375,All
7.23076,0,0.0125,0,0.0375,All
7.26887,0,0.0125,0,0.0375,All
7.30698,0,0.0125,0,0.0375,All
7.34509,0,0.0123457,0,0.037037,All
7.38319,0,0.0123457,0,0.037037,All
7.4213,0,0.0123457,0,0.037037,All
7.45941,0,0.0123457,0,0.037037,All
7.49752,0,0.0123457,0,0.037037,All
7.53562,0,0.0123457,0,0.037037,All
7.57373,0,0.0123457,0,0.037037,All
7.61184,0,0.0123457,0,0.037037,All
7.64995,0,0.0123457,0,0.037037,All
7.68805,0,0.0123457,0,0.037037,All
7.72616,0,0.0123457,0,0.037037,All
7.76427,0,0.0121951,0,0.0365854,All
7.80238,0,0.0121951,0,0.0365854,All
7.84048,0.0222222,0.0222222,0,0.0555556,All
7.87859,0.0222222,0.0222222,0,0.0555556,All
7.9167,0.021978,0.021978,0,0.0549451,All
