iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,611.384,1,13.509,23.899,13.116,1,0.3,1,1,1,1
2,573.979,1,19.7366,34.078,14.6441,1.04705,0.180451,0.513628,0.838155,0.75284,0.846163
3,544.551,1,19.5481,32.1093,13.2332,1.22015,0.129148,0.518818,0.887546,0.836375,0.976885
4,519.743,1,19.3101,32.9414,15.0305,1.16036,0.106164,0.50213,0.935895,0.782024,0.986061
5,500.906,1,19.6579,33.9092,17.1339,1.1004,0.091153,0.496869,1.03174,0.816777,1.05175
6,497.491,1,19.7019,34.2772,16.3972,1.20372,0.0832355,0.495106,1.03164,0.80536,1.0311
7,491.186,1,19.5139,34.4188,17.4659,1.22856,0.0776704,0.506001,1.04538,0.730159,1.02051
8,481.953,1,19.5882,33.7626,17.3739,1.14943,0.0743584,0.507956,1.03935,0.756093,1.02163
9,477.443,1,19.5001,34.7717,16.1937,1.10052,0.0728126,0.502803,1.04973,0.708473,1.12587
10,475.317,1,19.4587,35.0475,17.1138,1.17529,0.0660587,0.509755,1.14642,0.671051,1.15535
11,472.664,1,19.5585,35.669,15.3855,1.15347,0.0648811,0.508136,1.17441,0.624222,1.28636
12,463.734,1,19.5193,36.2986,17.9901,1.17676,0.0578706,0.503896,1.16992,0.62053,1.25856
13,463.732,1,19.4353,34.8648,15.2271,1.1461,0.0570467,0.507593,1.30744,0.617392,1.32265
14,450.587,1,19.2675,36.2783,17.8505,1.06333,0.0546968,0.505896,1.28955,0.589659,1.23766
15,448.303,1,19.1056,35.4566,18.2797,1.0335,0.0538036,0.502859,1.2452,0.597417,1.3231
16,449.744,1,19.1034,35.1384,19.1554,1.06902,0.0502079,0.503344,1.3973,0.608933,1.43261
17,456.708,1,19.2063,35.2477,19.8975,1.09855,0.0533969,0.513954,1.34296,0.628525,1.40054
18,451.525,1,19.2622,35.4788,21.3931,1.13313,0.0486058,0.509095,1.38243,0.602052,1.38681
19,442.479,1,19.3138,34.8611,18.1095,1.11796,0.045891,0.507049,1.22071,0.614189,1.30673
20,449.188,1,19.4049,35.7371,17.8363,1.09616,0.0513025,0.503802,1.18941,0.593668,1.4091
21,450.571,1,19.3266,35.1857,19.3803,1.08207,0.0524183,0.509475,1.2453,0.610368,1.3505
22,451.015,1,19.296,34.4605,20.4909,1.13041,0.0495653,0.511591,1.25809,0.632225,1.33132
23,443.332,1,19.3359,34.2412,20.4696,1.10602,0.0473325,0.516728,1.24618,0.605937,1.27852
24,442.013,1,19.4423,34.6511,23.5433,1.10602,0.0472744,0.511121,1.28524,0.568404,1.27314
25,444.015,1,19.3622,34.4871,20.8765,1.12872,0.0469805,0.509552,1.22954,0.566086,1.36529
26,429.034,1,19.2301,34.2747,20.9133,1.04699,0.0437836,0.507434,1.18938,0.556622,1.2745
27,427.873,1,19.3025,34.7096,20.6971,1.06458,0.0422327,0.510636,1.11133,0.56423,1.34209
28,425.363,1,19.3037,34.9257,18.764,1.04853,0.0432936,0.508049,1.00958,0.569324,1.27452
29,428.734,1,19.3031,35.0349,19.1706,1.10607,0.0406384,0.508119,1.08163,0.57255,1.3239
30,425.775,1,19.3857,34.4311,19.7793,1.09697,0.039474,0.513822,1.08478,0.587101,1.2893
31,426.539,1,19.3993,34.6676,20.9995,1.13356,0.0371824,0.50913,1.14132,0.557865,1.34947
