trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtWTKG_abscissa,trans_Cl_vs_logtWTKG_spline,trans_Cl_vs_logtWTKG_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtWTKG_abscissa,trans_Q_vs_logtWTKG_spline,trans_Q_vs_logtWTKG_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtWTKG_abscissa,trans_V1_vs_logtWTKG_spline,trans_V1_vs_logtWTKG_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtWTKG_abscissa,trans_V2_vs_logtWTKG_spline,trans_V2_vs_logtWTKG_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.59737,2.81677,59,2.5486,2.49332,-0.137992,2.54691,2.48911,0.481481,2.59737,2.81677,0.26,3.78845,3.08816,59,2.84,2.98194,-0.137992,2.83716,2.97485,0.481481,3.78845,3.08816,0.26,3.29824,3.13956,59,3.22464,3.21979,-0.137992,3.22528,3.22139,0.481481,3.29824,3.13956,0.26,3.40822,2.88169,59,2.58953,2.86512,-0.137992,2.60914,2.91417,0.481481,3.40822,2.88169,All
0.267677,2.60604,2.81124,59.3131,2.52403,2.49737,-0.133726,2.52704,2.49293,0.495698,2.60604,2.81124,0.267677,3.68703,3.0901,59.3131,2.88817,2.98841,-0.133726,2.87767,2.98095,0.495698,3.68703,3.0901,0.267677,3.29684,3.14129,59.3131,3.22128,3.21927,-0.133726,3.22284,3.22088,0.495698,3.29684,3.14129,0.267677,3.35611,2.87307,59.3131,2.81708,2.85396,-0.133726,2.79265,2.90243,0.495698,3.35611,2.87307,All
0.275354,2.61471,2.80571,59.6263,2.49946,2.50142,-0.129461,2.50716,2.49674,0.509914,2.61471,2.80571,0.275354,3.58561,3.09205,59.6263,2.93635,2.99487,-0.129461,2.91817,2.98705,0.509914,3.58561,3.09205,0.275354,3.29544,3.14303,59.6263,3.21792,3.21876,-0.129461,3.22041,3.22036,0.509914,3.29544,3.14303,0.275354,3.30399,2.86445,59.6263,3.04463,2.84279,-0.129461,2.97616,2.8907,0.509914,3.30399,2.86445,All
0.28303,2.62337,2.80017,59.9394,2.4749,2.50547,-0.125196,2.48728,2.50056,0.52413,2.62337,2.80017,0.28303,3.48418,3.094,59.9394,2.98453,3.00134,-0.125196,2.95868,2.99315,0.52413,3.48418,3.094,0.28303,3.29405,3.14476,59.9394,3.21456,3.21825,-0.125196,3.21797,3.21984,0.52413,3.29405,3.14476,0.28303,3.25188,2.85583,59.9394,3.27219,2.83163,-0.125196,3.15966,2.87897,0.52413,3.25188,2.85583,All
0.290707,2.63204,2.79464,60.2525,2.53506,2.50952,-0.12093,2.47261,2.50437,0.538346,2.63204,2.79464,0.290707,3.38276,3.09595,60.2525,3.10957,3.00781,-0.12093,3.00354,2.99925,0.538346,3.38276,3.09595,0.290707,3.29265,3.14649,60.2525,3.18846,3.21773,-0.12093,3.21403,3.21932,0.538346,3.29265,3.14649,0.290707,3.19977,2.8472,60.2525,3.3222,2.82046,-0.12093,3.33248,2.86724,0.538346,3.19977,2.8472,All
0.298384,2.64071,2.78911,60.5657,2.61555,2.51357,-0.116665,2.53991,2.50819,0.552563,2.64071,2.78911,0.298384,3.28134,3.0979,60.5657,3.25305,3.01427,-0.116665,3.11702,3.00536,0.552563,3.28134,3.0979,0.298384,3.29125,3.14822,60.5657,3.15691,3.21722,-0.116665,3.18642,3.2188,0.552563,3.29125,3.14822,0.298384,3.14766,2.83858,60.5657,3.3296,2.8093,-0.116665,3.33672,2.8555,0.552563,3.14766,2.83858,All
0.306061,2.64938,2.78357,60.8788,2.69605,2.51763,-0.1124,2.60722,2.512,0.566779,2.64938,2.78357,0.306061,3.17991,3.09985,60.8788,3.39653,3.02074,-0.1124,3.23051,3.01146,0.566779,3.17991,3.09985,0.306061,3.28985,3.14996,60.8788,3.12535,3.21671,-0.1124,3.15882,3.21828,0.566779,3.28985,3.14996,0.306061,3.09554,2.82996,60.8788,3.337,2.79814,-0.1124,3.34096,2.84377,0.566779,3.09554,2.82996,All
0.313737,2.65805,2.77804,61.1919,2.71662,2.52168,-0.108134,2.67453,2.51582,0.580995,2.65805,2.77804,0.313737,3.07849,3.1018,61.1919,3.44412,3.0272,-0.108134,3.34399,3.01756,0.580995,3.07849,3.1018,0.313737,3.28846,3.15169,61.1919,3.12311,3.21619,-0.108134,3.13122,3.21777,0.580995,3.28846,3.15169,0.313737,3.04343,2.82134,61.1919,3.31474,2.78697,-0.108134,3.3452,2.83204,0.580995,3.04343,2.82134,All
0.321414,2.66672,2.77251,61.5051,2.69936,2.52573,-0.103869,2.72668,2.51963,0.595211,2.66672,2.77251,0.321414,2.97707,3.10375,61.5051,3.43115,3.03367,-0.103869,3.43481,3.02366,0.595211,2.97707,3.10375,0.321414,3.28706,3.15342,61.5051,3.13939,3.21568,-0.103869,3.11139,3.21725,0.595211,3.28706,3.15342,0.321414,2.99132,2.81272,61.5051,3.27376,2.77581,-0.103869,3.3421,2.82031,0.595211,2.99132,2.81272,All
0.329091,2.67538,2.76697,61.8182,2.68209,2.52978,-0.0996034,2.7118,2.52345,0.609428,2.67538,2.76697,0.329091,2.87565,3.10569,61.8182,3.41817,3.04013,-0.0996034,3.42545,3.02976,0.609428,2.87565,3.10569,0.329091,3.28566,3.15515,61.8182,3.15567,3.21517,-0.0996034,3.12591,3.21673,0.609428,3.28566,3.15515,0.329091,2.93921,2.8041,61.8182,3.23278,2.76464,-0.0996034,3.30653,2.80858,0.609428,2.93921,2.8041,All
0.336768,2.68405,2.76144,62.1313,2.66482,2.53383,-0.095338,2.69693,2.52726,0.623644,2.68405,2.76144,0.336768,2.77422,3.10764,62.1313,3.4052,3.0466,-0.095338,3.41608,3.03586,0.623644,2.77422,3.10764,0.336768,3.28426,3.15689,62.1313,3.17195,3.21465,-0.095338,3.14042,3.21621,0.623644,3.28426,3.15689,0.336768,2.8871,2.79547,62.1313,3.1918,2.75348,-0.095338,3.27096,2.79684,0.623644,2.8871,2.79547,All
0.344444,2.69272,2.75591,62.4444,2.64756,2.53788,-0.0910726,2.68205,2.53108,0.63786,2.69272,2.75591,0.344444,2.6728,3.10959,62.4444,3.39222,3.05307,-0.0910726,3.40672,3.04196,0.63786,2.6728,3.10959,0.344444,3.28287,3.15862,62.4444,3.18823,3.21414,-0.0910726,3.15494,3.21569,0.63786,3.28287,3.15862,0.344444,2.83498,2.78685,62.4444,3.15082,2.74232,-0.0910726,3.23538,2.78511,0.63786,2.83498,2.78685,All
0.352121,2.70111,2.75038,62.7576,2.63029,2.54193,-0.0868073,2.66718,2.53489,0.652076,2.70111,2.75038,0.352121,2.6149,3.11154,62.7576,3.37925,3.05953,-0.0868073,3.39735,3.04806,0.652076,2.6149,3.11154,0.352121,3.27808,3.16035,62.7576,3.20451,3.21363,-0.0868073,3.16946,3.21517,0.652076,3.27808,3.16035,0.352121,2.80686,2.77823,62.7576,3.10983,2.73115,-0.0868073,3.19981,2.77338,0.652076,2.80686,2.77823,All
0.359798,2.70876,2.74484,63.0707,2.61303,2.54598,-0.0825419,2.6523,2.53871,0.666293,2.70876,2.74484,0.359798,2.67098,3.11349,63.0707,3.36627,3.066,-0.0825419,3.38799,3.05416,0.666293,2.67098,3.11349,0.359798,3.26441,3.16209,63.0707,3.22079,3.21311,-0.0825419,3.18398,3.21466,0.666293,3.26441,3.16209,0.359798,2.84155,2.76961,63.0707,3.06885,2.71999,-0.0825419,3.16423,2.76165,0.666293,2.84155,2.76961,All
