iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
55,462.008,1,21.2368,18.1201,49.4361,39.0214,0.584467,0.0909972,0.411081,1.56007,0.382333,1.31112
56,466.299,1,21.146,19.8173,48.1003,36.2584,0.555244,0.0864474,0.405397,1.76282,0.372652,1.27792
57,472.352,1,21.4061,22.403,47.8209,41.1333,0.527482,0.082125,0.406717,1.76363,0.363217,1.36476
58,469.272,1,21.1617,23.5728,47.3797,34.1981,0.501107,0.0780187,0.41085,1.71898,0.380955,1.48503
59,454.55,1,21.0995,21.0047,46.9489,38.2655,0.93216,0.0680037,0.41568,1.76217,0.384983,1.44743
60,448.394,1,21.2389,18.1245,46.4644,37.7075,0.885552,0.0646035,0.408621,1.78465,0.404645,1.42839
61,448.231,1,21.2511,17.3038,46.9984,31.9864,0.99948,0.0604645,0.411993,1.99794,0.397508,1.39222
62,444.195,1,21.251,14.4486,47.4528,34.7662,1.08366,0.0550448,0.40631,1.96093,0.390267,1.35697
63,440.465,1,21.1567,16.6505,47.1472,36.8013,1.14185,0.050736,0.413157,1.91128,0.393604,1.32261
64,430.555,1,21.2717,16.1805,46.9373,33.0167,1.08476,0.0481992,0.415693,1.86289,0.400526,1.28912
65,425.316,1,21.2791,15.9303,46.4983,32.9231,1.20696,0.0402212,0.405167,1.81572,0.390385,1.25648
66,430.428,1,21.4372,16.2845,45.5763,32.0252,1.28742,0.0381816,0.40427,1.82687,0.411649,1.22467
67,431.919,1,21.2145,15.4445,45.6972,33.0572,1.28748,0.0397696,0.405591,1.78062,0.401225,1.19366
68,429.114,1,21.3773,17.8983,47.0722,30.5394,1.28748,0.0392022,0.404908,1.73553,0.398423,1.16343
69,423.412,1,21.3837,19.5409,46.4406,33.0913,1.28742,0.0371214,0.402719,1.69158,0.388335,1.13398
70,424.295,1,21.3561,19.9803,45.5057,29.2683,1.37424,0.0292676,0.40981,1.69337,0.385428,1.19041
71,417.773,1,21.185,22.9302,45.0643,30.0182,1.40948,0.0237898,0.405163,1.65049,0.410195,1.16027
72,416.623,1,21.1852,22.9297,45.0707,37.6044,1.43491,0.022766,0.40447,1.6087,0.399808,1.13089
73,408.743,1,21.227,22.2992,45.0691,38.349,1.43478,0.0179287,0.401915,1.56796,0.397199,1.10226
74,407.461,1,21.2327,22.5148,44.4227,32.4639,1.43472,0.0162632,0.404529,1.52826,0.40294,1.07435
75,406.22,1,21.2308,22.4388,44.691,33.9427,1.45102,0.0134696,0.396518,1.48957,0.40596,1.08008
76,400.142,1,21.015,23.5449,44.8344,32.9207,1.44602,0.0109753,0.403149,1.45185,0.395922,1.05273
77,396.547,1,21.1336,27.0334,44.3207,32.5187,1.44059,0.00826942,0.403808,1.41509,0.393481,1.02608
78,391.939,1,21.1627,25.6915,44.0932,34.9634,1.43845,2.22045e-16,0.400354,1.37926,0.386801,1.00248
79,386.855,1,21.0911,26.4698,43.7965,34.6558,1.387,2.22045e-16,0.401563,1.34433,0.39523,1.01659
80,381.08,1,21.2469,25.6273,43.458,35.0536,1.3201,0.00685942,0.401912,1.31029,0.391198,1.06695
81,382.713,1,21.1419,27.1319,43.3787,33.1542,1.30133,0.0107382,0.397742,1.29199,0.38467,1.10905
82,382.621,1,21.1096,26.2528,42.8902,33.1905,1.31104,0.00909687,0.397854,1.34573,0.393819,1.08097
83,376.44,1,21.1441,28.0382,43.2566,35.3479,1.2559,0.0101314,0.39768,1.41989,0.390246,1.0536
84,383.122,1,21.2406,27.7699,43.3088,35.562,1.31086,0.00936227,0.40122,1.41127,0.404338,1.02692
85,378.776,1,21.1863,27.186,43.289,35.9225,1.29469,0.00648399,0.397922,1.43695,0.406946,1.00137
86,376.89,1,21.217,26.7696,43.1163,34.8395,1.31034,2.82629e-06,0.397939,1.41865,0.401913,0.976018
87,375.571,1,21.2057,26.1308,42.9951,33.252,1.29951,2.21642e-06,0.401544,1.38273,0.403951,0.971848
88,373.839,1,21.2926,25.6908,42.8649,34.1155,1.28377,2.52335e-05,0.398806,1.39073,0.400167,1.00584
89,375.629,1,21.2396,26.1277,42.843,34.53,1.30519,2.22045e-16,0.397555,1.36097,0.404919,0.980367
90,366.56,1,21.1772,28.5333,42.8552,32.6274,1.26703,2.22045e-16,0.398728,1.32651,0.394666,0.955544
91,368.883,1,21.1576,28.9617,43.3711,33.8127,1.27867,2.22045e-16,0.399872,1.30832,0.394629,0.931349
92,372.215,1,21.0768,26.1554,42.8561,33.9953,1.29938,2.22045e-16,0.40296,1.33464,0.396009,0.907767
93,369.763,1,21.0208,27.1003,42.6159,35.992,1.27272,2.22045e-16,0.399954,1.325,0.396807,0.917814
94,370.331,1,21.0749,26.3735,43.4135,36.6691,1.27753,2.22045e-16,0.401474,1.32328,0.391564,0.925055
95,368.903,1,21.2012,25.1541,43.1921,37.5971,1.27305,2.22045e-16,0.399261,1.33812,0.39836,0.901632
96,364.895,1,21.0799,27.7867,42.9961,36.3066,1.24004,2.22045e-16,0.395482,1.39804,0.396286,0.878802
97,364.752,1,20.9835,29.0095,42.6576,34.5149,1.24016,2.22045e-16,0.397562,1.36822,0.386252,0.911565
98,370.217,1,21.0703,29.1001,42.2272,36.0581,1.26604,2.22045e-16,0.392981,1.42919,0.414342,0.899449
99,367.602,1,21.0367,29.9315,42.3059,36.5874,1.24015,2.22045e-16,0.396645,1.39301,0.42342,0.962538
100,369.425,1,21.0562,29.0283,41.673,32.5811,1.26687,2.22045e-16,0.395404,1.36662,0.416557,0.938166
101,369.447,1,21.1688,29.6615,41.5408,34.5475,1.26674,2.22045e-16,0.392667,1.33202,0.423738,0.956741
102,366.7,1,21.09,29.2564,41.2278,35.8453,1.24947,2.22045e-16,0.393042,1.29829,0.420003,0.954101
103,366.64,1,21.0733,29.4427,41.9339,33.1865,1.24817,2.22045e-16,0.394822,1.26542,0.412038,0.96235
104,367.169,1,20.9589,29.5341,42.1918,35.4091,1.26578,2.22045e-16,0.391987,1.26387,0.401605,0.937983
105,367.902,1,20.965,28.1606,42.3893,38.0991,1.26716,2.22045e-16,0.3925,1.28971,0.391436,0.931517
106,366.626,1,20.8873,28.8724,42.2109,37.0226,1.25327,2.22045e-16,0.400698,1.27939,0.39115,0.946445
107,366.755,1,21.1091,28.3533,42.1462,35.5111,1.25548,2.22045e-16,0.390552,1.31071,0.396302,0.927922
108,369.125,1,21.164,28.0784,42.0502,35.1062,1.26583,2.22045e-16,0.39447,1.27752,0.405458,0.984681
109,362.379,1,21.0747,30.5154,42.4326,31.5834,1.2133,2.22045e-16,0.400306,1.26525,0.399522,1.02477
110,356.416,1,21.0891,30.5954,42.1437,34.9126,1.16726,2.22045e-16,0.396128,1.28381,0.399335,1.07712
111,354.609,1,21.0195,29.8171,42.2284,33.8634,1.16358,2.22045e-16,0.394346,1.29853,0.407853,1.04984
112,359.099,1,21.0763,29.4311,42.1034,35.951,1.1893,2.22045e-16,0.392065,1.31479,0.411321,1.02326
113,356.74,1,21.1812,30.5316,41.1223,37.7337,1.16615,2.22045e-16,0.396645,1.37844,0.420526,0.997351
114,360.266,1,21.1046,30.3757,40.9115,37.2516,1.18666,2.22045e-16,0.398465,1.38486,0.420359,0.990292
115,359.544,1,21.0697,30.2879,40.6834,37.9006,1.20191,2.22045e-16,0.396984,1.34979,0.423399,0.965217
116,357.761,1,21.1568,31.6765,40.3609,38.4072,1.1771,2.22045e-16,0.396912,1.3992,0.422377,0.940777
117,354.604,1,20.9544,31.8731,40.6312,39.3073,1.16027,2.22045e-16,0.393862,1.36377,0.427738,0.930126
118,360.641,1,21.07,32.2913,40.5025,39.93,1.20704,2.22045e-16,0.393954,1.37804,0.416907,0.906575
119,364.068,1,21.105,30.7924,41.0635,38.2369,1.23243,2.22045e-16,0.392644,1.40493,0.408966,0.88362
120,361.964,1,21.2303,29.9047,40.9918,38.0907,1.2145,2.22045e-16,0.394432,1.45091,0.398611,0.892877
121,360.578,1,21.2976,31.079,40.546,38.0729,1.20637,2.22045e-16,0.390853,1.46323,0.393243,0.880174
122,360.749,1,21.1759,29.5651,40.3782,33.2511,1.2115,2.22045e-16,0.387292,1.43453,0.40082,0.860947
123,361.714,1,21.1564,28.7846,40.5917,29.756,1.20626,2.22045e-16,0.390838,1.43018,0.403157,0.938343
124,357.884,1,21.1936,29.5703,40.7789,31.5127,1.18525,2.22045e-16,0.396225,1.46665,0.397698,0.914584
125,360.932,1,21.0516,29.8057,40.3008,34.4371,1.19357,2.22045e-16,0.395109,1.47797,0.42537,0.908514
126,359.729,1,21.005,30.9665,40.1936,34.0936,1.19622,2.22045e-16,0.397409,1.44055,0.429979,0.88551
127,360.173,1,21.0207,33.4027,40.0807,34.9442,1.21094,2.22045e-16,0.397671,1.40407,0.432912,0.864326
128,363.862,1,21.037,32.9814,39.8134,35.1894,1.22703,2.22045e-16,0.392945,1.36852,0.453678,0.846709
129,364.654,1,20.9563,32.8292,39.9018,37.2679,1.22535,2.22045e-16,0.392962,1.34508,0.47244,0.852942
130,362.657,1,20.9812,30.97,39.9302,33.6428,1.21579,2.22045e-16,0.389514,1.31102,0.460478,0.902856
131,362.647,1,20.9823,29.1763,40.2954,35.4013,1.21955,2.22045e-16,0.392969,1.32771,0.448818,0.879995
132,359.765,1,21.016,29.0075,40.4177,37.2501,1.20219,2.22045e-16,0.397323,1.31227,0.451021,0.857713
133,363.899,1,21.058,31.5845,40.2514,36.1166,1.22355,2.22045e-16,0.395371,1.30512,0.458042,0.878708
134,360.25,1,20.9189,33.3837,39.7791,37.5583,1.20389,2.22045e-16,0.394726,1.27207,0.456245,0.883572
135,357.225,1,20.9172,32.6852,40.0009,36.4786,1.1777,2.22045e-16,0.397875,1.29363,0.448083,0.903837
136,354.145,1,21.0164,32.9414,40.0597,35.2162,1.15601,2.22045e-16,0.396415,1.37116,0.448504,0.880952
137,355.251,1,20.9649,31.9162,39.7229,37.7909,1.16219,2.22045e-16,0.389192,1.39409,0.44834,0.879327
138,357.37,1,21.0424,32.35,40.0239,39.9487,1.15454,2.22045e-16,0.392266,1.54547,0.451355,0.937411
139,354.891,1,21.0038,33.7395,39.9158,42.4708,1.1568,2.22045e-16,0.390231,1.50634,0.443556,0.913676
140,366.685,1,21.0283,35.1193,39.9949,43.6695,1.21057,2.22045e-16,0.391936,1.4682,0.452128,1.03717
