Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,Q_vs_V2_abscissa,Q_vs_V2_spline,Q_vs_V2_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q_abscissa,V2_vs_Q_spline,V2_vs_Q_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression
0.780603,0.0405639,-0.001663,0.349801,0.083113,-0.0302626,0.264925,0.0255998,0.0315704,0.151255,-0.146082,-0.12675,0.349801,-0.247445,-0.186172,0.264925,0.120633,-0.0250711,0.151255,0.0855634,-0.000359987,0.780603,-0.000845256,-0.00227117,0.264925,0.0190639,0.0309212,0.151255,0.00551394,0.0404813,0.780603,0.241853,0.118988,0.349801,-0.0224473,0.00560664
0.832189,0.0280955,-0.00206183,0.365401,0.068911,-0.0319467,0.301342,0.0420239,0.0345472,0.160909,-0.137404,-0.127604,0.365401,-0.247001,-0.189603,0.301342,0.109312,-0.015032,0.160909,0.0717606,-0.00176126,0.832189,0.0130833,-0.00360364,0.301342,0.020487,0.0320623,0.160909,0.0401732,0.0469305,0.832189,0.282897,0.129141,0.365401,-0.00344792,0.00857792
0.883776,0.0143143,-0.00246065,0.381001,0.0529631,-0.0336309,0.33776,0.0584479,0.037524,0.170563,-0.128726,-0.128458,0.381001,-0.238036,-0.193033,0.33776,0.0979919,-0.00499295,0.170563,0.0579579,-0.00316254,0.883776,0.0231876,-0.00493612,0.33776,0.0219102,0.0332035,0.170563,0.0748325,0.0533796,0.883776,0.315535,0.139294,0.381001,0.0188038,0.0115492
0.935362,-0.00128067,-0.00285947,0.3966,0.0365353,-0.035315,0.374177,0.0749857,0.0405008,0.180217,-0.121609,-0.129313,0.3966,-0.226715,-0.196464,0.374177,0.0827125,0.00504612,0.180217,0.0421646,-0.00456382,0.935362,0.0278371,-0.0062686,0.374177,0.0239751,0.0343446,0.180217,0.107732,0.0598288,0.935362,0.336068,0.149447,0.3966,0.0418912,0.0145205
0.986948,-0.0181369,-0.00325829,0.4122,0.0181177,-0.0369991,0.410595,0.0901325,0.0434775,0.189872,-0.119339,-0.130167,0.4122,-0.205583,-0.199894,0.410595,0.0657546,0.0150852,0.189872,0.0224391,-0.0059651,0.986948,0.0284769,-0.00760107,0.410595,0.0261032,0.0354857,0.189872,0.133779,0.066278,0.986948,0.34756,0.1596,0.4122,0.0682783,0.0174918
1.03853,-0.0364829,-0.00365712,0.4278,-0.000299937,-0.0386832,0.447012,0.102554,0.0464543,0.199526,-0.117704,-0.131021,0.4278,-0.18445,-0.203325,0.447012,0.0493295,0.0251243,0.199526,0.00251504,-0.00736637,1.03853,0.0239895,-0.00893355,0.447012,0.0277517,0.0366269,0.199526,0.158737,0.0727271,1.03853,0.347245,0.169753,0.4278,0.0946653,0.020463
1.09012,-0.0553181,-0.00405594,0.4434,-0.0191569,-0.0403673,0.48343,0.111281,0.0494311,0.20918,-0.118051,-0.131876,0.4434,-0.161106,-0.206755,0.48343,0.0347334,0.0351633,0.20918,-0.0167325,-0.00876765,1.09012,0.0176438,-0.010266,0.48343,0.0286162,0.037768,0.20918,0.179485,0.0791763,1.09012,0.342549,0.179906,0.4434,0.121573,0.0234343
1.14171,-0.0751904,-0.00445476,0.458999,-0.0394395,-0.0420514,0.519847,0.115733,0.0524078,0.218834,-0.121228,-0.13273,0.458999,-0.130514,-0.210186,0.519847,0.0228058,0.0452024,0.218834,-0.0337339,-0.0101689,1.14171,0.00699243,-0.0115985,0.519847,0.0287677,0.0389092,0.218834,0.193439,0.0856255,1.14171,0.327511,0.190059,0.458999,0.149863,0.0264056
1.19329,-0.095408,-0.00485358,0.474599,-0.0597221,-0.0437355,0.556265,0.119112,0.0553846,0.228488,-0.125921,-0.133584,0.474599,-0.099921,-0.213616,0.556265,0.0116486,0.0552414,0.228488,-0.0482672,-0.0115702,1.19329,-0.00547365,-0.012931,0.556265,0.028795,0.0400503,0.228488,0.202976,0.0920747,1.19329,0.30793,0.200212,0.474599,0.178152,0.0293769
1.24488,-0.116053,-0.00525241,0.490199,-0.0800048,-0.0454196,0.592682,0.118991,0.0583614,0.238142,-0.132863,-0.134439,0.490199,-0.0693285,-0.217047,0.592682,0.00331882,0.0652805,0.238142,-0.0579808,-0.0129715,1.24488,-0.0209105,-0.0142635,0.592682,0.0285916,0.0411914,0.238142,0.205247,0.0985238,1.24488,0.280637,0.210365,0.490199,0.206441,0.0323482
1.29647,-0.136797,-0.00565123,0.505799,-0.100617,-0.0471037,0.6291,0.116563,0.0613382,0.247796,-0.141647,-0.135293,0.505799,-0.0368455,-0.220477,0.6291,-0.00251017,0.0753196,0.247796,-0.0622711,-0.0143728,1.29647,-0.0380016,-0.0155959,0.6291,0.0285862,0.0423326,0.247796,0.200659,0.104973,1.29647,0.248773,0.220519,0.505799,0.23408,0.0353194
1.34805,-0.155125,-0.00605005,0.521398,-0.120827,-0.0487878,0.665517,0.11254,0.0643149,0.257451,-0.152189,-0.136148,0.521398,-0.00579805,-0.223908,0.665517,-0.00570713,0.0853586,0.257451,-0.0599798,-0.015774,1.34805,-0.0572556,-0.0169284,0.665517,0.0292125,0.0434737,0.257451,0.188601,0.111422,1.34805,0.20585,0.230672,0.521398,0.2586,0.0382907
1.39964,-0.173191,-0.00644888,0.536998,-0.140833,-0.050472,0.701935,0.106984,0.0672917,0.267105,-0.16325,-0.137002,0.536998,0.0244212,-0.227338,0.701935,-0.0055447,0.0953977,0.267105,-0.0508645,-0.0171753,1.39964,-0.0767453,-0.0182609,0.701935,0.0309021,0.0446149,0.267105,0.169818,0.117871,1.39964,0.161721,0.240825,0.536998,0.281967,0.041262
1.45122,-0.191256,-0.0068477,0.552598,-0.160839,-0.0521561,0.738352,0.101427,0.0702685,0.276759,-0.173419,-0.137856,0.552598,0.0546404,-0.230769,0.738352,-0.00538227,0.105437,0.276759,-0.0381544,-0.0185766,1.45122,-0.096235,-0.0195934,0.738352,0.0325917,0.045756,0.276759,0.148199,0.124321,1.45122,0.117592,0.250978,0.552598,0.305334,0.0442333
