rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
0,1,0.382474,8.39782e-10,-1.23095e-07,9.30208e-08,1.80844,1.9913e-08,All,#4682B4,0
1,1,0.397396,-5.30648e-08,-5.41712e-08,-7.43465e-08,2.95359,-1.20571e-08,All,#4682B4,0
2,1,0.38566,1.97888e-08,3.54131e-08,-1.21515e-08,2.41611,4.55503e-09,All,#4682B4,0
3,1,0.365468,5.73505e-09,-1.04324e-07,7.93887e-08,2.81501,-6.95039e-09,All,#4682B4,0
4,1,0.427269,3.9378e-08,5.43942e-08,5.25631e-08,2.49887,5.7789e-09,All,#4682B4,0
5,1,0.301336,3.04522e-08,1.18215e-07,7.63311e-08,1.9781,1.68061e-08,All,#4682B4,0
6,1,0.419012,-2.20337e-08,1.36364e-07,-1.08953e-07,2.66231,6.23327e-09,All,#4682B4,0
7,1,0.488625,-3.29181e-08,-9.25546e-09,1.91784e-08,3.08656,-2.77061e-08,All,#4682B4,0
8,1,0.416255,2.7395e-09,1.15238e-07,2.21568e-08,2.43272,-1.35713e-08,All,#4682B4,0
9,1,0.407495,6.59234e-08,-7.9307e-09,-7.98182e-09,2.59174,-2.80065e-08,All,#4682B4,0
0,2,0.224137,-9.15461e-09,6.39742e-08,2.19401e-08,-0.717418,2.12649e-08,All,#4682B4,0
1,2,0.151984,4.70591e-08,5.02317e-08,2.1732e-07,-1.91492,1.07854e-08,All,#4682B4,0
2,2,0.136924,7.50276e-08,5.95079e-08,3.35478e-09,-1.57438,-5.31165e-09,All,#4682B4,0
3,2,0.139243,5.08395e-08,3.06849e-08,1.22916e-07,-1.08773,1.5596e-08,All,#4682B4,0
4,2,0.137276,3.4982e-08,-1.94748e-07,1.54507e-08,-1.45603,-2.07908e-08,All,#4682B4,0
5,2,0.113878,1.87089e-08,1.469e-07,-3.73652e-08,-1.63658,1.43131e-08,All,#4682B4,0
6,2,0.240215,-1.59467e-08,-2.12847e-07,-8.18115e-08,-0.610113,-2.12645e-09,All,#4682B4,0
7,2,0.16016,6.39397e-08,2.31916e-07,8.11433e-08,-1.98469,-3.16762e-10,All,#4682B4,0
8,2,0.202534,3.93383e-08,-3.95366e-08,-5.04966e-08,-1.37436,4.96436e-09,All,#4682B4,0
9,2,0.180975,1.54517e-09,1.58459e-07,-1.49757e-07,-1.68665,3.21191e-09,All,#4682B4,0
0,3,0.161853,8.56646e-08,3.11194e-07,9.54624e-08,-1.44774,-3.19994e-08,All,#4682B4,0
1,3,0.130636,6.29051e-08,-3.22483e-08,-2.11425e-07,-1.34784,1.19884e-08,All,#4682B4,0
2,3,0.135224,-5.98186e-08,2.85243e-08,-1.17272e-08,-1.10798,2.51741e-08,All,#4682B4,0
3,3,0.148692,-1.31727e-09,1.9923e-07,1.30956e-08,-0.660461,3.50971e-08,All,#4682B4,0
4,3,0.272249,-2.52471e-08,8.6072e-08,8.95867e-08,0.155667,2.83189e-09,All,#4682B4,0
5,3,0.116008,3.3909e-09,9.86428e-09,-2.15812e-08,-0.576155,-2.45945e-08,All,#4682B4,0
6,3,0.196759,7.81066e-08,-6.67979e-08,-2.76768e-08,-0.568649,-1.82448e-08,All,#4682B4,0
