iteration,convergenceIndicator,phase,Cl_pop,Q2_pop,Q3_pop,V1_pop,V2_pop,V3_pop,a,omega_Cl,omega_Q2,omega_Q3,omega_V1,omega_V2,omega_V3
1,-505.003,1,13.5032,28.9576,4.44049e-05,23.2313,12.8292,8.37265,1.88868,0.261632,0.891153,4.11485e-08,0.284909,0.800479,1.73481e-08
2,-501.478,1,13.505,27.3879,4.44049e-05,23.4014,13.9548,8.37265,1.95793,0.259352,0.968952,4.34146e-08,0.311322,0.769456,1.50495e-08
3,-505.587,1,13.5809,27.4188,4.44049e-05,22.9259,13.5741,8.37265,1.90981,0.260606,0.895383,4.3173e-08,0.306741,0.74188,1.7369e-08
4,-497.187,1,13.456,27.996,4.44049e-05,23.4214,14.0648,8.37265,2.04389,0.260639,0.937485,4.36249e-08,0.304599,0.649057,1.66393e-08
5,-506.384,1,13.4005,27.6667,4.44049e-05,23.1082,14.5624,8.37265,1.95142,0.25557,0.925396,5.028e-08,0.309938,0.635445,1.49012e-08
6,-456.336,1,13.5756,26.2352,4.44049e-05,23.1685,13.826,8.37265,1.84405,0.260496,0.882417,4.79045e-08,0.323553,0.666823,1.068e-07
7,-452.588,1,13.6234,24.7145,4.44049e-05,22.9721,14.9697,8.37265,1.90596,0.259355,0.923018,4.17152e-08,0.310809,0.660746,1.14989e-07
8,-450.024,1,13.4708,24.7926,4.44049e-05,23.3305,15.3165,8.37265,1.91048,0.253784,0.903363,4.22482e-08,0.30996,0.702056,1.20153e-07
9,-448.384,1,13.6195,25.9361,4.44049e-05,23.5655,13.356,8.37265,1.92617,0.261655,0.846555,4.33774e-08,0.314305,0.718656,1.17342e-07
10,-444.327,1,13.4822,26.5044,4.44049e-05,23.7304,14.8326,8.37265,1.92991,0.270068,0.918538,4.82107e-08,0.33194,0.66707,1.08815e-07
11,-446.959,1,13.2961,25.8627,4.44049e-05,23.5079,15.2204,8.37265,1.93746,0.260773,1.04557,4.5402e-08,0.332844,0.632945,9.88693e-08
12,-446.941,1,13.5125,22.9361,4.44049e-05,23.4,15.0153,8.37265,1.95563,0.270563,1.1031,4.47683e-08,0.288578,0.630526,1.00341e-07
13,-451.286,1,13.5268,23,4.44049e-05,23.6317,15.6888,8.37265,1.94487,0.26917,0.974752,4.59082e-08,0.283087,0.698626,9.15797e-08
14,-450.231,1,13.4389,21.7356,4.44049e-05,23.7925,15.9531,8.37265,1.89303,0.26041,1.0592,4.63593e-08,0.283822,0.737944,9.92203e-08
15,-459.445,1,13.3868,22.096,4.44049e-05,23.9996,17.5818,8.37265,1.81814,0.257464,1.02596,4.28713e-08,0.284374,0.761283,1.01578e-07
16,-461.152,1,13.4826,22.0785,4.44049e-05,23.4682,15.359,8.37265,1.83273,0.257804,1.04893,4.22033e-08,0.276033,0.744568,9.56009e-08
17,-453.497,1,13.6172,23.913,4.44049e-05,23.4997,14.3273,8.37265,1.87041,0.258299,1.07749,4.7663e-08,0.295537,0.673394,9.70267e-08
18,-455.537,1,13.6505,22.2425,4.44049e-05,23.648,14.0999,8.37265,1.86609,0.271985,0.969398,4.98759e-08,0.305689,0.653401,9.2381e-08
19,-461.193,1,13.4813,23.0469,4.44049e-05,23.5748,15.2028,8.37265,1.81795,0.26048,0.975792,4.8284e-08,0.315686,0.713452,8.50468e-08
20,-458.686,1,13.3973,24.6307,4.44049e-05,23.0758,14.339,8.37265,1.82627,0.268073,0.892771,5.54954e-08,0.323052,0.729784,7.9412e-08
21,-454.309,1,13.4788,25.7149,4.44049e-05,22.7878,13.252,8.37265,1.85964,0.25979,0.89947,5.2685e-08,0.339801,0.763278,8.08301e-08
22,-458.321,1,13.4929,25.0421,4.44049e-05,23.4139,13.1436,8.37265,1.85955,0.262541,0.809382,5.19628e-08,0.321116,0.770663,8.26525e-08
23,-463.486,1,13.4868,26.0177,4.44049e-05,23.7538,13.2567,8.37265,1.83763,0.26157,0.826762,5.54633e-08,0.298617,0.829727,6.86964e-08
24,-460.344,1,13.3719,26.1532,4.44049e-05,23.5479,13.6221,8.37265,1.87062,0.25165,0.851509,5.98843e-08,0.311501,0.8741,5.83117e-08
25,-463.273,1,13.4202,27.9674,4.44049e-05,23.1374,13.5027,8.37265,1.88932,0.265863,0.794798,5.90966e-08,0.310136,0.809516,5.55265e-08
26,-460.423,1,13.4193,28.8293,4.44049e-05,23.1337,13.3612,8.37265,1.92107,0.267608,0.808995,5.94341e-08,0.32162,0.789508,5.30164e-08
27,-462.681,1,13.5251,25.7243,4.44049e-05,22.8831,14.3037,8.37265,1.91385,0.274148,0.834396,5.90566e-08,0.310225,0.759469,5.16289e-08
28,-463.976,1,13.6192,27.3713,4.44049e-05,22.7521,14.2215,8.37265,1.89884,0.267734,0.929258,5.74786e-08,0.32923,0.719045,4.87392e-08
29,-450.362,1,13.547,25.4215,4.44049e-05,23.0503,14.8007,8.37265,1.95987,0.27832,1.05885,5.31059e-08,0.329271,0.780934,5.33878e-08
30,-456.182,1,13.5527,21.5813,4.44049e-05,23.1867,14.5768,8.37265,1.95477,0.265532,0.925755,5.54333e-08,0.32986,0.80123,4.99106e-08
31,-467.296,1,13.5009,22.6779,4.44049e-05,23.1726,15.3539,8.37265,1.90706,0.268206,0.912476,4.63588e-08,0.343408,0.803024,4.60038e-08
32,-477.589,1,13.3787,24.7213,4.44049e-05,22.8624,16.2343,8.37265,1.83927,0.25775,0.920236,4.52516e-08,0.313702,0.77696,4.85095e-08
33,-479.944,1,13.5,24.0792,4.44049e-05,22.8973,14.9782,8.37265,1.88412,0.268272,0.935368,4.42954e-08,0.294844,0.758477,4.08468e-08
34,-479.772,1,13.5294,22.7708,4.44049e-05,23.0487,14.3898,8.37265,1.84279,0.270514,0.992514,3.94597e-08,0.328851,0.843754,3.96822e-08
35,-473.508,1,13.4198,23.2578,4.44049e-05,23.8038,15.1087,8.37265,1.89935,0.268585,1.04249,3.84591e-08,0.3382,0.855539,3.84786e-08
36,-472.705,1,13.5117,21.7991,4.44049e-05,23.8508,15.818,8.37265,1.95957,0.266567,1.01523,3.32958e-08,0.339366,0.916364,3.64409e-08
37,-469.091,1,13.5114,23.3379,4.44049e-05,24.0296,15.6215,8.37265,1.92491,0.252719,1.01685,3.54741e-08,0.349842,0.931183,4.31708e-08
38,-467.994,1,13.4155,26.2853,4.44049e-05,23.7948,14.777,8.37265,1.91228,0.254096,1.09075,3.62986e-08,0.316958,0.906136,4.78771e-08
39,-473.235,1,13.4757,22.533,4.44049e-05,23.8033,13.9844,8.37265,1.86269,0.253055,1.03288,3.79014e-08,0.318557,0.878229,4.90702e-08
40,-478.939,1,13.4485,21.8504,4.44049e-05,24.3027,13.4898,8.37265,1.82967,0.263708,0.973554,4.1439e-08,0.302851,0.843516,4.60633e-08
41,-473.556,1,13.4694,20.528,4.44049e-05,23.9972,13.8091,8.37265,1.88741,0.269321,1.01623,4.09334e-08,0.304338,0.851406,4.28251e-08
42,-475.834,1,13.4056,21.9468,4.44049e-05,24.4451,13.4032,8.37265,1.90361,0.257216,0.98281,3.57347e-08,0.312031,0.869546,4.46615e-08
43,-488.436,1,13.2933,22.1443,4.44049e-05,24.4095,13.7326,8.37265,1.8043,0.260559,0.957224,3.53097e-08,0.31268,0.87371,4.12269e-08
44,-481.352,1,13.4147,24.8316,4.44049e-05,24.0176,15.0482,8.37265,1.86902,0.25158,1.02891,3.71686e-08,0.313642,0.871133,3.86755e-08
45,-471.711,1,13.2832,22.4777,4.44049e-05,23.9687,14.4669,8.37265,1.99507,0.253181,0.942454,3.35774e-08,0.322102,0.806854,4.55149e-08
46,-480.625,1,13.4812,21.9626,4.44049e-05,23.9633,13.498,8.37265,1.94892,0.255362,0.868778,3.19127e-08,0.314496,0.763318,4.76727e-08
47,-489.073,1,13.5587,23.0507,4.44049e-05,24.5359,12.2363,8.37265,1.84711,0.260831,0.91538,2.82682e-08,0.306253,0.800266,5.09989e-08
48,-488.639,1,13.5894,24.5279,4.44049e-05,24.2182,12.2547,8.37265,1.89121,0.270957,0.916335,2.53631e-08,0.313127,0.806709,4.67031e-08
