parameter,value
Cl_pop,22.0966286438555
beta_Cl_LMP_1,0.357075494853968
beta_Cl_logtIMCKGM2,-1.2554220408763
beta_Cl_logtWTKG,1.98162186936561
beta_Cl_tSCRMGDL,-0.568860108053179
V1_pop,11.0841519297735
beta_V1_logtPROGDL,-1.91321432558454
beta_V1_tSCRMGDL,0.6287643328968
Q_pop,23.4
beta_Q_logtIMCKGM2,4.7851907306689
beta_Q_logtRAL,-0.398382633258431
V2_pop,9.26912071555735
beta_V2_SEXF_1,1.158391250063
omega_Cl,0.142382941558959
omega_V1,0.217792822554591
omega_Q,0.625853557825256
omega_V2,0.48007881827694
a,1.55136003485221
b,0.0358593165236725
