Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13
Cl_pop,20.6229,20.6332,20.6361,20.6695,20.6486,20.6319,20.6145,20.5879,20.6439,20.6499,20.5721,20.6325,20.6211
V1_pop,23.6372,24.0167,24.0072,24.2545,24.0162,24.1253,24.0762,23.9275,24.1879,23.9915,23.9245,23.9794,24.1234
V2_pop,13.5243,12.9181,12.7712,12.4264,12.8306,12.4795,12.6965,12.9232,12.6292,12.8331,13.1536,13.0112,12.8085
a,1.86106,1.85526,1.89001,1.88941,1.8802,1.89022,1.87797,1.87771,1.86405,1.89604,1.85805,1.86782,1.86667
beta_Cl_tSCRMGDL,-0.414834,-0.414612,-0.414941,-0.415912,-0.415245,-0.414675,-0.414263,-0.413467,-0.415415,-0.415842,-0.413281,-0.41512,-0.414679
omega_Cl,0.224545,0.224385,0.224495,0.224337,0.223799,0.223588,0.22326,0.223721,0.224361,0.223863,0.223354,0.224105,0.22296
omega_Q,0.956203,0.900338,0.834521,0.83801,0.86487,0.843204,0.875782,0.922705,0.84844,0.889565,0.899325,0.87048,0.880618
omega_V1,0.305031,0.29903,0.312366,0.30073,0.309935,0.314081,0.3032,0.285882,0.309513,0.290799,0.310651,0.311933,0.30257
omega_V2,0.770065,0.812274,0.777418,0.830254,0.774744,0.810679,0.794294,0.809934,0.796947,0.801035,0.785852,0.755697,0.806593
-2LL,507.848,507.632,507.484,507.609,507.438,507.568,507.517,507.801,507.469,507.641,507.552,507.411,507.512
