iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
18,-1.61847,1,13.5296,37.4665,20.9034,17.3579,1.67387,0.00223019,1.62482,0.256097,1.55862,2.61829e-08,0.644355
19,-0.798493,1,13.5019,42.1122,20.9034,16.0094,1.67387,0.00221803,1.62482,0.256996,1.41124,2.39592e-08,0.705716
20,-6.59907,1,13.5194,46.3221,20.9034,15.6754,1.67387,0.00213314,1.62482,0.251552,1.44362,2.21813e-08,0.693383
21,4.41159,1,13.5346,45.5676,20.9034,16.3349,1.67387,0.00245271,1.62483,0.259425,1.59371,2.35677e-08,0.669111
22,4.96711,1,13.429,50.1461,20.9034,16.4877,1.67387,0.00243045,1.62483,0.252601,1.79565,2.52069e-08,0.678201
23,0.0478867,1,13.4265,44.8334,20.9034,16.521,1.67387,0.00233654,1.62483,0.253239,1.77768,2.07043e-08,0.66464
24,-1.95812,1,13.4759,43.8305,20.9034,16.7349,1.67387,0.00206056,1.62483,0.255168,1.74963,2.18453e-08,0.688134
25,-9.78857,1,13.4928,42.6918,20.9034,16.6321,1.67387,0.0016055,1.62483,0.259654,1.46599,1.99931e-08,0.694924
26,-9.26656,1,13.4706,41.8392,20.9034,16.392,1.67387,0.00241812,1.62483,0.253416,1.63417,1.92629e-08,0.64772
27,-2.35214,1,13.4448,40.0731,20.9034,17.4074,1.67387,0.00226003,1.62483,0.255418,1.67068,2.03613e-08,0.6308
28,2.27553,1,13.3992,49.155,20.9034,17.1423,1.67387,0.00197971,1.62483,0.263157,1.64266,2.21917e-08,0.688168
29,-10.4919,1,13.5343,39.8464,20.9034,16.5999,1.67387,0.00218148,1.62483,0.257277,1.57904,2.06388e-08,0.704743
30,-5.7366,1,13.5263,45.8752,20.9034,16.8172,1.67387,0.00216804,1.62483,0.260652,1.55622,2.12714e-08,0.703131
31,-4.79396,1,13.4836,45.3181,20.9034,15.7932,1.67387,0.0024232,1.62483,0.261533,1.50804,2.05053e-08,0.647756
32,-2.97882,1,13.555,40.6762,20.9034,17.3883,1.67387,0.00213548,1.62483,0.259311,1.5251,2.12272e-08,0.709777
33,9.64957,1,13.5177,51.9575,20.9034,16.7825,1.67387,0.00222645,1.62483,0.266095,1.63414,2.16185e-08,0.764736
34,6.88309,1,13.6844,57.2074,20.9034,15.8087,1.67387,0.00206139,1.62483,0.266359,1.88184,2.46862e-08,0.710989
35,0.363878,1,13.5308,40.8782,20.9034,17.0214,1.67387,0.00233809,1.62483,0.265301,1.6841,2.38432e-08,0.639951
36,7.27191,1,13.4796,44.0608,20.9034,15.4936,1.67387,0.00268342,1.62483,0.259256,1.62694,2.77035e-08,0.635732
37,7.90015,1,13.4936,47.4435,20.9034,15.5264,1.67387,0.00251014,1.62483,0.259226,1.78636,2.51678e-08,0.696167
38,3.46903,1,13.5025,47.7075,20.9034,16.2661,1.67387,0.00261013,1.62483,0.258405,1.79536,1.93566e-08,0.69038
39,13.1903,1,13.4184,54.2077,20.9034,16.6343,1.67387,0.00255323,1.62483,0.256642,1.91936,2.14387e-08,0.673536
40,3.21958,1,13.4433,44.1096,20.9034,16.8459,1.67387,0.00244806,1.62483,0.252462,1.69009,2.2763e-08,0.711746
41,2.55635,1,13.4981,38.0906,20.9034,17.5351,1.67387,0.00241606,1.62483,0.263446,1.53985,2.32665e-08,0.675711
42,9.2536,1,13.6224,42.059,20.9034,16.8033,1.67387,0.00251413,1.62483,0.267434,1.6454,2.69587e-08,0.643123
43,4.81442,1,13.399,40.6747,20.9034,16.9209,1.67387,0.00280227,1.62483,0.257064,1.46544,2.67441e-08,0.686542
44,3.42011,1,13.4622,35.8662,20.9034,18.2135,1.67386,0.00245302,1.62483,0.261424,1.41465,2.62752e-08,0.711444
45,5.88699,1,13.3397,35.927,20.9034,19.2339,1.67386,0.00270914,1.62483,0.257395,1.3802,2.53674e-08,0.673243
46,0.736354,1,13.5472,35.4624,20.9034,16.9134,1.67386,0.0027421,1.62483,0.261929,1.4491,2.30443e-08,0.597648
47,4.08216,1,13.4952,33.7303,20.9034,16.9456,1.67386,0.00269554,1.62483,0.277737,1.3925,2.32206e-08,0.679146
48,-8.76257,1,13.5367,36.7816,20.9034,16.696,1.67386,0.00235731,1.62483,0.26543,1.38692,2.08188e-08,0.629184
49,-0.000194895,1,13.5183,33.3707,20.9034,16.0255,1.67386,0.00241084,1.62483,0.261349,1.33441,2.2917e-08,0.658962
50,-7.28019,1,13.5106,37.3522,20.9034,15.07,1.67386,0.00222419,1.62483,0.258449,1.4206,2.19112e-08,0.700617
51,-0.255563,1,13.3901,35.1518,20.9034,15.8991,1.67386,0.00234462,1.62483,0.245008,1.5163,1.94225e-08,0.737381
52,-1.19554,1,13.4005,36.7756,20.9034,16.7473,1.67386,0.00223825,1.62483,0.250051,1.56557,2.20445e-08,0.736443
53,-10.8296,1,13.2995,40.1796,20.9034,17.3907,1.67386,0.00202623,1.62483,0.241493,1.45874,2.02753e-08,0.695228
54,-6.84172,1,13.3819,39.6668,20.9034,18.2441,1.67386,0.0024111,1.62483,0.253023,1.53303,1.87204e-08,0.704403
55,-9.57233,1,13.488,41.8823,20.9034,16.8045,1.67386,0.00229763,1.62483,0.253453,1.59744,1.74688e-08,0.67577
56,1.05848,1,13.3213,37.9175,20.9034,16.7326,1.67386,0.00256792,1.62483,0.250138,1.7491,1.70423e-08,0.709934
57,-2.1995,1,13.3781,38.6019,20.9034,17.9327,1.67386,0.00267551,1.62483,0.249171,1.68265,1.76877e-08,0.692828
58,-9.26212,1,13.4903,40.6068,20.9034,17.0202,1.67386,0.00225197,1.62483,0.253799,1.64891,1.75662e-08,0.681874
59,-16.9781,1,13.5491,40.175,20.9034,16.4586,1.67386,0.00213009,1.62483,0.257951,1.60168,1.69501e-08,0.668978
60,-16.2187,1,13.562,39.198,20.9034,16.6103,1.67385,0.00223437,1.62483,0.250598,1.55159,1.58665e-08,0.659876
61,-21.2512,1,13.5399,40.2484,20.9034,15.9359,1.67385,0.00210902,1.62482,0.252915,1.5695,1.5024e-08,0.649569
62,-17.0134,1,13.6528,38.7142,20.9034,15.8837,1.67385,0.00206169,1.62482,0.261562,1.53598,1.53615e-08,0.650172
63,-16.18,1,13.5416,36.4674,20.9034,16.2443,1.67385,0.00215658,1.62482,0.257654,1.62802,1.79657e-08,0.608148
64,-7.99396,1,13.5424,36.9187,20.9034,17.0882,1.67385,0.00237371,1.62482,0.25705,1.53096,1.88406e-08,0.617722
65,-0.4338,1,13.6354,40.7772,20.9034,15.4299,1.67385,0.00261938,1.62482,0.267642,1.48691,1.64885e-08,0.653565
66,-6.5153,1,13.5957,42.8302,20.9034,14.956,1.67385,0.00272859,1.62482,0.260049,1.41941,1.56041e-08,0.645801
67,-8.53673,1,13.5308,41.8647,20.9034,14.8554,1.67385,0.00256059,1.62482,0.271069,1.40161,1.57222e-08,0.68933
68,-11.4773,1,13.4491,43.4619,20.9034,16.9171,1.67385,0.00257519,1.62482,0.264793,1.46373,1.50645e-08,0.679304
69,-5.91204,1,13.5901,45.3881,20.9034,16.276,1.67385,0.00244282,1.62482,0.277282,1.52864,1.61252e-08,0.704132
70,-11.9502,1,13.584,40.2188,20.9034,16.2186,1.67385,0.00222657,1.62482,0.26728,1.56851,1.55812e-08,0.674997
71,-17.0805,1,13.5575,33.3206,20.9034,16.5144,1.67385,0.00240132,1.62482,0.259756,1.51507,1.49012e-08,0.66039
72,39.6632,1,13.4576,30.9942,20.9034,16.6942,1.67385,0.00227188,1.62482,0.269017,1.54405,9.07733e-08,0.71208
73,40.6129,1,13.5443,35.9825,20.9034,17.1025,1.67385,0.00221705,1.62482,0.254975,1.46837,8.93012e-08,0.691583
74,34.6629,1,13.4938,39.206,20.9034,16.581,1.67385,0.00233113,1.62482,0.2565,1.4297,8.17662e-08,0.644229
75,35.1164,1,13.4872,36.5412,20.9034,17.3572,1.67385,0.00223593,1.62482,0.259519,1.42267,8.66476e-08,0.644524
76,32.2378,1,13.4195,36.3342,20.9034,17.4574,1.67385,0.00206092,1.62482,0.254144,1.4886,1.02512e-07,0.626756
77,35.7461,1,13.4169,41.4736,20.9034,16.6281,1.67385,0.00195118,1.62482,0.260649,1.44837,1.00766e-07,0.659301
78,36.1949,1,13.4426,43.9693,20.9034,16.4909,1.67385,0.00188783,1.62482,0.251913,1.45184,1.03502e-07,0.679055
79,40.647,1,13.4296,38.9484,20.9034,16.1457,1.67385,0.00214947,1.62482,0.252686,1.48369,1.01014e-07,0.746542
80,43.2727,1,13.4501,44.0167,20.9034,15.5711,1.67385,0.00200238,1.62482,0.255077,1.60679,1.09313e-07,0.701264
81,43.9725,1,13.512,41.9963,20.9034,15.851,1.67385,0.00216056,1.62483,0.264689,1.5513,1.08797e-07,0.668481
82,47.2282,1,13.6086,34.3817,20.9034,16.0779,1.67385,0.00222099,1.62483,0.261119,1.46119,1.12259e-07,0.697306
83,41.687,1,13.4267,38.8392,20.9034,16.8663,1.67385,0.00200289,1.62483,0.254372,1.58308,1.11677e-07,0.70217
84,41.168,1,13.4358,40.1129,20.9034,17.5278,1.67385,0.00195921,1.62483,0.257641,1.51708,1.19281e-07,0.653588
85,45.6587,1,13.4851,33.7125,20.9034,16.5124,1.67384,0.00215913,1.62483,0.26595,1.61228,1.21748e-07,0.670187
86,40.8424,1,13.3347,37.2295,20.9034,16.6981,1.67384,0.00204148,1.62483,0.260206,1.57065,1.21091e-07,0.63257
87,33.0926,1,13.474,38.4153,20.9034,16.1354,1.67384,0.00193749,1.62483,0.261796,1.5386,1.03262e-07,0.634567
88,50.064,1,13.4649,38.6251,20.9034,16.9664,1.67384,0.00256827,1.62483,0.261688,1.48603,1.13683e-07,0.706249
89,45.3092,1,13.3897,39.5653,20.9034,17.5205,1.67384,0.00197695,1.62483,0.270688,1.39755,1.1366e-07,0.646837
90,35.8357,1,13.509,42.3908,20.9034,17.1423,1.67384,0.00202917,1.62483,0.260971,1.33403,1.06145e-07,0.661581
91,40.8804,1,13.5326,40.4777,20.9034,16.8283,1.67384,0.00187774,1.62483,0.270658,1.42337,1.05883e-07,0.664763
92,46.262,1,13.5827,41.9115,20.9034,17.535,1.67384,0.00179739,1.62483,0.275638,1.60969,1.01548e-07,0.667928
93,41.4702,1,13.3724,41.0932,20.9034,17.2231,1.67384,0.00207225,1.62483,0.260515,1.6213,1.05663e-07,0.657363
94,31.3655,1,13.3843,37.8638,20.9034,17.3629,1.67384,0.00197022,1.62483,0.254793,1.58323,1.00722e-07,0.636242
