V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
14.9255,1.65628e-05,1.19864e-05,5.32465,7.74395e-05,2.20409e-05,All
15.704,4.15209e-05,3.33086e-05,5.62362,0.000187931,5.9622e-05,All
16.4826,9.4533e-05,8.38484e-05,5.92258,0.00041352,0.000145788,All
17.2612,0.000197679,0.000193431,6.22155,0.000835094,0.000326307,All
18.0397,0.0003833,0.000412968,6.52051,0.00156368,0.000675617,All
18.8183,0.000694809,0.000822863,6.81948,0.00273837,0.00130567,All
19.5969,0.00118574,0.00154138,7.11844,0.00451822,0.00237326,All
20.3755,0.00191672,0.00273151,7.41741,0.0070685,0.00408407,All
21.154,0.00295032,0.00460456,7.71637,0.0105426,0.00669189,All
21.9326,0.00434448,0.00741924,8.01534,0.0150622,0.0104921,All
22.7112,0.00614517,0.0114752,8.3143,0.0206995,0.0158096,All
23.4897,0.00837955,0.0171009,8.61327,0.0274622,0.0229814,All
24.2683,0.0110505,0.0246369,8.91223,0.0352869,0.0323362,All
25.0469,0.0141337,0.0344153,9.2112,0.0440378,0.044173,All
25.8254,0.0175766,0.0467385,9.51016,0.0535136,0.0587402,All
26.604,0.0213013,0.0618578,9.80913,0.063461,0.0762176,All
27.3826,0.0252092,0.0799553,10.1081,0.0735911,0.0967037,All
28.1612,0.0291869,0.10113,10.4071,0.0835991,0.120208,All
28.9397,0.0331142,0.12539,10.706,0.0931837,0.146648,All
29.7183,0.0368714,0.152649,11.005,0.102065,0.175855,All
30.4969,0.0403467,0.182731,11.304,0.109997,0.207581,All
31.2754,0.0434418,0.215376,11.6029,0.116784,0.241511,All
32.054,0.0460766,0.250256,11.9019,0.122278,0.27728,All
32.8326,0.0481921,0.286989,12.2009,0.126389,0.314487,All
33.6111,0.0497514,0.325153,12.4998,0.12908,0.35271,All
34.3897,0.0507394,0.36431,12.7988,0.130365,0.391527,All
35.1683,0.0511617,0.404015,13.0977,0.1303,0.430525,All
35.9468,0.0510413,0.443835,13.3967,0.128975,0.469312,All
