V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
25.0687,0.0124747,8.10498,0.028908,All
29.6729,0.0358647,9.09841,0.036135,All
34.2771,0.0608141,10.0918,0.0722701,All
38.8813,0.0467801,11.0853,0.158994,All
43.4855,0.0249494,12.0787,0.115632,All
48.0897,0.032746,13.0721,0.0939511,All
52.6939,0.00935601,14.0655,0.0794971,All
57.2981,0.00155934,15.059,0.130086,All
61.9023,0.00155934,16.0524,0.0939511,All
66.5065,0.00467801,17.0458,0.0794971,All
71.1107,0.00155934,18.0392,0.0867241,All
75.7149,0,19.0327,0.050589,All
80.3191,0.00155934,20.0261,0.0578161,All
