iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Q_LMP_1,beta_Q_logtAGEA,beta_Q_logtALBGDL,beta_Q_logtPROGDL,beta_V1_ANTU_1,beta_V1_logtCLCRMLMIN,beta_V1_logtPROGDL,beta_V2_SEXF_1,beta_V2_logtHCM,beta_V2_logtRAL,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0,0,0,0,0,0,0,0,0,0.259513,1.01171,0.263295,0.888378
2,444.158,1,13.505,25.0785,5.05448,1.57483,0.0416799,0.440381,1.5611,7.53158,-6.77054,-0.153644,-0.474175,-0.564954,3.16672,23.306,0.189652,0.259657,0.986093,0.256628,0.865884
3,440.517,1,13.5732,25.152,4.80125,1.54451,0.042716,0.61614,1.9729,9.90948,-9.12671,-0.169979,-0.5646,-0.723799,3.36344,25.5749,0.22634,0.26644,0.961124,0.25013,0.843959
4,450.437,1,13.5131,25.3697,4.71396,1.53834,0.047217,0.55443,1.64889,8.77123,-7.96592,-0.19572,-0.695147,-0.82077,3.60007,25.5329,0.325836,0.259694,0.936788,0.243796,0.82259
5,443.293,1,13.4697,25.9552,4.01699,1.51029,0.0477433,0.498488,2.22665,10.3093,-8.77686,-0.218615,-0.785943,-0.881392,4.03439,28.4832,0.333574,0.259651,0.913068,0.237623,0.801761
6,432.863,1,13.5722,25.8974,3.6441,1.37792,0.0499716,0.736216,2.40213,10.8271,-9.39242,-0.201682,-0.918987,-0.840392,4.05906,27.8809,0.361216,0.261253,0.889949,0.231607,0.78146
7,431.212,1,13.5673,25.5219,3.81591,1.37789,0.0485289,0.55432,2.65233,11.11,-8.67171,-0.172321,-0.950122,-0.859334,3.86789,27.0848,0.292021,0.26839,0.867415,0.225742,0.761673
8,420.204,1,13.6462,25.9129,4.07779,1.34282,0.0463536,0.576144,1.92212,11.9638,-10.739,-0.159562,-1.07176,-0.682489,3.83124,27.3311,0.312579,0.270542,0.845451,0.220026,0.742387
9,430.335,1,13.5789,26.0134,3.34216,1.34291,0.0495053,0.444878,2.28437,12.4002,-10.6972,-0.157166,-1.24899,-0.820208,4.35203,32.6899,0.387872,0.270181,0.824044,0.220204,0.72359
10,436.961,1,13.4972,26.0207,2.41804,1.36625,0.0540057,0.53363,2.18709,12.5247,-10.8824,-0.175588,-1.04784,-0.69903,4.99313,39.0555,0.306786,0.26334,0.803179,0.214628,0.705268
11,428.874,1,13.3886,26.8988,2.09187,1.43439,0.0484782,0.434246,2.85225,12.6502,-9.88451,-0.195899,-0.900883,-0.806993,5.44173,43.6375,0.35959,0.265363,0.782842,0.209193,0.68741
12,432.083,1,13.505,26.457,2.40906,1.43445,0.0517775,0.475415,2.52002,13.3673,-11.2091,-0.155768,-0.971139,-0.783844,5.12166,40.1722,0.403091,0.261739,0.76302,0.203897,0.670005
13,424.895,1,13.4484,26.3165,2.27894,1.3845,0.0535301,0.634225,2.3188,13.6719,-12.1288,-0.174917,-0.941988,-0.861493,5.08091,38.6304,0.411909,0.265031,0.7437,0.198734,0.65304
14,414.603,1,13.596,26.1336,2.29373,1.31715,0.0516883,0.663822,2.66867,14.4668,-12.7207,-0.16739,-0.757578,-0.698658,5.19624,39.2811,0.317165,0.258836,0.724869,0.193702,0.636504
15,416.36,1,13.626,26.5053,2.07937,1.3172,0.05488,0.522813,2.23358,13.2741,-11.6303,-0.175674,-0.700632,-0.821318,5.47085,44.6668,0.311372,0.261126,0.706515,0.188797,0.620388
16,404.214,1,13.5702,25.975,2.099,1.2782,0.0514119,0.688752,2.26663,15.6789,-13.871,-0.127506,-1.02199,-0.696551,5.4387,42.9046,0.371595,0.263612,0.688625,0.184017,0.604679
17,403.364,1,13.5134,26.2667,2.3385,1.33736,0.0488213,0.613544,2.48232,15.5219,-13.1375,-0.159644,-1.10177,-0.819026,5.0556,40.2095,0.318187,0.258606,0.671189,0.179357,0.589368
18,398.916,1,13.4682,26.8826,2.20286,1.44637,0.0433434,0.798456,2.54159,17.2419,-15.2468,-0.222354,-1.14095,-0.879929,5.11095,40.3258,0.187768,0.252058,0.654194,0.174816,0.574445
19,401.44,1,13.5721,26.4649,2.26644,1.41666,0.0465306,0.975034,2.38933,19.0689,-17.5122,-0.212701,-1.22996,-0.910281,5.30842,44.1714,0.307785,0.254768,0.63763,0.170389,0.5599
20,410.175,1,13.6031,26.5764,2.51191,1.48325,0.0442472,1.22816,1.85388,20.8535,-19.6891,-0.265892,-1.15692,-0.826153,5.0767,39.6368,0.293762,0.263753,0.621484,0.166075,0.545723
21,391.964,1,13.5223,26.0551,2.57904,1.45253,0.0423492,1.03496,1.44167,18.722,-17.7858,-0.175554,-1.13202,-0.846456,5.24759,39.9895,0.355002,0.260192,0.605748,0.16187,0.531905
22,384.794,1,13.4445,25.7402,2.64975,1.37,0.042375,1.05305,1.57431,19.395,-18.361,-0.152264,-1.0142,-0.744882,5.24899,40.1308,0.329165,0.265523,0.59041,0.157771,0.518437
23,397.465,1,13.5317,25.6416,2.42366,1.45241,0.0436015,1.01197,1.31341,17.7327,-16.8634,-0.162789,-1.09219,-0.693635,5.56118,44.001,0.35396,0.262951,0.575461,0.153776,0.50531
24,389.763,1,13.5207,25.3862,2.46825,1.33376,0.0476818,0.869616,1.45594,18.0181,-17.3105,-0.176725,-1.12023,-0.535101,5.35415,42.2241,0.305864,0.256293,0.56089,0.149883,0.492515
25,387.614,1,13.5379,25.4425,2.44738,1.30603,0.0495456,0.935331,1.58397,19.1107,-18.5235,-0.170938,-1.09799,-0.429982,5.53422,44.8648,0.352212,0.261135,0.546688,0.146088,0.480044
26,392.39,1,13.5421,25.5381,2.46984,1.33547,0.0494671,1.01553,1.61458,21.0435,-20.4947,-0.181318,-1.15287,-0.45028,5.61772,46.5365,0.434108,0.259831,0.532845,0.142389,0.492303
27,388.256,1,13.639,25.6547,2.60841,1.28748,0.0486567,1.05689,1.43695,21.6631,-21.3064,-0.195723,-1.17829,-0.430848,5.73014,48.944,0.491755,0.273996,0.519353,0.138783,0.538448
28,391.795,1,13.4313,25.6134,2.65594,1.3689,0.0498672,0.811311,1.74455,22.0327,-21.4098,-0.158961,-1.27529,-0.447275,5.54797,46.34,0.458133,0.267058,0.506203,0.135269,0.524814
29,387.65,1,13.5709,25.928,2.50197,1.41496,0.0453423,0.876764,1.59636,22.3324,-21.2751,-0.164077,-1.31858,-0.437472,5.49263,44.7774,0.435321,0.261072,0.493386,0.131844,0.511526
30,385.848,1,13.5122,26.0209,2.48339,1.37989,0.0459354,0.89355,1.64099,21.685,-21.0582,-0.168304,-1.36133,-0.492224,5.63424,44.9557,0.42996,0.259261,0.480893,0.128506,0.511107
31,383.181,1,13.442,25.8326,2.2504,1.4555,0.0413939,1.08886,1.4073,21.451,-20.8503,-0.157851,-1.37687,-0.525678,5.7811,46.279,0.384832,0.268321,0.468716,0.125252,0.498399
32,378.947,1,13.4079,25.1854,2.26302,1.33282,0.0451869,1.06481,1.29792,21.5966,-20.9031,-0.147216,-1.5565,-0.453394,5.60794,44.8027,0.395442,0.261527,0.456848,0.12208,0.485779
33,374.229,1,13.5334,25.1093,2.15193,1.33287,0.0467175,0.803165,1.40861,20.2029,-19.9392,-0.140804,-1.46253,-0.412183,5.54681,43.62,0.378612,0.259943,0.445281,0.118989,0.473479
34,376.14,1,13.5738,25.1318,2.6696,1.33293,0.0481938,0.702925,1.45109,19.3567,-19.0206,-0.151813,-1.46876,-0.348041,5.08825,41.332,0.39647,0.263958,0.434006,0.115976,0.46149
35,372.848,1,13.4602,25.1072,2.6615,1.21973,0.0535687,0.76678,1.28402,19.3419,-18.7789,-0.178656,-1.53845,-0.389595,5.1656,42.1371,0.374425,0.266049,0.423016,0.11304,0.449805
36,365.343,1,13.4616,24.8511,2.34217,1.31796,0.0486182,0.980491,1.34573,20.2839,-19.9604,-0.167425,-1.44597,-0.379877,5.45512,44.8973,0.368436,0.259312,0.412305,0.110178,0.438415
37,369.485,1,13.5885,24.9932,2.44023,1.31802,0.0516589,0.969888,1.5624,20.6006,-20.4371,-0.185812,-1.3411,-0.424247,5.31582,43.7414,0.297089,0.261237,0.401866,0.107388,0.427314
38,374.733,1,13.3661,25.3197,2.6935,1.39435,0.0495069,0.86279,1.5618,20.8632,-20.228,-0.21796,-1.49829,-0.454356,5.16384,42.1008,0.386569,0.256275,0.39169,0.104669,0.416495
