iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,669.033,1,12.6,23.4,17,1,0.3,1,1,1,1
2,639.65,1,13.9253,27.5092,15.1348,0.951879,0.237617,0.282957,0.910432,0.580452,0.884436
3,587.698,1,14.203,27.1401,14.1584,0.971151,0.189336,0.233484,0.891943,0.507706,0.733116
4,571.89,1,13.9338,25.399,14.2981,0.950312,0.173543,0.23337,0.843602,0.515003,0.632828
5,542.414,1,13.5996,26.7259,13.0212,1.21919,0.134944,0.239556,0.801872,0.394332,0.600702
6,534.753,1,13.6391,23.135,12.9566,1.2499,0.124255,0.246648,0.81622,0.399499,0.596993
7,519.625,1,13.5059,22.7042,13.1183,1.31974,0.103777,0.261765,0.760202,0.362207,0.678601
8,507.36,1,13.4692,25.1783,13.2734,1.44176,0.0862229,0.257499,0.756087,0.381825,0.678044
9,502.574,1,13.4996,25.2594,13.3045,1.57399,0.0739839,0.26312,0.743193,0.385674,0.707602
10,492.142,1,13.3819,26.9207,13.0142,1.49317,0.0680281,0.2535,0.817515,0.368852,0.726715
11,491.632,1,13.4598,28.7959,13.573,1.55883,0.0649846,0.249134,0.832082,0.365385,0.730453
12,485.061,1,13.4885,27.3449,13.366,1.51066,0.0633629,0.253287,0.737191,0.367882,0.761181
13,486.945,1,13.6213,30.7404,12.2865,1.62802,0.0564224,0.260187,0.81146,0.366597,0.758084
14,480.444,1,13.5355,34.1372,12.8186,1.48058,0.0555541,0.255556,0.875143,0.365678,0.836707
15,472.057,1,13.5283,31.8758,12.5281,1.50993,0.0526413,0.254235,0.726038,0.363195,0.81812
16,468.106,1,13.5498,30.0327,13.1281,1.43654,0.0527173,0.259863,0.770499,0.358497,0.79999
17,466.309,1,13.5951,27.6978,12.5999,1.53771,0.043691,0.260896,0.786634,0.370564,0.837871
18,466.72,1,13.5696,26.7072,12.8172,1.59383,0.039912,0.263135,0.812549,0.352615,0.875389
19,468.944,1,13.6278,28.6261,12.8469,1.65285,0.0382875,0.258477,0.840574,0.364465,0.832115
20,471.151,1,13.636,29.1953,13.1699,1.65288,0.0403773,0.266813,0.875218,0.340817,0.845979
21,468.058,1,13.6336,28.8669,13.9538,1.72302,0.0383516,0.269118,0.776275,0.32672,0.778099
22,465.364,1,13.6118,26.3039,13.2058,1.59263,0.0436318,0.267623,0.832888,0.302485,0.795819
23,471.266,1,13.5634,27.5732,13.8116,1.59269,0.046949,0.269243,0.852326,0.296964,0.84276
24,468.995,1,13.5492,25.9816,13.7833,1.59266,0.0467191,0.267963,0.913682,0.280957,0.781497
25,470.838,1,13.4599,27.648,13.1155,1.59263,0.0454682,0.271227,0.969585,0.279761,0.80994
26,470.005,1,13.6135,28.0059,13.0156,1.59263,0.0449463,0.27238,0.877272,0.280118,0.866679
27,459.493,1,13.5267,28.3288,12.8242,1.64728,0.0377721,0.26575,0.776161,0.291229,0.821226
28,461.24,1,13.3625,27.8573,13.3864,1.58406,0.0396705,0.247854,0.798066,0.296936,0.964729
29,465.52,1,13.4339,30.1529,13.4305,1.67044,0.0348926,0.25789,0.879326,0.304642,0.929093
30,455.424,1,13.4896,30.599,13.0997,1.54442,0.0368806,0.254933,0.888745,0.295933,0.885052
31,454.924,1,13.4778,29.7303,14.2436,1.56898,0.0384338,0.257006,0.744983,0.305523,0.869563
32,454.735,1,13.417,29.9895,13.3572,1.56896,0.036774,0.257249,0.829768,0.300332,0.813139
33,454.029,1,13.5899,28.6219,12.9447,1.54005,0.0382076,0.257954,0.865754,0.291425,0.83208
34,454.581,1,13.5613,26.4129,13.0831,1.59346,0.0380754,0.257835,0.829262,0.306244,0.73112
35,456.683,1,13.5447,30.0081,13.5512,1.5526,0.0389543,0.265304,0.896075,0.303319,0.761406
36,455.061,1,13.5177,30.5442,12.7171,1.55257,0.0384839,0.258585,0.91107,0.305891,0.758829
37,448.794,1,13.4695,29.6426,13.3728,1.51066,0.0363445,0.263108,0.811285,0.324643,0.77523
38,453.41,1,13.2903,28.1544,14.3753,1.61113,0.033497,0.25424,0.791382,0.345886,0.767006
39,450.904,1,13.3688,25.7371,13.9146,1.65565,0.0307359,0.251557,0.764289,0.339138,0.753525
40,457.056,1,13.4611,28.5715,12.4815,1.69047,0.0316348,0.264798,0.805969,0.351235,0.703691
41,467.341,1,13.4693,28.7434,12.3008,1.81272,0.0328205,0.264788,0.810283,0.366769,0.648356
42,468.105,1,13.5162,29.2748,12.4622,1.85238,0.0336821,0.267694,0.674075,0.358722,0.706753
43,477.599,1,13.4996,27.481,13.5197,1.85247,0.0367315,0.257428,0.786894,0.361164,0.771169
44,472.313,1,13.4155,27.8752,13.1416,1.68619,0.0404727,0.263497,0.826685,0.329755,0.836626
45,470.523,1,13.6149,28.4386,13.4251,1.72707,0.0391966,0.26269,0.794608,0.310592,0.855549
46,471.879,1,13.6503,26.9674,13.737,1.72705,0.0393036,0.282579,0.783803,0.349079,0.758183
47,462.348,1,13.4753,29.3458,14.0032,1.67298,0.0399866,0.2605,0.757574,0.342096,0.686702
48,464.863,1,13.5021,27.6241,14.3144,1.67306,0.0436683,0.253597,0.748684,0.337464,0.707827
49,464.586,1,13.3787,29.1649,13.5404,1.61695,0.0459581,0.255728,0.695217,0.356251,0.688019
50,464.71,1,13.4078,27.6876,12.2971,1.69076,0.0456591,0.259359,0.718739,0.340026,0.583928
51,460.592,1,13.6117,25.9628,12.6918,1.68507,0.0406369,0.262714,0.716683,0.344226,0.641593
52,458.804,1,13.4927,26.2637,12.3484,1.61811,0.0411382,0.25987,0.788128,0.331639,0.652938
53,462.061,1,13.4761,27.7089,12.2348,1.6832,0.0408398,0.254349,0.758596,0.332062,0.666331
54,457.886,1,13.4563,28.7381,12.4153,1.78765,0.0344352,0.259073,0.698761,0.333611,0.618361
55,454.456,1,13.4863,28.9201,12.7883,1.62979,0.0401535,0.252613,0.732214,0.313216,0.677586
56,462.377,1,13.5234,28.9154,12.3809,1.59636,0.0419494,0.260871,0.780855,0.336559,0.757312
57,460.006,1,13.3952,27.5114,12.2958,1.64425,0.037887,0.256069,0.794381,0.329986,0.744086
58,457.809,1,13.5738,26.6279,13.9636,1.57574,0.0408228,0.263374,0.812954,0.31914,0.726162
59,457.851,1,13.4377,26.3471,12.3294,1.6032,0.040287,0.250908,0.838662,0.309291,0.718769
60,459.099,1,13.5555,28.8933,12.8835,1.6032,0.0412829,0.258889,0.832695,0.309282,0.725557
61,455.321,1,13.5864,27.6074,12.3604,1.60298,0.0364813,0.260502,0.817283,0.326071,0.740817
62,460.562,1,13.5417,30.8101,13.5152,1.52269,0.0419348,0.259273,0.82596,0.330234,0.838346
63,462.762,1,13.5308,27.5566,13.5765,1.59647,0.0384354,0.256642,0.8877,0.333668,0.811837
64,469.839,1,13.5198,28.434,13.864,1.62406,0.0442824,0.265204,0.860728,0.308943,0.794532
65,461.016,1,13.4714,29.5743,13.0233,1.61993,0.0366481,0.260974,0.888343,0.301943,0.833893
66,460.321,1,13.4022,31.7942,12.48,1.55673,0.0410807,0.264753,0.838217,0.30316,0.823139
67,463.464,1,13.5118,30.1977,12.6251,1.61239,0.0397096,0.267323,0.907341,0.284343,0.815713
68,460.221,1,13.5827,31.4812,12.7575,1.61238,0.0388307,0.260337,0.984092,0.249622,0.829239
69,460.803,1,13.6171,33.5906,12.5227,1.59211,0.0416624,0.262894,0.901657,0.244075,0.870188
70,466.002,1,13.4529,35.0032,12.1849,1.6116,0.0406688,0.262099,0.844088,0.293852,0.909837
71,464.578,1,13.5318,35.922,11.955,1.68192,0.0369171,0.270774,0.791968,0.291227,0.888651
72,461.434,1,13.5666,34.8709,12.7079,1.73093,0.0326086,0.26569,0.805761,0.290972,0.851457
73,454.823,1,13.5489,34.4937,13.4864,1.73088,0.0299899,0.25429,0.787247,0.254793,0.92395
74,452.659,1,13.4238,36.4659,13.07,1.69132,0.034767,0.257094,0.749436,0.230472,0.898302
75,453.622,1,13.3934,36.5171,13.2325,1.74884,0.0348704,0.25151,0.752072,0.218171,0.847071
76,458.732,1,13.4243,39.7404,12.6347,1.7251,0.0374654,0.254383,0.806489,0.241327,0.798774
77,460.432,1,13.3808,38.6156,12.7238,1.6509,0.04127,0.251871,0.827758,0.259283,0.798045
78,466.937,1,13.568,43.0731,12.5266,1.61836,0.0442105,0.255756,0.893128,0.258972,0.870927
79,469.025,1,13.5346,40.3884,12.3266,1.64861,0.0423013,0.255847,0.91586,0.284661,0.835367
80,478.242,1,13.4889,36.9866,12.6637,1.6486,0.0414583,0.257845,1.04173,0.306268,0.939374
81,477.955,1,13.6521,36.222,12.886,1.6486,0.0418535,0.25837,1.00653,0.325524,0.91903
82,479.157,1,13.6227,35.6489,13.2413,1.64877,0.0484388,0.259469,0.833411,0.318544,0.911505
83,485.315,1,13.6816,38.1415,12.5836,1.62084,0.0504093,0.265278,0.88861,0.33213,0.932182
84,481.603,1,13.4767,33.2931,12.4123,1.62084,0.0493523,0.274995,0.822062,0.328992,0.870726
85,475.086,1,13.4636,31.5412,12.7754,1.59295,0.049072,0.253015,0.796901,0.324841,0.892895
86,475.031,1,13.5123,30.5775,12.9572,1.65301,0.0482799,0.257034,0.820548,0.286161,0.85972
87,473.32,1,13.4341,30.0582,14.2672,1.63623,0.0475747,0.257993,0.81992,0.276729,0.906737
88,466.898,1,13.454,31.2519,13.41,1.73677,0.0371419,0.263414,0.736662,0.302223,0.881002
89,447.333,1,13.523,30.3554,13.4166,1.63605,0.0310615,0.257796,0.745479,0.277256,0.85922
90,450.291,1,13.5179,28.9469,12.6447,1.63609,0.033357,0.264454,0.678103,0.293835,0.871051
91,461.204,1,13.5875,30.0482,12.274,1.64191,0.0390638,0.259187,0.79768,0.28757,0.848989
92,467.141,1,13.6947,33.5149,12.3555,1.64191,0.0408863,0.2669,0.89315,0.2822,0.883368
93,462.344,1,13.5995,33.6183,11.888,1.6419,0.0405712,0.261264,0.834093,0.271314,0.832109
94,465.708,1,13.4286,33.2937,13.3211,1.69761,0.0430678,0.258834,0.809794,0.268644,0.752869
95,461.205,1,13.5315,29.0866,12.9948,1.64327,0.0439873,0.255987,0.76668,0.278087,0.746236
96,464.344,1,13.4319,27.6362,12.9162,1.5711,0.0499526,0.245953,0.765036,0.294769,0.73728
97,463.551,1,13.3285,32.5723,13.737,1.53786,0.0482865,0.259029,0.844837,0.302434,0.693679
98,457.787,1,13.3879,33.1313,13.7484,1.5378,0.0459393,0.262882,0.812479,0.30845,0.685366
99,457.984,1,13.4706,32.2659,14.3446,1.58304,0.043736,0.262417,0.804809,0.313256,0.643301
100,452.63,1,13.325,30.1847,14.6585,1.57764,0.0402282,0.256019,0.82196,0.305183,0.651776
101,456.162,1,13.4643,29.6835,13.837,1.59452,0.0434885,0.263156,0.799456,0.295945,0.632765
102,451.371,1,13.5049,30.4035,14.2122,1.58905,0.0378091,0.260311,0.779056,0.313324,0.692125
103,447.628,1,13.5147,35.3864,13.5372,1.56711,0.0327216,0.258805,0.879972,0.305543,0.748311
104,461.148,1,13.5993,34.5523,14.1962,1.6492,0.0357702,0.272699,0.924973,0.282072,0.798187
105,458.391,1,13.4976,34.6924,13.8347,1.64917,0.0353612,0.26285,0.917139,0.269268,0.818614
106,458.573,1,13.4798,39.2367,14.5735,1.64917,0.0362933,0.268649,0.948748,0.272132,0.758299
107,448.907,1,13.4902,38.7375,14.2923,1.74789,0.0285799,0.263205,0.821568,0.257544,0.698163
108,448.609,1,13.4401,36.9842,14.0453,1.74791,0.0295875,0.264245,0.79448,0.248636,0.709289
109,446.505,1,13.4563,39.017,13.8102,1.74792,0.0309899,0.266966,0.749503,0.233757,0.71586
110,450.629,1,13.5704,40.9797,14.1831,1.82614,0.0271828,0.260744,0.834187,0.211209,0.76304
111,452.426,1,13.465,38.0045,14.6438,1.75281,0.032393,0.253659,0.831682,0.225368,0.77706
112,446.422,1,13.6144,42.8602,14.9645,1.60031,0.0338308,0.252673,0.940111,0.22724,0.814865
113,445.392,1,13.6005,41.9745,14.3064,1.60028,0.033444,0.269764,0.903925,0.224472,0.804691
114,454.524,1,13.4965,45.1006,14.7533,1.70811,0.0320266,0.260294,0.955764,0.219387,0.83606
115,443.219,1,13.4823,43.7521,14.0078,1.64786,0.0290276,0.262811,0.858356,0.222586,0.836889
116,442.568,1,13.5131,40.1953,13.6002,1.59528,0.031496,0.270704,0.87717,0.227595,0.791998
117,450.01,1,13.5827,39.1241,14.3412,1.52296,0.0402404,0.263946,0.871025,0.244138,0.801233
118,453.64,1,13.5997,40.7086,13.997,1.52363,0.0457862,0.25834,0.930757,0.217424,0.754896
119,457.833,1,13.4933,33.3957,14.7268,1.50366,0.0486018,0.258397,0.900049,0.209024,0.852278
120,461.831,1,13.5418,33.3203,13.8572,1.61183,0.0442656,0.253,0.902606,0.216934,0.891197
121,459.626,1,13.4393,36.47,14.9462,1.48336,0.0505,0.256541,0.864057,0.2239,0.850045
122,451.751,1,13.3989,36.6366,15.5515,1.52879,0.0444996,0.252762,0.922427,0.21608,0.763564
123,446.746,1,13.5245,37.1045,15.6643,1.51947,0.0400818,0.255107,0.949254,0.209288,0.809812
124,450.813,1,13.4543,37.3031,16.016,1.50571,0.0429099,0.254735,0.909567,0.213793,0.857359
125,452.229,1,13.3738,37.3676,15.8633,1.52934,0.0431249,0.254763,0.93225,0.193386,0.897387
126,447.466,1,13.5312,35.2872,16.2858,1.56408,0.0366624,0.263687,0.963372,0.182206,0.944527
127,458.872,1,13.4698,37.7192,15.396,1.65458,0.0377357,0.258239,1.03305,0.209196,0.856487
128,457.904,1,13.4624,37.5278,14.5284,1.64875,0.0351057,0.261286,0.986066,0.247792,0.823871
129,456.413,1,13.4057,32.0203,14.1205,1.61243,0.0375414,0.261563,0.994383,0.239316,0.783566
130,453.2,1,13.4757,29.2999,15.0404,1.54832,0.0403824,0.260766,1.04487,0.237323,0.717461
131,456.275,1,13.3656,28.1485,15.8864,1.58805,0.0403931,0.254925,1.07193,0.235314,0.711383
132,466.302,1,13.4044,30.0413,16.5481,1.62553,0.047257,0.25436,1.04528,0.222877,0.730245
133,453.917,1,13.4464,29.9683,15.3759,1.56094,0.0426375,0.262144,1.03066,0.213681,0.716531
134,457.154,1,13.4449,30.9327,14.5746,1.56091,0.0418138,0.256827,1.1332,0.22366,0.728644
135,462.15,1,13.4958,35.0345,14.415,1.6467,0.041682,0.2495,1.12156,0.222448,0.73757
136,459.675,1,13.4992,30.3213,14.167,1.54422,0.0422746,0.255547,1.16279,0.227269,0.788295
137,454.782,1,13.5371,30.6845,15.5335,1.55844,0.0376714,0.26271,1.13463,0.22491,0.804102
138,456.626,1,13.5188,25.9078,15.3151,1.59387,0.0368254,0.256973,1.12066,0.234276,0.798779
139,459.697,1,13.5094,31.5943,14.4228,1.54691,0.0441277,0.255589,1.15375,0.217875,0.759294
140,471.877,1,13.569,35.055,14.0376,1.54698,0.0461919,0.266263,1.26612,0.248467,0.774822
141,467.887,1,13.587,34.7092,14.1172,1.58582,0.0455717,0.260535,1.21178,0.229247,0.749276
142,470.063,1,13.5684,38.7326,14.3934,1.58584,0.0465697,0.263452,1.2188,0.210734,0.83842
