popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
1.27184,1.055,1.27184,1.0503,1.49338,0.120573,0.0470517,0.120573,-0.100967,0.342114,All
1.29737,1.06345,1.29737,1.07583,1.51891,0.128928,0.0559721,0.128928,-0.092613,0.350468,All
1.31511,1.06947,1.31511,1.09357,1.53665,0.137861,0.0655107,0.137861,-0.0836798,0.359401,All
1.32341,1.07229,1.32341,1.10187,1.54495,0.147413,0.0757102,0.147413,-0.0741276,0.368954,All
1.34997,1.0813,1.34997,1.12843,1.57151,0.157627,0.0866164,0.157627,-0.0639135,0.379168,All
1.35838,1.08416,1.35838,1.13684,1.57992,0.168549,0.0982783,0.168549,-0.0529917,0.390089,All
1.37706,1.0905,1.37706,1.15552,1.5986,0.180227,0.110748,0.180227,-0.0413132,0.401768,All
1.40164,1.09885,1.40164,1.1801,1.62319,0.186874,0.117845,0.186874,-0.0346671,0.408414,All
1.4047,1.09989,1.4047,1.18316,1.62624,0.192715,0.124082,0.192715,-0.0288254,0.414256,All
1.4329,1.10946,1.4329,1.21136,1.65444,0.206068,0.13834,0.206068,-0.0154724,0.427609,All
1.44491,1.11354,1.44491,1.22337,1.66645,0.220346,0.153586,0.220346,-0.00119421,0.441887,All
1.46166,1.12229,1.46166,1.24012,1.6832,0.235614,0.169888,0.235614,0.0140733,0.457155,All
1.48818,1.1421,1.48818,1.26664,1.70972,0.251939,0.187319,0.251939,0.0303987,0.47348,All
1.491,1.14442,1.491,1.26946,1.71254,0.253174,0.188638,0.253174,0.0316332,0.474714,All
1.52092,1.16911,1.52092,1.29938,1.74246,0.269396,0.205652,0.269396,0.0478553,0.490936,All
1.53145,1.17806,1.53145,1.30991,1.75299,0.288062,0.225089,0.288062,0.0665214,0.509603,All
1.55145,1.19667,1.55145,1.32991,1.77299,0.308021,0.245873,0.308021,0.0864808,0.529562,All
1.57472,1.21956,1.57472,1.35318,1.79626,0.319474,0.257799,0.319474,0.0979335,0.541015,All
1.58259,1.2278,1.58259,1.36105,1.80413,0.329364,0.268098,0.329364,0.107823,0.550904,All
1.61436,1.26129,1.61436,1.39281,1.8359,0.352185,0.291862,0.352185,0.130644,0.573726,All
1.61799,1.26539,1.61799,1.39645,1.83953,0.376588,0.317273,0.376588,0.155047,0.598128,All
1.64676,1.2979,1.64676,1.42522,1.8683,0.385774,0.326839,0.385774,0.164234,0.607315,All
1.66126,1.31574,1.66126,1.43972,1.8828,0.402681,0.344444,0.402681,0.18114,0.624221,All
1.67981,1.33877,1.67981,1.45827,1.90135,0.430582,0.373499,0.430582,0.209041,0.652123,All
1.70453,1.36944,1.70453,1.48299,1.92607,0.452075,0.395879,0.452075,0.230534,0.673615,All
1.71353,1.38061,1.71353,1.49199,1.93507,0.460417,0.404566,0.460417,0.238876,0.681957,All
1.74779,1.42322,1.74779,1.52625,1.96934,0.492318,0.437786,0.492318,0.270778,0.713859,All
1.74792,1.42339,1.74792,1.52638,1.96946,0.518375,0.464919,0.518375,0.296834,0.739916,All
1.783,1.47059,1.783,1.56146,2.00454,0.52643,0.473308,0.52643,0.30489,0.747971,All
1.79106,1.48149,1.79106,1.56952,2.0126,0.562906,0.511291,0.562906,0.341366,0.784447,All
1.81879,1.51897,1.81879,1.59725,2.04033,0.584675,0.533959,0.584675,0.363135,0.806216,All
1.83433,1.53998,1.83433,1.61279,2.05587,0.601909,0.551905,0.601909,0.380369,0.82345,All
1.8553,1.56879,1.8553,1.63376,2.07684,0.643615,0.595334,0.643615,0.422074,0.865155,All
1.8776,1.5997,1.8776,1.65606,2.09914,0.650976,0.602999,0.650976,0.429435,0.872516,All
1.89253,1.62046,1.89253,1.67099,2.11408,0.68821,0.641772,0.68821,0.466669,0.909751,All
1.92087,1.65985,1.92087,1.69933,2.14241,0.717276,0.672039,0.717276,0.495735,0.938816,All
1.93052,1.67326,1.93052,1.70898,2.15206,0.735895,0.691428,0.735895,0.514355,0.957436,All
1.96414,1.7198,1.96414,1.7426,2.18568,0.783576,0.741079,0.783576,0.562036,1.00512,All
1.96927,1.72688,1.96927,1.74773,2.19081,0.786884,0.744524,0.786884,0.565344,1.00843,All
2.00741,1.77894,2.00741,1.78587,2.22895,0.841407,0.8013,0.841407,0.619866,1.06295,All
2.0088,1.78082,2.0088,1.78725,2.23034,0.849876,0.810119,0.849876,0.628336,1.07142,All
2.04911,1.83511,2.04911,1.82757,2.27066,0.899707,0.86126,0.899707,0.678166,1.12125,All
2.05068,1.83721,2.05068,1.82914,2.27222,0.916177,0.878147,0.916177,0.694636,1.13772,All
2.09024,1.88977,2.09024,1.8687,2.31178,0.962046,0.925178,0.962046,0.740506,1.18359,All
2.09395,1.89468,2.09395,1.8724,2.31549,0.982477,0.946108,0.982477,0.760936,1.20402,All
2.1322,1.94502,2.1322,1.91066,2.35374,1.02871,0.99341,1.02871,0.807165,1.25025,All
2.13721,1.95158,2.13721,1.91567,2.35875,1.04878,1.01395,1.04878,0.827237,1.27032,All
2.17499,2.00095,2.17499,1.95345,2.39653,1.09998,1.06634,1.09998,0.878442,1.32152,All
2.18048,2.00812,2.18048,1.95894,2.40202,1.11508,1.08178,1.11508,0.893537,1.33662,All
2.21865,2.05799,2.21865,1.99711,2.44019,1.1762,1.14429,1.1762,0.954659,1.39774,All
2.22375,2.06466,2.22375,2.00221,2.44529,1.18138,1.14958,1.18138,0.959837,1.40292,All
2.26318,2.11599,2.26318,2.04164,2.48472,1.24768,1.21739,1.24768,1.02614,1.46922,All
2.26702,2.12097,2.26702,2.04548,2.48856,1.2577,1.22764,1.2577,1.03616,1.47924,All
