rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
0,1,1.10781,-1.46037,0.577911,1.25339,-0.836629,-0.750272,0
1,1,1.37347,-1.14522,0.397258,1.51197,0.159494,-1.58889,0
2,1,1.44892,-1.52876,0.654077,0.960553,0.10473,1.19333,0
3,1,1.09077,-2.79662,0.753286,1.46019,-1.11068,0.184958,0
4,1,1.03724,-1.32781,0.481059,1.21282,0.540755,0.59003,0
5,1,1.58482,-1.15515,0.434119,1.06281,2.40052,-1.99907,0
6,1,1.31072,-0.430542,-0.0114818,1.53269,-0.339432,-1.03715,0
7,1,1.07905,-0.535771,0.305835,1.4363,0.495382,0.0801297,0
8,1,1.31155,-0.920673,0.396864,1.18487,-0.830589,-1.2276,0
9,1,1.13193,-0.0161841,0.113968,1.80433,0.00256229,0.273348,0
0,2,0.962741,-0.0717413,-1.4945,0.0808919,1.01628,0.971679,0
1,2,0.732572,-0.067044,-1.21939,0.0844572,-0.490095,-0.177124,0
2,2,0.711113,-0.0959106,-1.30992,0.101087,1.85074,0.233805,0
3,2,0.676945,-0.673893,-0.141048,-0.138967,-0.208581,0.514959,0
4,2,0.849319,-1.25488,0.265789,0.13397,-1.04469,-1.05718,0
5,2,0.606566,-0.630001,-0.166267,-0.135884,1.15996,0.990164,0
6,2,0.816031,-0.686021,0.0306181,-0.584542,-0.0399204,-0.626911,0
7,2,0.841238,-0.362487,-0.272588,-0.448996,-1.54151,0.544888,0
8,2,0.829565,-0.548518,-0.53003,-0.640377,0.595468,-0.268709,0
9,2,0.71086,-0.146082,-1.09809,0.281202,-1.17482,2.19414,0
0,3,1.22229,0.639079,0.00592267,-0.672927,0.974159,-1.25014,0
1,3,0.862724,0.387273,0.422829,0.261056,0.204183,-1.52699,0
2,3,1.25508,0.203593,0.825611,-0.555719,-1.39472,0.763156,0
3,3,1.14773,0.799606,0.349641,-1.02614,-0.73595,0.666888,0
4,3,1.04706,0.403017,0.186858,-0.215127,-1.24905,1.80644,0
5,3,1.28355,1.11648,-1.06695,-0.72508,-0.346399,-1.45189,0
6,3,1.29971,0.612647,-0.0148402,-0.90895,-0.775497,1.3796,0
7,3,1.22429,0.0338316,0.591618,-0.272062,-0.743226,0.512269,0
8,3,1.00015,-0.558587,1.60871,-0.112099,1.63597,1.60526,0
