standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q2_abscissa,standEta_Q2_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_Q3_abscissa,standEta_Q3_pdf,standEta_V3_abscissa,standEta_V3_pdf,split
-1.72372,0.203971,-2.57496,0.0161946,-2.38699,0.0327248,-2.35015,0.0191879,-2.03713,0.0364654,-1.95228,0.106776,All
-1.44213,0.203971,-2.13163,0.0971675,-1.94821,0.114537,-1.97598,0.0767516,-1.64336,0.145861,-1.61609,0.128131,All
-1.16054,0.407942,-1.68831,0.0971675,-1.50943,0.196349,-1.60181,0.172691,-1.24959,0.291723,-1.27989,0.149486,All
-0.878952,0.229467,-1.24498,0.194335,-1.07065,0.261798,-1.22764,0.211067,-0.855822,0.455817,-0.943697,0.234907,All
-0.597363,0.331453,-0.801653,0.340086,-0.631868,0.163624,-0.853477,0.307007,-0.462052,0.401119,-0.607503,0.384393,All
-0.315775,0.382445,-0.358326,0.340086,-0.193088,0.474509,-0.47931,0.36457,-0.0682817,0.364654,-0.271308,0.277617,All
-0.034186,0.0509927,0.0850002,0.421059,0.245693,0.507234,-0.105142,0.383758,0.325489,0.419352,0.0648861,0.469814,All
0.247403,0.407942,0.528327,0.307697,0.684473,0.34361,0.269025,0.46051,0.719259,0.237025,0.401081,0.405748,All
0.528991,0.305956,0.971653,0.323892,1.12325,0.229073,0.643192,0.211067,1.11303,0.218792,0.737275,0.363038,All
0.81058,0.331453,1.41498,0.113362,1.56203,0.0818119,1.01736,0.230255,1.5068,0.109396,1.07347,0.320327,All
1.09217,0.535424,1.85831,0.0323892,2.00081,0.0163624,1.39153,0.307007,1.90057,0.0182327,1.40966,0.170841,All
1.37376,0.356949,2.30163,0.0809729,2.43959,0,1.76569,0.0959395,2.29434,0.0182327,1.74586,0.0854207,All
1.65535,0.0764891,2.74496,0.0647783,2.87837,0.0327248,2.13986,0.0383758,2.68811,0.0182327,2.08205,0.106776,All
