standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-1.86451,0.00666667,-2.79662,0.00666667,-2.60638,0.00666667,-2.53723,0.00666667,-2.23402,0.00666667,-2.12038,0.00666667,All
-1.8427,0.0133333,-1.98536,0.0133333,-2.23968,0.0133333,-2.03219,0.0133333,-1.90391,0.0133333,-2.05988,0.0133333,All
-1.78201,0.02,-1.97591,0.02,-2.02709,0.02,-2.02891,0.02,-1.77966,0.02,-1.99907,0.02,All
-1.73354,0.0266667,-1.95067,0.0266667,-2.01681,0.0266667,-1.99453,0.0266667,-1.68998,0.0266667,-1.81967,0.0266667,All
-1.71535,0.0333333,-1.93706,0.0333333,-1.89908,0.0333333,-1.79315,0.0333333,-1.65799,0.0333333,-1.81223,0.0333333,All
-1.70934,0.04,-1.93539,0.04,-1.84572,0.04,-1.76722,0.04,-1.64822,0.04,-1.58889,0.04,All
-1.68013,0.0466667,-1.92826,0.0466667,-1.8295,0.0466667,-1.76589,0.0466667,-1.56415,0.0466667,-1.56007,0.0466667,All
-1.66956,0.0533333,-1.80531,0.0533333,-1.82777,0.0533333,-1.71329,0.0533333,-1.54151,0.0533333,-1.52699,0.0533333,All
-1.55572,0.06,-1.72855,0.06,-1.74566,0.06,-1.6729,0.06,-1.49828,0.06,-1.50621,0.06,All
-1.47922,0.0666667,-1.68724,0.0666667,-1.67979,0.0666667,-1.59968,0.0666667,-1.47271,0.0666667,-1.45648,0.0666667,All
-1.45835,0.0733333,-1.57255,0.0733333,-1.58918,0.0733333,-1.5541,0.0733333,-1.43106,0.0733333,-1.45189,0.0733333,All
-1.43458,0.08,-1.52876,0.08,-1.57755,0.08,-1.55167,0.08,-1.41749,0.08,-1.39249,0.08,All
-1.37497,0.0866667,-1.51491,0.0866667,-1.54298,0.0866667,-1.46883,0.0866667,-1.40969,0.0866667,-1.36394,0.0866667,All
-1.35997,0.0933333,-1.46037,0.0933333,-1.51204,0.0933333,-1.46184,0.0933333,-1.39472,0.0933333,-1.29677,0.0933333,All
-1.35871,0.1,-1.34528,0.1,-1.50794,0.1,-1.3887,0.1,-1.36414,0.1,-1.25014,0.1,All
-1.32617,0.106667,-1.32781,0.106667,-1.4945,0.106667,-1.36301,0.106667,-1.36228,0.106667,-1.24731,0.106667,All
-1.29197,0.113333,-1.31378,0.113333,-1.45928,0.113333,-1.35026,0.113333,-1.25349,0.113333,-1.2276,0.113333,All
-1.25768,0.12,-1.26143,0.12,-1.43313,0.12,-1.34484,0.12,-1.24905,0.12,-1.18647,0.12,All
-1.23568,0.126667,-1.25488,0.126667,-1.37619,0.126667,-1.31814,0.126667,-1.22207,0.126667,-1.06681,0.126667,All
-1.22121,0.133333,-1.18272,0.133333,-1.30992,0.133333,-1.30898,0.133333,-1.21613,0.133333,-1.05718,0.133333,All
-1.21383,0.14,-1.17689,0.14,-1.29298,0.14,-1.20068,0.14,-1.2024,0.14,-1.04373,0.14,All
-1.20772,0.146667,-1.15515,0.146667,-1.27752,0.146667,-1.16573,0.146667,-1.17482,0.146667,-1.03797,0.146667,All
