Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13
Cl_pop,13.5126,13.5085,13.5026,13.5126,13.5172,13.5085,13.5248,13.5219,13.53,13.5038,13.4973,13.5083,13.5226
Q_pop,25.3138,23.5505,27.2538,25.6266,22.3501,27.7781,26.0098,27.5292,22.7577,31.1821,32.9878,28.7487,30.8546
V1_pop,24.1338,24.4412,23.6275,24.0119,24.7062,23.4219,23.9524,23.6043,24.7957,22.9233,22.5235,23.2734,23.1456
V2_pop,12.9647,12.6918,13.251,13.167,12.702,13.4657,12.6466,13.1233,12.3477,13.687,13.7935,13.5382,12.8959
a,1.56237,1.53323,1.54043,1.48466,1.50342,1.52072,1.50935,1.54324,1.50501,1.56231,1.54985,1.51703,1.56254
b,0.0418888,0.0425184,0.0420635,0.0478127,0.0443194,0.0446691,0.0472732,0.0437264,0.0454376,0.0432808,0.0451126,0.0462639,0.0450546
omega_Cl,0.25958,0.25916,0.259215,0.259954,0.259668,0.259499,0.259918,0.260033,0.260268,0.259332,0.259199,0.260234,0.259759
omega_Q,0.961019,0.949157,1.00688,1.15838,1.00798,1.1574,1.09388,1.1035,1.02672,1.12296,1.08533,1.12127,1.0803
omega_V1,0.282161,0.269431,0.24961,0.214466,0.268294,0.208311,0.215984,0.2143,0.249,0.206223,0.192544,0.204075,0.200954
omega_V2,0.873088,0.910976,0.883428,0.98468,0.947689,0.949385,0.974885,0.929607,1.00001,0.888119,0.880743,0.928704,0.918271
-2LL,512.264,512.311,512.428,512.527,512.47,511.938,512.223,511.88,512.149,512.51,512.313,512.411,512.158
