parameter,value,se_sa,rse_sa
Cl_pop,13.5044777797864,0.917152260492397,6.79146780385092
V1_pop,23.9810042018001,2.55722660504857,10.6635509652953
Q_pop,26.2268450709064,14.2078638853953,54.1729813364254
V2_pop,12.9952884769568,4.16008684907666,32.0122701119973
omega_Cl,0.25909065926937,0.0489883011216669,18.9077835765337
omega_V1,0.235651772518078,0.0867426849820607,36.8096891676919
omega_Q,1.06499339299293,0.408405578730457,38.3481795678301
omega_V2,0.938442602713767,0.29922298156383,31.8850594270277
a,1.51647099513283,0.265425080843157,17.5028128922379
b,0.0466511651074436,0.0160516565172804,34.407836289429
