standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,All
-2.26294,0.00666667,-2.53468,0.00666667,All
-2.00455,0.0133333,-2.26916,0.0133333,All
-1.78804,0.02,-2.1668,0.02,All
-1.74747,0.0266667,-2.06905,0.0266667,All
-1.67295,0.0333333,-1.77785,0.0333333,All
-1.55548,0.04,-1.71611,0.04,All
-1.42116,0.0466667,-1.63147,0.0466667,All
-1.41604,0.0533333,-1.55226,0.0533333,All
-1.39699,0.06,-1.53262,0.06,All
-1.37337,0.0666667,-1.49771,0.0666667,All
-1.3143,0.0733333,-1.44533,0.0733333,All
-1.31024,0.08,-1.44024,0.08,All
-1.30287,0.0866667,-1.40419,0.0866667,All
-1.29406,0.0933333,-1.35436,0.0933333,All
-1.20597,0.1,-1.31516,0.1,All
-1.15553,0.106667,-1.30526,0.106667,All
-1.116,0.113333,-1.21023,0.113333,All
-1.04845,0.12,-1.18028,0.12,All
-1.02457,0.126667,-1.10126,0.126667,All
-0.977214,0.133333,-1.04029,0.133333,All
-0.954581,0.14,-1.02537,0.14,All
-0.944057,0.146667,-1.02371,0.146667,All
-0.939227,0.153333,-0.999741,0.153333,All
-0.895848,0.16,-0.99557,0.16,All
-0.873469,0.166667,-0.980648,0.166667,All
-0.831165,0.173333,-0.954028,0.173333,All
-0.795622,0.18,-0.939397,0.18,All
-0.788962,0.186667,-0.926902,0.186667,All
-0.770194,0.193333,-0.924596,0.193333,All
-0.731454,0.2,-0.915027,0.2,All
-0.723217,0.206667,-0.902436,0.206667,All
-0.664406,0.213333,-0.899796,0.213333,All
-0.652732,0.22,-0.876006,0.22,All
-0.639172,0.226667,-0.851315,0.226667,All
-0.595013,0.233333,-0.837926,0.233333,All
-0.58839,0.24,-0.804939,0.24,All
-0.580447,0.246667,-0.793034,0.246667,All
-0.569635,0.253333,-0.790779,0.253333,All
-0.554575,0.26,-0.789244,0.26,All
-0.553176,0.266667,-0.768925,0.266667,All
-0.545996,0.273333,-0.726308,0.273333,All
-0.533506,0.28,-0.700829,0.28,All
-0.525175,0.286667,-0.637509,0.286667,All
-0.49651,0.293333,-0.630078,0.293333,All
-0.494821,0.3,-0.584097,0.3,All
-0.482942,0.306667,-0.574868,0.306667,All
-0.474087,0.313333,-0.562917,0.313333,All
-0.465793,0.32,-0.550393,0.32,All
-0.46028,0.326667,-0.484372,0.326667,All
-0.450942,0.333333,-0.484111,0.333333,All
-0.413609,0.34,-0.465945,0.34,All
-0.412472,0.346667,-0.463989,0.346667,All
-0.384375,0.353333,-0.444336,0.353333,All
-0.347688,0.36,-0.429484,0.36,All
-0.340039,0.366667,-0.400084,0.366667,All
-0.306745,0.373333,-0.375696,0.373333,All
-0.303108,0.38,-0.369705,0.38,All
-0.301926,0.386667,-0.34413,0.386667,All
-0.256211,0.393333,-0.337707,0.393333,All
-0.241224,0.4,-0.319147,0.4,All
-0.22465,0.406667,-0.314467,0.406667,All
-0.184833,0.413333,-0.285593,0.413333,All
-0.166587,0.42,-0.217033,0.42,All
-0.164224,0.426667,-0.0941564,0.426667,All
-0.13989,0.433333,-0.0848144,0.433333,All
-0.135187,0.44,-0.0762159,0.44,All
-0.135097,0.446667,-0.0565055,0.446667,All
-0.131362,0.453333,-0.05576,0.453333,All
-0.123049,0.46,-0.0496923,0.46,All
-0.0815848,0.466667,-0.0301003,0.466667,All
-0.055148,0.473333,0.0535474,0.473333,All
-0.051597,0.48,0.0897369,0.48,All
-0.0261785,0.486667,0.0918378,0.486667,All
-0.0115036,0.493333,0.0980354,0.493333,All
-0.00731318,0.5,0.102316,0.5,All
-0.00703594,0.506667,0.113392,0.506667,All
-0.00580056,0.513333,0.128859,0.513333,All
-0.00469906,0.52,0.142628,0.52,All
0.0260597,0.526667,0.202097,0.526667,All
0.114411,0.533333,0.238926,0.533333,All
0.120391,0.54,0.25127,0.54,All
0.127517,0.546667,0.287603,0.546667,All
0.151102,0.553333,0.306594,0.553333,All
0.156863,0.56,0.315505,0.56,All
0.157608,0.566667,0.326412,0.566667,All
0.163359,0.573333,0.336482,0.573333,All
0.181414,0.58,0.350847,0.58,All
0.203782,0.586667,0.376348,0.586667,All
0.212512,0.593333,0.380454,0.593333,All
0.23013,0.6,0.382574,0.6,All
0.230376,0.606667,0.394704,0.606667,All
0.264412,0.613333,0.396083,0.613333,All
0.289363,0.62,0.409122,0.62,All
0.297698,0.626667,0.465433,0.626667,All
0.30303,0.633333,0.476713,0.633333,All
0.356022,0.64,0.478267,0.64,All
0.359977,0.646667,0.506439,0.646667,All
0.437213,0.653333,0.511432,0.653333,All
0.471944,0.66,0.526324,0.66,All
0.472612,0.666667,0.57895,0.666667,All
0.546532,0.673333,0.578964,0.673333,All
0.584233,0.68,0.608583,0.68,All
0.588903,0.686667,0.651931,0.686667,All
0.629794,0.693333,0.659601,0.693333,All
0.676474,0.7,0.676568,0.7,All
0.696524,0.706667,0.693897,0.706667,All
0.750622,0.713333,0.722469,0.713333,All
0.758111,0.72,0.742528,0.72,All
0.770376,0.726667,0.744798,0.726667,All
0.815145,0.733333,0.768191,0.733333,All
0.81976,0.74,0.778712,0.74,All
0.826933,0.746667,0.828514,0.746667,All
0.839097,0.753333,0.900838,0.753333,All
0.854632,0.76,0.906501,0.76,All
0.897047,0.766667,0.909056,0.766667,All
0.941249,0.773333,0.911056,0.773333,All
0.989292,0.78,0.926559,0.78,All
0.994973,0.786667,0.932401,0.786667,All
1.02362,0.793333,0.968232,0.793333,All
1.03503,0.8,0.985931,0.8,All
1.04574,0.806667,1.00837,0.806667,All
1.04694,0.813333,1.01458,0.813333,All
1.06546,0.82,1.04216,0.82,All
1.06673,0.826667,1.10679,0.826667,All
1.07544,0.833333,1.13011,0.833333,All
1.07586,0.84,1.13817,0.84,All
1.14444,0.846667,1.13918,0.846667,All
1.16676,0.853333,1.17196,0.853333,All
1.21919,0.86,1.21888,0.86,All
1.24067,0.866667,1.23048,0.866667,All
1.24137,0.873333,1.24608,0.873333,All
1.24956,0.88,1.25224,0.88,All
1.26067,0.886667,1.30555,0.886667,All
1.31838,0.893333,1.30761,0.893333,All
1.37388,0.9,1.31933,0.9,All
1.38853,0.906667,1.37434,0.906667,All
1.39928,0.913333,1.38463,0.913333,All
1.43192,0.92,1.3882,0.92,All
1.43292,0.926667,1.42526,0.926667,All
1.5731,0.933333,1.4461,0.933333,All
1.64685,0.94,1.52706,0.94,All
1.73795,0.946667,1.52985,0.946667,All
1.7613,0.953333,1.5641,0.953333,All
1.95408,0.96,1.58295,0.96,All
2.27659,0.966667,1.60226,0.966667,All
2.67986,0.973333,1.62917,0.973333,All
2.77242,0.98,1.6296,0.98,All
2.84144,0.986667,1.64858,0.986667,All
2.99359,0.993333,1.76074,0.993333,All
3.7246,1,1.7758,1,All
4,1,4,1,All
