standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-2.03265,0.0311759,-2.36889,0.0433053,All
-1.57207,0.124704,-2.03731,0.0433053,All
-1.11149,0.218231,-1.70574,0.0866106,All
-0.650907,0.405286,-1.37416,0.194874,All
-0.190327,0.45205,-1.04259,0.32479,All
0.270253,0.327347,-0.711013,0.346443,All
0.730832,0.249407,-0.379438,0.32479,All
1.19141,0.327347,-0.0478627,0.281485,All
1.65199,0.0935276,0.283713,0.368095,All
2.11257,0.0311759,0.615288,0.389748,All
2.57315,0.0311759,0.946863,0.281485,All
3.03373,0.0311759,1.27844,0.32479,All
3.49431,0.0155879,1.61001,0.238179,All
