iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtCLCRMLMIN,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0.259513,1.01171,0.263295,0.888378
2,460.4,1,6.55756,24.3443,13.1438,1.57483,0.0416799,0.72244,0.252942,0.986093,0.256628,0.939151
3,459.55,1,6.39854,24.2561,13.3098,1.54157,0.0411878,0.754429,0.246591,0.993883,0.251222,0.921071
4,463.471,1,6.26033,24.2156,14.1726,1.5416,0.0429734,0.770482,0.241782,0.968718,0.270252,1.01207
5,457.532,1,6.3823,24.4141,13.1892,1.44435,0.0453478,0.745322,0.243634,0.944189,0.263409,0.989767
6,458.285,1,6.58601,24.4384,13.1989,1.48626,0.0432959,0.711292,0.239837,0.976282,0.261146,0.964706
7,452.734,1,6.76857,24.7668,12.1194,1.51116,0.0376229,0.684693,0.243243,1.06958,0.254534,0.940279
8,458.184,1,6.46322,25.0118,13.2437,1.53481,0.0395133,0.742093,0.249496,1.06443,0.256514,0.916471
9,467.531,1,6.86241,25.1923,13.1107,1.58108,0.0417437,0.68271,0.253089,1.03858,0.281643,0.893265
10,474.461,1,7.19208,24.6547,12.4375,1.58119,0.0452603,0.626364,0.251228,1.06544,0.274511,0.980102
11,469.524,1,6.92213,25.0518,12.1736,1.55132,0.0436858,0.659048,0.251417,1.11771,0.267561,0.971704
12,463.366,1,6.63209,24.884,11.6498,1.39729,0.0490906,0.712595,0.245051,1.08941,0.260786,0.955492
13,474.066,1,6.61824,24.9049,10.9232,1.42207,0.0520553,0.712307,0.252994,1.14983,0.269456,0.940867
14,471.025,1,6.61772,24.5759,12.3835,1.50864,0.0531111,0.723957,0.248581,1.12072,0.262634,0.917044
15,474.032,1,6.67681,24.8056,11.8387,1.39003,0.0599044,0.709467,0.250093,1.09234,0.255983,0.988255
16,476.35,1,6.77065,25.1251,12.8467,1.32296,0.0606097,0.686357,0.243761,1.06468,0.253408,1.0465
17,464.34,1,6.28379,24.8136,13.6982,1.25681,0.0575792,0.764537,0.237589,1.03772,0.254255,1.02
18,464.046,1,6.17041,25.2462,12.5187,1.3743,0.0531664,0.786954,0.241057,1.01145,0.25471,0.998904
19,463.449,1,6.47869,25.6053,12.719,1.30776,0.0547581,0.74031,0.242907,0.985837,0.256639,1.04425
20,463.903,1,6.13551,24.7804,12.2209,1.41863,0.0479596,0.798295,0.252451,1.0214,0.251833,1.01781
21,462.932,1,6.61218,24.7969,12.2066,1.4462,0.0477344,0.719655,0.250508,0.995542,0.245457,1.01583
22,466.753,1,6.46299,24.4042,12.5925,1.4001,0.0525331,0.73537,0.252688,1.00049,0.239242,1.06317
23,473.331,1,6.84174,24.4159,12.934,1.36838,0.0558155,0.676759,0.252212,1.06232,0.235728,1.08657
24,464.214,1,6.37201,24.4037,12.8999,1.33812,0.0541186,0.761173,0.249877,1.03542,0.229849,1.10703
25,472.77,1,6.41495,24.9419,13.613,1.31238,0.059804,0.749197,0.250633,1.0092,0.231895,1.12873
26,482.618,1,6.75185,24.607,14.7668,1.47575,0.0574571,0.691012,0.244328,1.08969,0.226024,1.16187
27,470.707,1,6.57535,24.6997,14.3418,1.40197,0.0545843,0.731405,0.247068,1.0621,0.231026,1.13245
28,468.394,1,6.39988,24.4849,12.9473,1.42373,0.0541069,0.744595,0.240812,1.0352,0.225177,1.10378
29,478.807,1,7.09318,24.4782,13.8478,1.4239,0.0607108,0.647675,0.244427,1.05158,0.220792,1.07583
30,469.505,1,6.8995,24.4718,13.694,1.33355,0.0597676,0.669255,0.238238,1.02496,0.22494,1.04859
31,467.408,1,6.81124,24.4212,13.8004,1.36758,0.0571927,0.677189,0.241685,0.999006,0.221191,1.02204
32,467.301,1,6.49779,23.7452,12.9327,1.36756,0.0559578,0.721509,0.239865,0.97371,0.222749,1.06309
33,466.038,1,6.33274,24.5105,12.3673,1.40642,0.0527298,0.761969,0.243575,0.963358,0.239274,1.03617
34,457.81,1,6.5301,24.7836,11.7124,1.38176,0.0498931,0.733847,0.244814,0.940398,0.237967,1.00993
35,469.527,1,6.71334,25.0633,11.8251,1.45392,0.0507481,0.698649,0.250691,1.02317,0.231942,1.05298
36,462.552,1,6.88292,24.8344,10.0971,1.47888,0.0474901,0.669899,0.244343,0.997261,0.228924,1.02632
37,464.838,1,6.64838,24.4175,13.2686,1.52343,0.045039,0.709849,0.244153,1.0283,0.22416,1.04468
38,465.134,1,6.50272,24.6877,13.5414,1.52344,0.0457625,0.717513,0.237971,1.02472,0.236731,1.01823
39,466.906,1,6.64208,24.5328,13.6936,1.42954,0.0496139,0.708589,0.243609,1.04077,0.259737,0.992449
40,467.143,1,6.6597,24.5611,12.9786,1.45087,0.0503729,0.703702,0.253559,1.01442,0.25316,0.967319
41,474.315,1,6.7156,24.5701,13.2449,1.60392,0.0446623,0.693996,0.247139,1.03006,0.273627,0.975405
42,468.035,1,6.71266,24.4507,12.6279,1.64432,0.0379621,0.694075,0.244236,1.03433,0.280809,0.950707
43,460.52,1,6.89706,24.5118,12.9091,1.5949,0.0349249,0.668102,0.240374,1.03703,0.273699,0.988418
44,462.29,1,6.70343,24.8702,11.6031,1.54596,0.0361336,0.705864,0.24676,1.13132,0.266769,1.08316
45,465.211,1,6.95921,24.2643,12.74,1.63086,0.0405116,0.67294,0.250962,1.10268,0.260014,1.05573
46,461.038,1,7.18825,24.1275,11.7683,1.54931,0.038486,0.636914,0.258302,1.07476,0.276123,1.029
47,473.486,1,6.44381,24.6211,11.5809,1.61323,0.0449726,0.743848,0.251762,1.04754,0.270698,1.00294
48,473.19,1,6.58331,24.6982,11.3966,1.53931,0.0489076,0.721213,0.245387,1.02102,0.272675,1.0056
49,472.093,1,6.94603,24.7213,12.7977,1.56973,0.0476528,0.660972,0.241728,1.02465,0.272623,0.980136
50,477.957,1,6.91755,24.9578,10.9849,1.53023,0.0529438,0.668483,0.245519,1.07073,0.26572,0.955318
51,478.002,1,6.72984,25.4663,11.5415,1.45372,0.0502966,0.702248,0.250667,1.21753,0.282789,0.961437
52,482.102,1,6.69353,25.3315,11.3013,1.50561,0.051312,0.703578,0.246274,1.22416,0.295349,0.937093
53,475.405,1,6.89533,25.3858,11.668,1.50555,0.0485258,0.674717,0.243617,1.19316,0.298138,0.913365
54,470.781,1,6.99502,25.0949,11.3369,1.5055,0.0468484,0.656723,0.251694,1.16295,0.295192,0.935037
55,475.44,1,6.67312,25.0288,12.6852,1.39173,0.0515693,0.710418,0.254569,1.181,0.295474,0.962274
56,474.095,1,6.68947,25.8799,11.7373,1.39173,0.0504904,0.710882,0.248123,1.16046,0.301032,1.00054
57,477.702,1,6.81962,25.7317,11.4066,1.39175,0.0507156,0.692958,0.241841,1.25383,0.315283,1.01029
