iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,970.88,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0.259513,1.01171,0.263295,0.888378
2,647.556,1,14.5675,24.3746,18.0106,4.42397,0.0327989,-1.25648,0.59232,1.04876,0.291572,1.3837
3,653.66,1,14.933,24.5078,18.844,4.54437,2.22045e-16,-1.70854,0.66872,1.0222,0.284189,1.37761
4,658.561,1,15.6044,24.8047,16.7897,4.31715,2.10942e-16,-2.37538,0.906555,1.01218,0.306925,1.51268
5,654.631,1,15.9338,25.1851,16.4772,4.10129,2.00395e-16,-2.78862,1.11339,1.00346,0.299153,1.61396
6,642.827,1,16.7668,25.3554,14.7092,3.89623,1.90375e-16,-3.7653,1.43609,0.978055,0.291578,1.57309
7,634.849,1,17.18,24.9719,17.5675,3.70142,1.80857e-16,-4.03829,1.85616,1.03656,0.284195,1.53326
8,626.385,1,17.5358,25.0962,17.5813,3.51635,1.71814e-16,-4.27608,1.91773,1.02136,0.276999,1.49444
9,611.505,1,17.3558,25.4816,18.8668,3.34053,1.63223e-16,-4.25206,2.01277,0.995501,0.269986,1.4566
10,605.403,1,17.4795,24.6449,17.2445,3.1735,1.55062e-16,-4.26541,2.13783,1.03188,0.26315,1.41971
11,607.683,1,17.7683,24.6261,15.3401,3.01483,1.47309e-16,-4.44189,2.41619,1.00903,0.257801,1.38377
12,596.256,1,18.501,25.3036,15.0834,2.86409,1.39943e-16,-4.91144,2.51429,0.994828,0.276655,1.34873
13,592.658,1,18.5725,25.9297,13.4292,2.72088,1.32946e-16,-4.83976,2.78628,0.969639,0.26965,1.31458
14,574.38,1,18.6747,25.0549,11.767,2.58484,1.26299e-16,-4.78837,3.01099,0.945087,0.262822,1.28129
15,568.164,1,18.8872,25.1322,11.8747,2.4556,1.19984e-16,-4.94924,3.00984,0.921157,0.262631,1.24885
16,558.921,1,18.8543,25.0916,12.9846,2.33282,1.13985e-16,-4.89908,2.93363,0.897833,0.268839,1.21723
17,557.53,1,18.3738,25.4528,12.862,2.21618,1.08286e-16,-4.51107,2.95485,0.951069,0.2758,1.18641
18,552.846,1,18.9285,25.4518,12.4804,2.06144,0.0163949,-4.96312,3.00269,0.969647,0.277701,1.15637
19,552.282,1,19.2278,26.0278,10.0314,1.91151,0.0322217,-5.15251,3.0092,0.945095,0.289758,1.12709
20,547.39,1,19.031,26.0495,10.3611,1.67583,0.0423735,-5.04645,2.933,0.921165,0.282421,1.09855
21,544.308,1,19.2456,26.2517,10.5297,1.65081,0.0387992,-5.12901,3.08564,0.89784,0.27527,1.07073
22,540.478,1,19.5908,26.1547,11.3172,1.45964,0.0445197,-5.34143,3.22628,0.954196,0.2683,1.11325
23,550.244,1,19.697,26.5015,11.0568,1.51262,0.0475953,-5.34428,3.35065,1.01079,0.261506,1.10947
24,543.718,1,19.4034,26.3301,9.80804,1.40029,0.0505671,-5.19671,3.2658,0.9852,0.255125,1.08164
25,548.674,1,19.3771,26.0402,10.1635,1.50455,0.0506483,-5.16955,3.21421,1.02625,0.248665,1.05425
26,550.858,1,19.3009,25.9341,9.79264,1.58876,0.0420423,-5.09327,3.14684,1.12723,0.242369,1.21376
27,548.012,1,19.4613,26.298,10.5543,1.58875,0.0420219,-5.20689,3.22251,1.09869,0.239095,1.18303
28,551.099,1,19.0848,26.6127,9.9003,1.5446,0.0447813,-4.8927,3.14981,1.09391,0.250387,1.17142
29,563.295,1,19.1957,26.1743,10.4097,1.53192,0.0531908,-5.07254,3.07005,1.13714,0.254859,1.23424
30,570.637,1,19.0314,25.8264,10.0573,1.60269,0.0522355,-4.97209,3.05923,1.13938,0.248406,1.3813
31,564.533,1,18.7518,26.0282,10.907,1.58775,0.0498584,-4.76549,3.2469,1.11053,0.270987,1.34633
32,565.683,1,18.6299,25.5438,11.4512,1.42699,0.0560803,-4.77062,3.21795,1.09555,0.271176,1.31224
33,556.001,1,18.9514,25.2181,11.0134,1.43855,0.0509369,-4.90082,3.26525,1.10523,0.265775,1.27901
34,548.764,1,18.9051,24.9348,11.1156,1.47349,0.0477938,-4.85862,3.18257,1.07724,0.263734,1.24663
35,549.824,1,19.1683,25.3228,11.0206,1.41553,0.0482198,-5.0683,3.13451,1.17422,0.262689,1.21506
36,547.059,1,18.6744,25.2786,10.02,1.49504,0.0447686,-4.72016,3.05514,1.18871,0.256038,1.18429
37,544.49,1,18.9188,25.1781,13.1036,1.52848,0.0408611,-4.94063,3.0256,1.15861,0.249555,1.28511
38,535.543,1,18.7454,24.9549,16.1001,1.5284,0.0377071,-4.78362,3.01936,1.12927,0.243236,1.25257
39,537.324,1,18.5273,24.6985,15.4687,1.52842,0.0402205,-4.60147,3.04467,1.10068,0.242974,1.22086
40,538.587,1,19.1332,24.9076,13.7022,1.52844,0.0400703,-5.02804,3.06621,1.07281,0.252197,1.18994
41,545.781,1,18.9433,24.56,13.8794,1.64546,0.038397,-4.85256,3.03877,1.04791,0.245811,1.15981
42,543.702,1,18.7214,24.8913,11.6491,1.64544,0.0382888,-4.78837,2.98641,1.02996,0.267083,1.13045
43,539.444,1,18.9787,24.4514,12.5328,1.5658,0.0395133,-4.9403,3.14413,1.05338,0.26032,1.10182
44,539.557,1,19.044,23.9583,12.656,1.56573,0.0365956,-4.91972,3.23173,1.16584,0.271637,1.07392
45,536.803,1,19.1092,23.5926,13.7745,1.48657,0.0398251,-4.9168,3.27615,1.13632,0.291186,1.04673
46,543.692,1,18.9809,23.8781,12.8981,1.58661,0.0386411,-4.81901,3.32784,1.10755,0.297654,1.02023
47,551.334,1,18.9514,24.0615,13.287,1.67279,0.0391885,-4.88499,3.24358,1.08033,0.290117,0.994395
48,544.946,1,19.3313,24.571,12.7091,1.56507,0.0415025,-5.19837,3.17145,1.05297,0.282771,1.03734
49,541.336,1,19.3419,24.871,13.3259,1.56504,0.040983,-5.16347,3.10689,1.0496,0.275611,1.01108
50,537.866,1,18.9697,24.7098,11.6973,1.46829,0.0451918,-4.95439,3.08816,1.02303,0.268632,0.985476
51,537.519,1,19.3494,24.8267,12.1422,1.43364,0.0428964,-5.12711,3.2634,1.13979,0.26183,0.988898
