Cl_pop,14.218,0.33936,-0.56564,0.11672,-0.083398,-0.27308,-0.076995,0.0020818,-0.0001943,0.0025935,-0.0094979,0.0042984,-0.0003723
beta_Cl_logtWTKG,0.33936,0.19175,-0.01339,0.014526,-0.013205,-0.030199,-0.038215,-0.00010093,-0.00035288,0.001029,-0.00024548,-0.00032153,0.00010822
beta_Cl_tSCRMGDL,-0.56564,-0.01339,0.024647,-0.0032073,0.0032357,0.0067192,0.0015893,-8.4141e-5,-6.7071e-5,0.00021596,0.00041544,-6.4083e-5,2.5537e-5
V1_pop,0.11672,0.014526,-0.0032073,3.9849,-0.18476,-1.2588,-0.68944,-0.0011286,0.0032508,-0.017512,0.069201,-0.031673,0.0034581
beta_Q_logtWTKG,-0.083398,-0.013205,0.0032357,-0.18476,10.395,1.2494,0.63822,-0.00069415,0.0016964,0.079385,0.0058573,-0.062666,0.001525
V2_pop,-0.27308,-0.030199,0.0067192,-1.2588,1.2494,14.927,1.0722,-0.00039448,0.00018522,0.12806,-0.12557,0.0079735,-0.007829
beta_V2_logtWTKG,-0.076995,-0.038215,0.0015893,-0.68944,0.63822,1.0722,5.9547,0.00083462,0.0075893,-0.021451,-0.085039,0.087131,-0.006181
omega_Cl,0.0020818,-0.00010093,-8.4141e-5,-0.0011286,-0.00069415,-0.00039448,0.00083462,0.0013241,2.1512e-5,4.7196e-5,-0.00020494,0.0001806,-2.8783e-5
omega_V1,-0.0001943,-0.00035288,-6.7071e-5,0.0032508,0.0016964,0.00018522,0.0075893,2.1512e-5,0.0055905,-0.0069605,-0.0026047,0.00067541,-0.00018555
omega_Q,0.0025935,0.001029,0.00021596,-0.017512,0.079385,0.12806,-0.021451,4.7196e-5,-0.0069605,0.10177,0.002678,0.0016827,0.0001441
omega_V2,-0.0094979,-0.00024548,0.00041544,0.069201,0.0058573,-0.12557,-0.085039,-0.00020494,-0.0026047,0.002678,0.060869,-0.0042592,0.00058589
a,0.0042984,-0.00032153,-6.4083e-5,-0.031673,-0.062666,0.0079735,0.087131,0.0001806,0.00067541,0.0016827,-0.0042592,0.065503,-0.0021153
b,-0.0003723,0.00010822,2.5537e-5,0.0034581,0.001525,-0.007829,-0.006181,-2.8783e-5,-0.00018555,0.0001441,0.00058589,-0.0021153,0.00024331
