pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.47722,0.0792209,-2.86589,0.0182823,-1.66753,0.0576102,All
-1.01438,0.475326,-2.67749,0,-1.24323,0.230441,All
-0.551537,0.60736,-2.48909,0.0060941,-0.818919,0.604907,All
-0.0886959,0.369698,-2.30068,0.0243764,-0.394611,0.403271,All
0.374145,0.237663,-2.11228,0.0426587,0.0296961,0.374466,All
0.836985,0.211256,-1.92388,0.1036,0.454004,0.259246,All
1.29983,0.158442,-1.73548,0.127976,0.878311,0.230441,All
1.76267,0.0792209,-1.54707,0.0853174,1.30262,0.201636,All
2.22551,0.0792209,-1.35867,0.115788,1.72693,0.144026,All
2.68835,0.0792209,-1.17027,0.195011,2.15123,0.0864153,All
,,-0.981862,0.249858,,,All
,,-0.793458,0.316893,,,All
,,-0.605055,0.310799,,,All
,,-0.416652,0.329081,,,All
,,-0.228249,0.359552,,,All
,,-0.0398452,0.396116,,,All
,,0.148558,0.390022,,,All
,,0.336961,0.396116,,,All
,,0.525365,0.438775,,,All
,,0.713768,0.280328,,,All
,,0.902171,0.37174,,,All
,,1.09057,0.201105,,,All
,,1.27898,0.213293,,,All
,,1.46738,0.188917,,,All
,,1.65578,0.109694,,,All
,,1.84419,0.060941,,,All
,,2.03259,0.0792233,,,All
,,2.22099,0.0243764,,,All
,,2.4094,0.0182823,,,All
,,2.5978,0.0304705,,,All
