pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.49609,0.164142,-2.71691,0.0183658,-1.68015,0.115376,All
-1.04933,0.46507,-2.52937,0.0122438,-1.25641,0.144219,All
-0.60256,0.547141,-2.34182,0.0367315,-0.832673,0.634565,All
-0.155794,0.246213,-2.15427,0.0122438,-0.408936,0.461502,All
0.290973,0.355642,-1.96673,0.0857069,0.0148011,0.144219,All
0.73774,0.328285,-1.77918,0.104073,0.438538,0.461502,All
1.18451,0.109428,-1.59163,0.104073,0.862275,0.288439,All
1.63127,0.109428,-1.40409,0.134682,1.28601,0.115376,All
2.07804,0.0273571,-1.21654,0.220389,1.70975,0.115376,All
2.52481,0.109428,-1.02899,0.250999,2.13349,0.115376,All
,,-0.841444,0.202023,,,All
,,-0.653897,0.410169,,,All
,,-0.46635,0.361193,,,All
,,-0.278803,0.306096,,,All
,,-0.0912561,0.342828,,,All
,,0.0962909,0.453022,,,All
,,0.283838,0.459144,,,All
,,0.471385,0.440778,,,All
,,0.658932,0.379559,,,All
,,0.846479,0.238755,,,All
,,1.03403,0.214267,,,All
,,1.22157,0.257121,,,All
,,1.40912,0.134682,,,All
,,1.59667,0.12856,,,All
,,1.78421,0.0489754,,,All
,,1.97176,0.0918288,,,All
,,2.15931,0.0244877,,,All
,,2.34686,0.00612192,,,All
,,2.5344,0.00612192,,,All
,,2.72195,0.0244877,,,All
