pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.7459,0.077093,-2.57476,0.0173378,-2.24228,0.0514255,All
-1.27028,0.154186,-2.37609,0.0288963,-1.76695,0.0257127,All
-0.794666,0.616744,-2.17742,0.0288963,-1.29161,0.179989,All
-0.31905,0.43686,-1.97875,0.0693511,-0.816273,0.437117,All
0.156566,0.308372,-1.78009,0.0462341,-0.340936,0.539968,All
0.632182,0.33407,-1.58142,0.144482,0.134401,0.28284,All
1.1078,0.154186,-1.38275,0.121364,0.609738,0.411404,All
1.58341,0.0513953,-1.18409,0.260067,1.08508,0.154276,All
2.05903,0.0513953,-0.98542,0.248508,1.56041,0.0771382,All
2.53465,0.128488,-0.786753,0.277405,2.03575,0.154276,All
,,-0.588086,0.335197,,,All
,,-0.389419,0.364093,,,All
,,-0.190752,0.439224,,,All
,,0.00791479,0.352535,,,All
,,0.206582,0.427665,,,All
,,0.405249,0.306301,,,All
,,0.603916,0.387211,,,All
,,0.802583,0.323639,,,All
,,1.00125,0.283184,,,All
,,1.19992,0.179157,,,All
,,1.39858,0.167599,,,All
,,1.59725,0.138702,,,All
,,1.79592,0.0751304,,,All
,,1.99458,0.0577926,,,All
,,2.19325,0.0751304,,,All
,,2.39192,0.023117,,,All
,,2.59058,0.0173378,,,All
,,2.78925,0,,,All
,,2.98792,0,,,All
,,3.18659,0.00577926,,,All
