parameter,value,se_sa,rse_sa
Cl_pop,19.8192660764275,4.03758221965595,20.3720067336809
beta_Cl_tSCRMGDL,-0.341546804212587,0.167018139066031,48.9005129036648
V1_pop,28.5969877752634,1.49269216516721e-5,5.21975313238548e-5
Q_pop,23.4,,
V2_pop,29.8336340088535,34.2667383972327,114.859418021498
omega_Cl,0.158851609534364,0.0522398340689094,32.8859331183601
omega_V1,7.29801737364777e-8,9.67599724552486e-8,132.583916290247
omega_Q,2.22978631645549,1.29456219610475,58.0576796328453
omega_V2,1.47306282641546,1.03216316104607,70.0691879896069
a,0.0330555708120363,0.00457873367333756,13.8516248875979
b,2.22044604925031e-16,0.00672199167819266,3.02731592170961e+15
