time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
31.833,0.801596,31.833,0.0710264,31.833,0.783965,3.55856,-0.0979539,0.919028,0.143552,3.55856,-0.0719493,All
32.9374,0.722433,32.9374,0.0381073,32.9374,0.698934,3.77236,-0.0539693,1.00769,0.137528,3.77236,-0.032883,All
34.0801,0.65059,34.0801,0.0102947,34.0801,0.622426,3.99901,-0.0189701,1.10491,0.130923,3.99901,-0.00217786,All
34.6997,0.613202,34.6997,-0.00381491,34.6997,0.582727,4.23927,0.0181124,1.21151,0.123681,4.23927,0.0303541,All
35.2624,0.585297,35.2624,-0.0129317,35.2624,0.553543,4.49396,0.0515628,1.3284,0.11574,4.49396,0.0594508,All
36.4858,0.525925,36.4858,-0.0319616,36.4858,0.491567,4.76396,0.0737701,1.45656,0.107524,4.76396,0.0781189,All
37.5664,0.483924,37.5664,-0.042532,37.5664,0.448626,4.80334,0.0770087,1.59708,0.099122,4.80334,0.0808414,All
37.7516,0.477305,37.7516,-0.0439977,37.7516,0.441921,5.05018,0.0911309,1.75116,0.0899533,5.05018,0.0922516,All
39.0613,0.430496,39.0613,-0.0543621,39.0613,0.394505,5.35359,0.0984128,1.92011,0.0809257,5.35359,0.0970538,All
40.4164,0.412876,40.4164,-0.0484154,40.4164,0.379561,5.67524,0.106132,2.10536,0.0711346,5.67524,0.102145,All
40.433,0.412667,40.433,-0.0483393,40.433,0.379384,6.0162,0.102741,2.30848,0.0614846,6.0162,0.0970508,All
41.8186,0.395165,41.8186,-0.0419816,41.8186,0.364673,6.04811,0.101593,2.53119,0.0514047,6.04811,0.0958212,All
43.2694,0.376839,43.2694,-0.0353245,43.2694,0.349268,6.37766,0.0897322,2.73863,0.0427658,6.37766,0.0831193,All
43.2997,0.376456,43.2997,-0.0351854,43.2997,0.348947,6.76083,0.075942,2.77539,0.0414972,6.76083,0.0683508,All
44.7706,0.357877,44.7706,-0.0284365,44.7706,0.333329,7.16702,0.0578865,3.04316,0.0322579,7.16702,0.0497566,All
46.1664,0.340245,46.1664,-0.0220316,46.1664,0.318509,7.29288,0.0503634,3.33675,0.0221273,7.29288,0.0423462,All
46.3238,0.338257,46.3238,-0.0213095,46.3238,0.316838,7.59761,0.0321481,3.65867,0.0118871,7.59761,0.0244038,All
47.9309,0.317957,47.9309,-0.0139352,47.9309,0.299774,8.05408,0.00486339,4.01165,0.0029628,8.05408,-0.00247213,All
49.0331,0.308813,49.0331,-0.00696306,49.0331,0.293089,8.53765,-0.0215478,4.39868,-0.00555787,8.53765,-0.0282716,All
49.5938,0.307889,49.5938,-0.00209917,49.5938,0.293531,8.53797,-0.0215632,4.55823,-0.00857282,8.53797,-0.0282865,All
51.3143,0.305278,51.3143,0.0119171,51.3143,0.294716,9.05093,-0.0231801,4.82306,-0.0131875,9.05093,-0.0292752,All
51.8998,0.304053,51.8998,0.0158814,51.8998,0.294493,9.59471,-0.0216241,5.28837,-0.0197365,9.59471,-0.0270735,All
53.0946,0.301212,53.0946,0.0232997,53.0946,0.293463,9.78242,-0.021087,5.79858,-0.0256677,9.78242,-0.0263135,All
