iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,531.46,1,21.6,18.6,16.2,1.5,-0.321,1.5,1.5,1.5,1.5
2,522.307,1,20.6923,18.3075,17.2559,1.66236,-0.438002,1.46202,1.46202,1.46202,1.46202
3,536.238,1,20.3781,18.549,17.8107,1.78723,-0.419981,1.425,1.425,1.425,1.425
4,550.17,1,21.0333,18.3891,16.8617,1.94042,-0.450528,1.38892,1.38892,1.38892,1.38892
5,542.21,1,20.0333,18.4566,17.2581,1.89129,-0.412788,1.35375,1.35375,1.35375,1.35375
6,549.365,1,20.6911,18.2156,18.7662,1.95951,-0.443901,1.31947,1.31947,1.31947,1.31947
7,549.372,1,20.3183,18.5183,16.7928,1.99227,-0.428751,1.28606,1.28606,1.28606,1.28606
8,541.108,1,20.9753,18.0751,16.0054,1.96351,-0.453816,1.2535,1.2535,1.2535,1.2535
9,531.413,1,20.7662,17.9961,15.5023,1.91379,-0.446511,1.22176,1.22176,1.22176,1.22176
10,532.32,1,20.7925,17.8677,14.3576,1.90875,-0.438442,1.19082,1.19082,1.19082,1.19082
11,530.827,1,20.6657,17.8824,14.7932,1.88498,-0.438719,1.16067,1.16067,1.16067,1.16067
12,518.952,1,20.7296,17.7372,15.718,1.83725,-0.431863,1.13128,1.2122,1.13128,1.13128
13,530.157,1,20.4942,18.2541,14.4964,1.91082,-0.414196,1.10264,1.22187,1.10264,1.10264
14,528.701,1,19.9,18.4093,14.8581,1.87506,-0.399626,1.07472,1.28517,1.07472,1.07472
15,519.643,1,20.1481,18.4028,13.9827,1.83471,-0.406806,1.04751,1.25263,1.04751,1.04751
16,513.832,1,19.884,18.503,14.8283,1.78825,-0.393073,1.02098,1.22091,1.02098,1.02098
17,517.009,1,20.121,18.2535,15.1304,1.82452,-0.404354,0.995131,1.19,0.995131,1.00256
18,515.427,1,20.6043,17.8759,13.2511,1.82097,-0.422056,0.969933,1.15986,0.969933,0.977176
19,524.293,1,19.5332,18.7172,12.7243,1.9016,-0.376045,0.945374,1.1305,0.945374,1.04966
20,525.361,1,19.596,18.8133,12.4056,1.92252,-0.383837,0.921437,1.10187,0.921437,1.09191
21,524.082,1,19.993,18.4773,14.1355,1.9599,-0.403169,0.898105,1.08139,0.898105,1.06426
22,517.179,1,19.9336,18.7426,14.8683,1.92052,-0.399392,0.875365,1.09629,0.875365,1.03731
23,512.147,1,19.6658,18.4711,14.1769,1.87607,-0.387889,0.8532,1.06853,0.8532,1.01105
24,512.052,1,20.1472,18.5108,14.7261,1.89052,-0.412334,0.831597,1.04148,0.831597,0.985446
25,510.436,1,19.4942,18.4327,15.2012,1.91626,-0.379764,0.81054,1.01511,0.817393,0.960494
26,509.108,1,19.937,19.1635,16.0485,1.98535,-0.392093,0.790017,0.989404,0.796697,0.936174
27,508.035,1,20.1979,18.816,13.846,1.95574,-0.412472,0.770013,0.964352,0.776524,0.912469
28,503.372,1,19.7236,18.5088,12.9132,1.93881,-0.386715,0.750516,0.939934,0.763921,0.889365
29,513.624,1,20.2356,19.2745,14.0586,2.04117,-0.416998,0.731512,0.938824,0.744578,0.866846
30,513.381,1,20.58,19.7417,14.881,2.07264,-0.423913,0.71299,0.915052,0.739154,0.856608
31,503.9,1,20.4582,20.0976,16.3947,2.02016,-0.420886,0.694937,0.952589,0.723629,0.834918
32,504.001,1,20.2774,20.1528,16.4902,1.97665,-0.410821,0.677341,0.971344,0.725313,0.813777
33,497.702,1,20.4638,20.1168,15.1469,1.9266,-0.425262,0.66019,0.946749,0.739409,0.831196
34,504.468,1,19.6127,19.3027,14.3766,2.02718,-0.386131,0.643474,0.935348,0.724444,0.81015
35,509.114,1,19.517,19.0782,13.5204,2.05609,-0.377772,0.627181,0.978656,0.726649,0.789636
36,502.454,1,19.8513,19.3923,12.8262,2.00403,-0.395632,0.6113,0.953875,0.70825,0.80766
37,497.562,1,20.7029,19.1751,13.3889,1.95329,-0.42754,0.595821,0.968367,0.696506,0.794659
38,485.849,1,20.4234,20.4416,14.2873,1.91805,-0.408838,0.580735,0.943847,0.67887,0.774538
39,489.849,1,20.3067,20.4664,14.5666,1.92896,-0.40155,0.56603,1.01537,0.661681,0.784834
40,496.184,1,20.1794,20.2307,14.5074,1.9718,-0.396832,0.551698,1.08836,0.644926,0.789424
41,490.467,1,20.1251,20.6092,13.8009,1.92187,-0.397167,0.537729,1.11098,0.628597,0.797362
42,485.796,1,20.2189,20.4997,13.4874,1.875,-0.392552,0.524113,1.08285,0.61268,0.821281
43,484.083,1,20.3781,20.7267,12.5718,1.89658,-0.407337,0.510842,1.05543,0.597167,0.800486
44,488.117,1,20.5106,20.5888,12.9745,1.95919,-0.408427,0.497908,1.02871,0.582046,0.781335
45,481.378,1,20.0895,21.2681,12.1033,1.90958,-0.390673,0.4853,1.0208,0.567308,0.818766
46,490.031,1,20.0663,21.7834,13.0796,1.9827,-0.398383,0.473012,0.994954,0.552944,0.892488
47,482.393,1,19.4469,21.9275,13.4182,1.93249,-0.37156,0.461035,0.969762,0.538943,0.910894
48,488.559,1,20.181,22.4471,12.7244,1.97432,-0.400162,0.449362,0.994414,0.525297,0.890874
49,482.006,1,19.9242,21.7944,12.6737,1.92433,-0.389221,0.437984,1.00727,0.534412,0.868316
50,476.693,1,19.9656,21.7173,13.7653,1.93802,-0.39584,0.426894,0.981765,0.52088,0.84633
51,467.689,1,20.7998,21.7896,14.8117,1.88895,-0.421147,0.416084,1.02473,0.529282,0.824901
52,467.316,1,20.7243,22.075,13.4705,1.84112,-0.416332,0.405549,1.15438,0.51588,0.804014
53,468.332,1,20.0629,21.7752,14.3055,1.81259,-0.393913,0.39528,1.21095,0.502818,0.783656
54,473.308,1,19.899,21.699,14.488,1.83063,-0.38731,0.385271,1.18814,0.490086,0.876723
55,464.764,1,20.4452,21.8129,14.6502,1.79602,-0.40203,0.375516,1.15805,0.477677,0.854524
56,469.937,1,20.8521,21.9821,14.4107,1.84645,-0.417293,0.366008,1.156,0.47666,0.832887
57,463.197,1,20.3779,22.2898,14.0176,1.86841,-0.401371,0.35674,1.12673,0.464591,0.811798
58,467.954,1,20.8517,22.4061,13.6701,1.90546,-0.409482,0.347707,1.0982,0.452827,0.791242
59,465.187,1,20.5428,22.5998,14.2994,1.88506,-0.402427,0.338903,1.07039,0.451672,0.771208
60,466.91,1,21.2779,22.6179,14.5682,1.94975,-0.435473,0.330322,1.04329,0.440236,0.75168
61,469.418,1,20.991,22.1997,14.4261,1.98252,-0.422551,0.321958,1.01687,0.438408,0.732647
62,460.778,1,20.2572,22.3424,13.8221,1.93232,-0.401505,0.313806,0.991124,0.42745,0.760301
63,452.926,1,20.3326,22.1558,14.3647,1.88339,-0.402332,0.30586,1.00936,0.42294,0.74105
64,452.754,1,20.6036,22.5032,13.1568,1.8357,-0.407507,0.298116,1.06469,0.412231,0.739629
