iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0,0,0.259513,1.01171,0.263295,0.888378
2,452.942,1,22.2075,24.3443,12.8882,1.57483,0.0416799,1.07428,-0.479248,-2.8223,0.252942,0.986093,0.256628,0.879902
3,450.795,1,22.4649,24.2249,13.6721,1.52479,0.0430281,1.08959,-0.483394,-2.64578,0.246537,0.998859,0.253252,0.857623
4,453.235,1,21.9623,24.0767,14.6422,1.52481,0.0429026,1.1582,-0.46885,-4.09243,0.240295,0.973567,0.271303,0.853598
5,455.471,1,22.0118,24.2531,13.3324,1.52485,0.0451364,1.1409,-0.47578,-3.82618,0.23421,0.957889,0.264434,0.876141
6,450.471,1,22.4925,24.4341,12.4448,1.57658,0.0401207,1.08313,-0.490801,-3.36781,0.22828,0.946011,0.259798,0.853957
7,445.072,1,22.5574,24.2041,11.9683,1.52714,0.0379824,1.06289,-0.494284,-3.09814,0.2225,0.96875,0.264403,0.832334
8,437.939,1,22.5719,24.3952,13.3013,1.46161,0.0405415,1.09986,-0.491132,-3.84225,0.216866,0.94422,0.26261,0.811259
9,446.967,1,22.6851,24.6651,13.5096,1.4928,0.045004,1.13165,-0.498147,-3.39448,0.211375,0.920312,0.280232,0.790717
10,450.596,1,21.8908,24.4013,13.2951,1.46017,0.0483883,1.16345,-0.468971,-4.35176,0.206023,0.962101,0.273136,0.770696
11,455.285,1,22.8063,24.9303,12.3741,1.46023,0.0506971,1.13701,-0.51367,-4.51717,0.200806,1.00523,0.26622,0.751182
12,464.554,1,22.044,24.7817,12.1481,1.48095,0.0528381,1.07924,-0.479818,-5.98344,0.195722,1.00468,0.284884,0.795412
13,470.256,1,22.3556,24.7061,10.2341,1.49963,0.0570942,1.22369,-0.484805,-5.29051,0.19386,0.979246,0.292597,0.78052
14,465.078,1,22.7521,24.5669,11.8943,1.38634,0.0603139,1.13777,-0.489111,-5.01952,0.191793,1.06878,0.302053,0.760757
15,467.895,1,22.8892,24.9027,11.6538,1.28289,0.0668562,1.07658,-0.502474,-5.43417,0.188481,1.04172,0.294405,0.781124
16,467.905,1,22.6314,25.2181,11.7884,1.24792,0.0705193,1.08284,-0.491874,-6.04892,0.185443,1.01534,0.289998,0.761345
17,462.024,1,22.7089,25.3726,10.93,1.34196,0.0636409,1.134,-0.49705,-6.6059,0.180747,1.03144,0.284349,0.742068
18,459.187,1,22.3806,25.7266,10.2332,1.27103,0.0660277,1.10182,-0.4849,-6.58194,0.176171,1.00533,0.28264,0.72908
19,466.657,1,23.0128,25.6277,10.698,1.32459,0.0654263,1.23541,-0.503735,-7.21326,0.176145,0.97987,0.313595,0.769557
20,460.27,1,22.693,25.2695,11.3973,1.25836,0.062155,1.18115,-0.494467,-7.36383,0.184781,1.08755,0.305654,0.750071
21,455.7,1,23.005,25.7144,11.7562,1.42665,0.0533201,1.26824,-0.510235,-7.6764,0.185087,1.06001,0.303922,0.731079
