Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
8.7393,0.0843614,13.5144,0.0152994,32.315,0.0148758,3.58007,0.0464528,All
9.67545,0.130377,16.7992,0.0371558,93.609,0.00199124,8.37125,0.0569422,All
10.6116,0.107369,20.0841,0.0699403,154.903,0.000234264,13.1624,0.0284711,All
11.5477,0.168723,23.3689,0.0743116,216.197,0.000234264,17.9536,0.0194802,All
12.4839,0.0306769,26.6538,0.0393414,277.491,0,22.7448,0.0119878,All
13.42,0.0306769,29.9386,0.0305989,338.785,0.000117132,27.536,0.0134863,All
14.3562,0.0996999,33.2235,0.0284133,400.079,0,32.3272,0.0134863,All
15.2923,0.0766922,36.5083,0.0152994,461.373,0,37.1184,0.00449543,All
16.2284,0.107369,39.7932,0.00218564,522.667,0,41.9096,0.0119878,All
17.1646,0.0613538,43.078,0.00437127,583.961,0,46.7007,0.00599391,All
18.1007,0.122708,46.3629,0.00437127,645.255,0,51.4919,0.00449543,All
19.0369,0.069023,49.6477,0.00437127,706.549,0,56.2831,0.00299696,All
19.973,0.0613538,52.9326,0.00218564,767.843,0.000117132,61.0743,0.00449543,All
